;ENSCAFT00000022395_90_90;ENST00000319481_90_90;ENST00000357041_90_90;ENST00000399441_90_90;ENST00000399443_90_90;ENST00000578013_90_90;ENST00000578055_90_90;ENST00000578091_90_90;ENST00000579851_90_90;ENST00000582645_90_90;ENST00000584119_90_90;ENST00000638614_90_90;ENSMUST00000074352_90_90;ENSMUST00000117361_90_90;ENSMUST00000118313_90_90;ENSMUST00000119043_90_90;ENSMUST00000119512_90_90;ENSMUST00000121774_90_90;ENSMUST00000121808_90_90;ENSMUST00000121888_90_90;ENSMUST00000122175_90_90;ENSMUST00000124570_90_90;ENSMUST00000143077_90_90;ENSMUST00000147197_90_90;ENSMUST00000155650_90_90
ENSCAFT00000022395_90_90;1.0;0.725;0.562;0.105;0.461;0.301;0.05;0.045;0.043;0.054;0.032;0.027;0.866;0.462;0.462;0.462;0.531;0.433;0.462;0.462;0.335;0.012;0.195;0.07;0.166
ENST00000319481_90_90;0.725;1.0;0.598;0.098;0.46;0.3;0.051;0.054;0.052;0.054;0.032;0.027;0.433;0.475;0.475;0.475;0.465;0.446;0.475;0.475;0.081;0.012;0.2;0.072;0.136
ENST00000357041_90_90;0.562;0.598;1.0;0.0;0.769;0.502;0.085;0.0;0.0;0.0;0.052;0.044;0.453;0.778;0.778;0.778;0.723;0.731;0.778;0.778;0.0;0.02;0.329;0.0;0.196
ENST00000399441_90_90;0.105;0.098;0.0;1.0;0.0;0.0;0.0;0.39;0.371;0.51;0.0;0.0;0.106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.298;0.0;0.0;0.662;0.0
ENST00000399443_90_90;0.461;0.46;0.769;0.0;1.0;0.652;0.11;0.0;0.0;0.0;0.0;0.058;0.463;0.999;0.999;0.999;0.786;0.939;0.999;0.999;0.0;0.026;0.422;0.0;0.171
ENST00000578013_90_90;0.301;0.3;0.502;0.0;0.652;1.0;0.006;0.0;0.0;0.0;0.0;0.0;0.302;0.652;0.652;0.652;0.513;0.695;0.652;0.652;0.0;0.0;0.075;0.0;0.0
ENST00000578055_90_90;0.05;0.051;0.085;0.0;0.11;0.006;1.0;0.0;0.0;0.0;0.0;0.5;0.051;0.109;0.109;0.109;0.086;0.048;0.109;0.109;0.0;0.238;0.245;0.0;0.245
ENST00000578091_90_90;0.045;0.054;0.0;0.39;0.0;0.0;0.0;1.0;0.961;0.709;0.0;0.0;0.045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.124;0.0;0.0;0.547;0.0
ENST00000579851_90_90;0.043;0.052;0.0;0.371;0.0;0.0;0.0;0.961;1.0;0.676;0.0;0.0;0.042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.118;0.0;0.0;0.548;0.0
ENST00000582645_90_90;0.054;0.054;0.0;0.51;0.0;0.0;0.0;0.709;0.676;1.0;0.0;0.0;0.054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.153;0.0;0.0;0.539;0.0
ENST00000584119_90_90;0.032;0.032;0.052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000638614_90_90;0.027;0.027;0.044;0.0;0.058;0.0;0.5;0.0;0.0;0.0;0.0;1.0;0.027;0.058;0.058;0.058;0.046;0.046;0.058;0.058;0.0;0.0;0.137;0.0;0.137
ENSMUST00000074352_90_90;0.866;0.433;0.453;0.106;0.463;0.302;0.051;0.045;0.042;0.054;0.0;0.027;1.0;0.46;0.46;0.46;0.587;0.432;0.46;0.46;0.335;0.012;0.194;0.069;0.184
ENSMUST00000117361_90_90;0.462;0.475;0.778;0.0;0.999;0.652;0.109;0.0;0.0;0.0;0.0;0.058;0.46;1.0;1.0;1.0;0.783;0.938;1.0;1.0;0.0;0.026;0.423;0.0;0.171
ENSMUST00000118313_90_90;0.462;0.475;0.778;0.0;0.999;0.652;0.109;0.0;0.0;0.0;0.0;0.058;0.46;1.0;1.0;1.0;0.783;0.938;1.0;1.0;0.0;0.026;0.423;0.0;0.171
