;ENSCAFT00000009605_90_90;ENST00000301244_90_90;ENST00000454580_90_90;ENST00000587090_90_90;ENST00000587334_90_90;ENST00000587516_90_90;ENST00000590510_90_90;ENST00000590738_90_90;ENST00000592007_90_90;ENSMUST00000098604_90_90;ENSMUST00000108236_90_90;ENSMUST00000207601_90_90
ENSCAFT00000009605_90_90;1.0;0.539;0.544;0.0;0.0;0.547;0.0;0.0;0.0;0.553;0.309;0.352
ENST00000301244_90_90;0.539;1.0;0.822;0.792;0.392;0.738;0.147;0.377;0.189;0.641;0.495;0.423
ENST00000454580_90_90;0.544;0.822;1.0;0.742;0.474;0.559;0.045;0.437;0.089;0.492;0.582;0.527
ENST00000587090_90_90;0.0;0.792;0.742;1.0;0.487;0.53;0.185;0.453;0.238;0.452;0.368;0.246
ENST00000587334_90_90;0.0;0.392;0.474;0.487;1.0;0.239;0.0;0.304;0.0;0.317;0.38;0.0
ENST00000587516_90_90;0.547;0.738;0.559;0.53;0.239;1.0;0.141;0.407;0.134;0.398;0.249;0.381
ENST00000590510_90_90;0.0;0.147;0.045;0.185;0.0;0.141;1.0;0.0;0.754;0.163;0.052;0.106
ENST00000590738_90_90;0.0;0.377;0.437;0.453;0.304;0.407;0.0;1.0;0.0;0.293;0.34;0.129
ENST00000592007_90_90;0.0;0.189;0.089;0.238;0.0;0.134;0.754;0.0;1.0;0.211;0.105;0.213
ENSMUST00000098604_90_90;0.553;0.641;0.492;0.452;0.317;0.398;0.163;0.293;0.211;1.0;0.768;0.212
ENSMUST00000108236_90_90;0.309;0.495;0.582;0.368;0.38;0.249;0.052;0.34;0.105;0.768;1.0;0.271
ENSMUST00000207601_90_90;0.352;0.423;0.527;0.246;0.0;0.381;0.106;0.129;0.213;0.212;0.271;1.0
