;transcript6_ENSMPUG00000020072;transcript8_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript13_ENSMPUG00000020072;transcript4_ENSECAG00000007947;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript8_ENSECAG00000007947;transcript14_ENSECAG00000007947;transcript15_ENSECAG00000007947;transcript16_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript18_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947
transcript6_ENSMPUG00000020072;1.0;0.576;0.889;0.996;0.712;0.723;0.686;0.686;0.527;0.651;0.653;0.723;0.527;0.527;0.647;0.686
transcript8_ENSMPUG00000020072;0.576;1.0;0.508;0.573;0.427;0.415;0.412;0.412;0.349;0.372;0.375;0.415;0.349;0.349;0.367;0.412
transcript10_ENSMPUG00000020072;0.889;0.508;1.0;0.885;0.661;0.649;0.68;0.68;0.477;0.722;0.725;0.649;0.477;0.477;0.64;0.68
transcript13_ENSMPUG00000020072;0.996;0.573;0.885;1.0;0.71;0.721;0.685;0.685;0.528;0.648;0.651;0.721;0.528;0.528;0.645;0.685
transcript4_ENSECAG00000007947;0.712;0.427;0.661;0.71;1.0;0.988;0.964;0.964;0.691;0.899;0.901;0.988;0.691;0.691;0.887;0.964
transcript6_ENSECAG00000007947;0.723;0.415;0.649;0.721;0.988;1.0;0.952;0.952;0.679;0.887;0.889;1.0;0.679;0.679;0.876;0.952
transcript7_ENSECAG00000007947;0.686;0.412;0.68;0.685;0.964;0.952;1.0;1.0;0.666;0.934;0.938;0.952;0.666;0.666;0.923;1.0
transcript8_ENSECAG00000007947;0.686;0.412;0.68;0.685;0.964;0.952;1.0;1.0;0.666;0.934;0.938;0.952;0.666;0.666;0.923;1.0
transcript14_ENSECAG00000007947;0.527;0.349;0.477;0.528;0.691;0.679;0.666;0.666;1.0;0.601;0.603;0.679;1.0;1.0;0.591;0.666
transcript15_ENSECAG00000007947;0.651;0.372;0.722;0.648;0.899;0.887;0.934;0.934;0.601;1.0;0.997;0.887;0.601;0.601;0.859;0.934
transcript16_ENSECAG00000007947;0.653;0.375;0.725;0.651;0.901;0.889;0.938;0.938;0.603;0.997;1.0;0.889;0.603;0.603;0.861;0.938
transcript17_ENSECAG00000007947;0.723;0.415;0.649;0.721;0.988;1.0;0.952;0.952;0.679;0.887;0.889;1.0;0.679;0.679;0.876;0.952
transcript18_ENSECAG00000007947;0.527;0.349;0.477;0.528;0.691;0.679;0.666;0.666;1.0;0.601;0.603;0.679;1.0;1.0;0.591;0.666
transcript19_ENSECAG00000007947;0.527;0.349;0.477;0.528;0.691;0.679;0.666;0.666;1.0;0.601;0.603;0.679;1.0;1.0;0.591;0.666
transcript20_ENSECAG00000007947;0.647;0.367;0.64;0.645;0.887;0.876;0.923;0.923;0.591;0.859;0.861;0.876;0.591;0.591;1.0;0.923
transcript21_ENSECAG00000007947;0.686;0.412;0.68;0.685;0.964;0.952;1.0;1.0;0.666;0.934;0.938;0.952;0.666;0.666;0.923;1.0
