;ENSCAFT00000011926_90_90;ENST00000419482_90_90;ENST00000438570_90_90;ENST00000444564_90_90;ENSMUST00000074301_90_90;ENSMUST00000114186_90_90;ENSMUST00000114188_90_90;ENSMUST00000129630_90_90;ENSMUST00000173297_90_90;ENSMUST00000173730_90_90
ENSCAFT00000011926_90_90;1.0;0.818;0.238;0.773;0.25;0.258;0.194;0.227;0.143;0.045
ENST00000419482_90_90;0.818;1.0;0.238;0.95;0.25;0.258;0.194;0.227;0.143;0.0
ENST00000438570_90_90;0.238;0.238;1.0;0.25;0.0;0.0;0.095;0.0;0.429;0.0
ENST00000444564_90_90;0.773;0.95;0.25;1.0;0.258;0.267;0.2;0.238;0.15;0.0
ENSMUST00000074301_90_90;0.25;0.25;0.0;0.258;1.0;0.95;0.609;0.286;0.0;0.15
ENSMUST00000114186_90_90;0.258;0.258;0.0;0.267;0.95;1.0;0.565;0.3;0.0;0.158
ENSMUST00000114188_90_90;0.194;0.194;0.095;0.2;0.609;0.565;1.0;0.0;0.167;0.176
ENSMUST00000129630_90_90;0.227;0.227;0.0;0.238;0.286;0.3;0.0;1.0;0.0;0.0
ENSMUST00000173297_90_90;0.143;0.143;0.429;0.15;0.0;0.0;0.167;0.0;1.0;0.0
ENSMUST00000173730_90_90;0.045;0.0;0.0;0.0;0.15;0.158;0.176;0.0;0.0;1.0
