id_transcript;block_sequence
ENSCAFT00000020697_90_90;23.25.26.28.30.32.34.36.37.43.45.47.49.51.53.55.57.59.61.63.65.67.69.70.72.74.75.77.79.81.83.84.85.86.87
ENSCAFT00000043849_90_90;38.40.42.43.45.47.49.51.53.55.57.59.61.63.65.67.69.75.77.79.81.83.84.86
ENST00000242480_90_90;1.2.3.4.5.6.7.8.10.12.14.16.18.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40.41.42.43.44.45.46.47.48.49.50.51.52.53.54.55.56.57.58.59.60.61.62.63.64.65.66.67.68.69.70.71.72.73.74.75.76.77.78.79.80.81.82.83
ENST00000411732_90_90;4.5.6.7.8.10.12.14.16.18.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40.41.42.43.44.45.46.47.48.49.50.51.52.53.54.55.56.57.58.59.60.61.62.63.64.65.66.67.68.69.70.71.72.73.74.75.76.77.78.79.80.81.82.83
ENST00000439032_90_90;1.2.3.4.5.6.7.8.10.12.14.16.18.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40.41.42.43.44.45.46.47.48.49.50.51.52.53.54.55.56.57.58.59.60.61.62.63.64.65.66.67.68.69.70.71.72.73.74.75.76.77.78.79.80.81.82.83
ENST00000637191_90_90;1.2.3.4.5.6.7.8.10.12.14.16.18.20.21
ENSMUST00000048289_90_90;1.2.3.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40.41.42.43.45.46.47.48.49.50.51.52.53.54.55.56.57.58.59.60.61.62.63.64.65.66.67.68.69.70.71.72.73.74.75.77.79.80.81.82.83
ENSMUST00000105438_90_90;4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40.41.42.43.45.46.47.48.49.50.51.52.53.54.55.56.57.58.59.60.61.62.63.64.65.66.67.68.69.70.71.72.73.74.75.77.79.80.81.82.83
ENSMUST00000127820_90_90;8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36.37.38.39.40.41.42.43.45.46.47.48.49.50.51.52.53.54.55.56.57.58.59.60.61.62.63.64.65.66.67.68.69.70.71.72.73.74.75.77.79.80.81.82.83
ENSMUST00000130933_90_90;2.3.4
ENSMUST00000145754_90_90;0.3.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25
ENSMUST00000145936_90_90;0.3.4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20.21.22.23.24.25.26.27.28.29.30.31.32.33.34.35.36
ENSMUST00000146986_90_90;4.5.7.8.9.10.11.12.13.14.15.16.17.18.19.20
