;ENSCAFT00000020697_90_90;ENSCAFT00000043849_90_90;ENST00000242480_90_90;ENST00000411732_90_90;ENST00000439032_90_90;ENST00000637191_90_90;ENSMUST00000048289_90_90;ENSMUST00000105438_90_90;ENSMUST00000127820_90_90;ENSMUST00000130933_90_90;ENSMUST00000145754_90_90;ENSMUST00000145936_90_90;ENSMUST00000146986_90_90
ENSCAFT00000020697_90_90;1.0;0.756;0.277;0.289;0.277;0.0;0.287;0.3;0.304;0.0;0.011;0.05;0.0
ENSCAFT00000043849_90_90;0.756;1.0;0.254;0.266;0.254;0.0;0.266;0.279;0.283;0.0;0.0;0.0;0.0
ENST00000242480_90_90;0.277;0.254;1.0;0.895;1.0;0.293;0.934;0.828;0.811;0.077;0.344;0.434;0.087
ENST00000411732_90_90;0.289;0.266;0.895;1.0;0.895;0.188;0.828;0.926;0.907;0.007;0.296;0.39;0.098
ENST00000439032_90_90;0.277;0.254;1.0;0.895;1.0;0.293;0.934;0.828;0.811;0.077;0.344;0.434;0.087
ENST00000637191_90_90;0.0;0.0;0.293;0.188;0.293;1.0;0.23;0.124;0.107;0.261;0.346;0.294;0.294
ENSMUST00000048289_90_90;0.287;0.266;0.934;0.828;0.934;0.23;1.0;0.894;0.877;0.077;0.405;0.494;0.153
ENSMUST00000105438_90_90;0.3;0.279;0.828;0.926;0.828;0.124;0.894;1.0;0.981;0.007;0.36;0.453;0.171
ENSMUST00000127820_90_90;0.304;0.283;0.811;0.907;0.811;0.107;0.877;0.981;1.0;0.0;0.343;0.436;0.152
ENSMUST00000130933_90_90;0.0;0.0;0.077;0.007;0.077;0.261;0.077;0.007;0.0;1.0;0.139;0.117;0.032
ENSMUST00000145754_90_90;0.011;0.0;0.344;0.296;0.344;0.346;0.405;0.36;0.343;0.139;1.0;0.84;0.304
ENSMUST00000145936_90_90;0.05;0.0;0.434;0.39;0.434;0.294;0.494;0.453;0.436;0.117;0.84;1.0;0.256
ENSMUST00000146986_90_90;0.0;0.0;0.087;0.098;0.087;0.294;0.153;0.171;0.152;0.032;0.304;0.256;1.0
