;ENSCAFT00000020388_90_90;ENSCAFT00000043901_90_90;ENST00000256953_90_90;ENST00000393736_90_90;ENST00000536465_90_90;ENST00000537647_90_90;ENST00000538313_90_90;ENST00000545567_90_90;ENST00000546331_90_90;ENSMUST00000032347_90_90;ENSMUST00000117919_90_90;ENSMUST00000119610_90_90;ENSMUST00000149100_90_90;ENSMUST00000203003_90_90
ENSCAFT00000020388_90_90;1.0;0.676;0.727;0.087;0.727;0.282;0.727;0.602;0.593;0.847;0.847;0.678;0.0;0.365
ENSCAFT00000043901_90_90;0.676;1.0;1.0;0.264;1.0;0.495;1.0;0.424;0.842;0.999;0.999;0.827;0.113;0.338
ENST00000256953_90_90;0.727;1.0;1.0;0.264;1.0;0.456;1.0;0.38;0.842;0.999;0.999;0.827;0.113;0.338
ENST00000393736_90_90;0.087;0.264;0.264;1.0;0.264;0.491;0.264;0.119;0.176;0.222;0.222;0.122;0.502;0.0
ENST00000536465_90_90;0.727;1.0;1.0;0.264;1.0;0.456;1.0;0.38;0.842;0.999;0.999;0.827;0.113;0.338
ENST00000537647_90_90;0.282;0.495;0.456;0.491;0.456;1.0;0.456;0.339;0.31;0.473;0.473;0.299;0.254;0.111
ENST00000538313_90_90;0.727;1.0;1.0;0.264;1.0;0.456;1.0;0.38;0.842;0.999;0.999;0.827;0.113;0.338
ENST00000545567_90_90;0.602;0.424;0.38;0.119;0.38;0.339;0.38;1.0;0.257;0.487;0.487;0.321;0.0;0.349
ENST00000546331_90_90;0.593;0.842;0.842;0.176;0.842;0.31;0.842;0.257;1.0;0.827;0.827;0.999;0.139;0.416
ENSMUST00000032347_90_90;0.847;0.999;0.999;0.222;0.999;0.473;0.999;0.487;0.827;1.0;1.0;0.842;0.145;0.317
ENSMUST00000117919_90_90;0.847;0.999;0.999;0.222;0.999;0.473;0.999;0.487;0.827;1.0;1.0;0.842;0.145;0.317
ENSMUST00000119610_90_90;0.678;0.827;0.827;0.122;0.827;0.299;0.827;0.321;0.999;0.842;0.842;1.0;0.174;0.38
ENSMUST00000149100_90_90;0.0;0.113;0.113;0.502;0.113;0.254;0.113;0.0;0.139;0.145;0.145;0.174;1.0;0.0
ENSMUST00000203003_90_90;0.365;0.338;0.338;0.0;0.338;0.111;0.338;0.349;0.416;0.317;0.317;0.38;0.0;1.0
