;ENSCAFT00000026849_90_90;ENST00000259021_90_90;ENST00000424009_90_90;ENST00000435742_90_90;ENST00000454930_90_90;ENST00000506533_90_90;ENST00000509773_90_90;ENST00000510819_90_90;ENSMUST00000072621_90_90;ENSMUST00000092766_90_90;ENSMUST00000103159_90_90;ENSMUST00000107733_90_90;ENSMUST00000107734_90_90;ENSMUST00000138671_90_90
ENSCAFT00000026849_90_90;1.0;1.0;0.937;0.655;0.732;0.051;0.756;0.669;0.894;0.958;0.85;0.937;1.0;0.2
ENST00000259021_90_90;1.0;1.0;0.937;0.655;0.732;0.051;0.756;0.669;0.889;0.952;0.85;0.937;1.0;0.2
ENST00000424009_90_90;0.937;0.937;1.0;0.699;0.669;0.056;0.806;0.714;0.949;0.889;0.907;1.0;0.937;0.213
ENST00000435742_90_90;0.655;0.655;0.699;1.0;0.653;0.082;0.633;0.705;0.728;0.68;0.77;0.699;0.655;0.301
ENST00000454930_90_90;0.732;0.732;0.669;0.653;1.0;0.0;0.816;0.913;0.623;0.685;0.734;0.669;0.732;0.27
ENST00000506533_90_90;0.051;0.051;0.056;0.082;0.0;1.0;0.0;0.0;0.059;0.054;0.061;0.056;0.051;0.0
ENST00000509773_90_90;0.756;0.756;0.806;0.633;0.816;0.0;1.0;0.885;0.756;0.709;0.714;0.806;0.756;0.261
ENST00000510819_90_90;0.669;0.669;0.714;0.705;0.913;0.0;0.885;1.0;0.663;0.623;0.787;0.714;0.669;0.294
ENSMUST00000072621_90_90;0.894;0.889;0.949;0.728;0.623;0.059;0.756;0.663;1.0;0.937;0.824;0.913;0.859;0.212
ENSMUST00000092766_90_90;0.958;0.952;0.889;0.68;0.685;0.054;0.709;0.623;0.937;1.0;0.775;0.859;0.919;0.199
ENSMUST00000103159_90_90;0.85;0.85;0.907;0.77;0.734;0.061;0.714;0.787;0.824;0.775;1.0;0.907;0.85;0.234
ENSMUST00000107733_90_90;0.937;0.937;1.0;0.699;0.669;0.056;0.806;0.714;0.913;0.859;0.907;1.0;0.937;0.213
ENSMUST00000107734_90_90;1.0;1.0;0.937;0.655;0.732;0.051;0.756;0.669;0.859;0.919;0.85;0.937;1.0;0.2
ENSMUST00000138671_90_90;0.2;0.2;0.213;0.301;0.27;0.0;0.261;0.294;0.212;0.199;0.234;0.213;0.2;1.0
