;transcript9_ENSMUNG00000007775;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript9_ENSMUNG00000002377;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript38_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;0.973;0.946;0.959;0.919;0.378;1.0;0.96;1.0;0.965;0.966;0.949;0.932;0.915;0.559;0.898;0.847;0.973;0.946;0.378;1.0
transcript21_ENSMUNG00000007775;0.973;1.0;0.973;0.986;0.946;0.405;0.973;0.961;0.973;0.932;1.0;0.983;0.966;0.949;0.593;0.932;0.881;1.0;0.973;0.405;0.973
transcript23_ENSMUNG00000007775;0.946;0.973;1.0;0.959;0.972;0.417;0.946;0.934;0.946;0.932;1.0;0.983;0.966;0.949;0.593;0.932;0.881;0.973;0.973;0.417;0.946
transcript25_ENSMUNG00000007775;0.959;0.986;0.959;1.0;0.932;0.392;0.959;0.947;0.959;0.915;0.983;0.966;0.949;0.932;0.576;0.915;0.864;0.986;0.959;0.392;0.959
transcript26_ENSMUNG00000007775;0.919;0.946;0.972;0.932;1.0;0.429;0.919;0.908;0.919;0.898;0.966;0.949;0.932;0.915;0.559;0.898;0.847;0.946;0.972;0.429;0.919
transcript30_ENSMUNG00000007775;0.378;0.405;0.417;0.392;0.429;1.0;0.378;0.382;0.378;0.339;0.407;0.39;0.373;0.356;0.475;0.339;0.333;0.405;0.417;0.935;0.378
transcript31_ENSMUNG00000007775;1.0;0.973;0.946;0.959;0.919;0.378;1.0;0.96;1.0;0.965;0.966;0.949;0.932;0.915;0.559;0.898;0.847;0.973;0.946;0.378;1.0
transcript32_ENSMUNG00000007775;0.96;0.961;0.934;0.947;0.908;0.382;0.96;1.0;0.96;0.948;0.983;0.966;0.949;0.932;0.576;0.915;0.864;0.986;0.959;0.392;0.986
transcript33_ENSMUNG00000007775;1.0;0.973;0.946;0.959;0.919;0.378;1.0;0.96;1.0;0.965;0.966;0.949;0.932;0.915;0.559;0.898;0.847;0.973;0.946;0.378;1.0
transcript9_ENSMUNG00000002377;0.965;0.932;0.932;0.915;0.898;0.339;0.965;0.948;0.965;1.0;0.902;0.948;0.9;0.883;0.552;0.897;0.845;0.917;0.915;0.339;0.965
transcript13_ENSMUNG00000002377;0.966;1.0;1.0;0.983;0.966;0.407;0.966;0.983;0.966;0.902;1.0;0.951;0.967;0.951;0.574;0.902;0.852;1.0;0.967;0.4;0.95
transcript23_ENSMUNG00000002377;0.949;0.983;0.983;0.966;0.949;0.39;0.949;0.966;0.949;0.948;0.951;1.0;0.918;0.902;0.603;0.948;0.897;0.967;0.966;0.39;0.949
transcript27_ENSMUNG00000002377;0.932;0.966;0.966;0.949;0.932;0.373;0.932;0.949;0.932;0.9;0.967;0.918;1.0;0.983;0.541;0.869;0.82;0.967;0.933;0.367;0.917
transcript35_ENSMUNG00000002377;0.915;0.949;0.949;0.932;0.915;0.356;0.915;0.932;0.915;0.883;0.951;0.902;0.983;1.0;0.525;0.852;0.803;0.95;0.917;0.35;0.9
transcript36_ENSMUNG00000002377;0.559;0.593;0.593;0.576;0.559;0.475;0.559;0.576;0.559;0.552;0.574;0.603;0.541;0.525;1.0;0.636;0.673;0.583;0.576;0.475;0.559
transcript37_ENSMUNG00000002377;0.898;0.932;0.932;0.915;0.898;0.339;0.898;0.915;0.898;0.897;0.902;0.948;0.869;0.852;0.636;1.0;0.945;0.917;0.915;0.362;0.898
transcript38_ENSMUNG00000002377;0.847;0.881;0.881;0.864;0.847;0.333;0.847;0.864;0.847;0.845;0.852;0.897;0.82;0.803;0.673;0.945;1.0;0.867;0.864;0.333;0.847
transcript10_ENSMUNG00000002391;0.973;1.0;0.973;0.986;0.946;0.405;0.973;0.986;0.973;0.917;1.0;0.967;0.967;0.95;0.583;0.917;0.867;1.0;0.937;0.38;0.937
transcript23_ENSMUNG00000002391;0.946;0.973;0.973;0.959;0.972;0.417;0.946;0.959;0.946;0.915;0.967;0.966;0.933;0.917;0.576;0.915;0.864;0.937;1.0;0.405;0.947
transcript30_ENSMUNG00000002391;0.378;0.405;0.417;0.392;0.429;0.935;0.378;0.392;0.378;0.339;0.4;0.39;0.367;0.35;0.475;0.362;0.333;0.38;0.405;1.0;0.368
transcript33_ENSMUNG00000002391;1.0;0.973;0.946;0.959;0.919;0.378;1.0;0.986;1.0;0.965;0.95;0.949;0.917;0.9;0.559;0.898;0.847;0.937;0.947;0.368;1.0
