;ENSCAFT00000010545_90_90;ENST00000261210_90_90;ENST00000266732_90_90;ENST00000343315_90_90;ENST00000393053_90_90;ENST00000556029_90_90;ENST00000556678_90_90;ENSMUST00000020123_90_90;ENSMUST00000072239_90_90;ENSMUST00000092219_90_90;ENSMUST00000099355_90_90;ENSMUST00000105293_90_90
ENSCAFT00000010545_90_90;1.0;0.333;0.222;0.588;0.471;0.647;0.286;0.167;0.625;0.562;0.5;0.438
ENST00000261210_90_90;0.333;1.0;0.455;0.4;0.462;0.375;0.333;0.364;0.333;0.357;0.385;0.417
ENST00000266732_90_90;0.222;0.455;1.0;0.278;0.312;0.263;0.167;0.7;0.222;0.235;0.25;0.267
ENST00000343315_90_90;0.588;0.4;0.278;1.0;0.857;0.933;0.357;0.222;0.8;0.857;0.786;0.714
ENST00000393053_90_90;0.471;0.462;0.312;0.857;1.0;0.8;0.308;0.25;0.667;0.714;0.769;0.833
ENST00000556029_90_90;0.647;0.375;0.263;0.933;0.8;1.0;0.333;0.211;0.867;0.8;0.733;0.667
ENST00000556678_90_90;0.286;0.333;0.167;0.357;0.308;0.333;1.0;0.182;0.385;0.417;0.455;0.364
ENSMUST00000020123_90_90;0.167;0.364;0.7;0.222;0.25;0.211;0.182;1.0;0.235;0.25;0.267;0.286
ENSMUST00000072239_90_90;0.625;0.333;0.222;0.8;0.667;0.867;0.385;0.235;1.0;0.923;0.846;0.769
ENSMUST00000092219_90_90;0.562;0.357;0.235;0.857;0.714;0.8;0.417;0.25;0.923;1.0;0.917;0.833
ENSMUST00000099355_90_90;0.5;0.385;0.25;0.786;0.769;0.733;0.455;0.267;0.846;0.917;1.0;0.909
ENSMUST00000105293_90_90;0.438;0.417;0.267;0.714;0.833;0.667;0.364;0.286;0.769;0.833;0.909;1.0
