;ENSCAFT00000048678_90_90;ENST00000222597_90_90;ENST00000415884_90_90;ENST00000420796_90_90;ENST00000432748_90_90;ENST00000440859_90_90;ENSMUST00000064240_90_90;ENSMUST00000085487_90_90;ENSMUST00000101499_90_90;ENSMUST00000185739_90_90;ENSMUST00000188326_90_90
ENSCAFT00000048678_90_90;1.0;0.965;0.325;0.661;0.161;1.0;0.934;0.861;1.0;0.968;0.557
ENST00000222597_90_90;0.965;1.0;0.311;0.64;0.185;0.968;0.93;0.823;0.965;1.0;0.589
ENST00000415884_90_90;0.325;0.311;1.0;0.348;0.483;0.345;0.289;0.379;0.325;0.29;0.399
ENST00000420796_90_90;0.661;0.64;0.348;1.0;0.129;0.672;0.625;0.592;0.661;0.627;0.465
ENST00000432748_90_90;0.161;0.185;0.483;0.129;1.0;0.178;0.125;0.188;0.161;0.168;0.211
ENST00000440859_90_90;1.0;0.968;0.345;0.672;0.178;1.0;0.964;0.857;1.0;0.965;0.572
ENSMUST00000064240_90_90;0.934;0.93;0.289;0.625;0.125;0.964;1.0;0.795;0.934;0.902;0.59
ENSMUST00000085487_90_90;0.861;0.823;0.379;0.592;0.188;0.857;0.795;1.0;0.861;0.829;0.649
ENSMUST00000101499_90_90;1.0;0.965;0.325;0.661;0.161;1.0;0.934;0.861;1.0;0.968;0.557
ENSMUST00000185739_90_90;0.968;1.0;0.29;0.627;0.168;0.965;0.902;0.829;0.968;1.0;0.573
ENSMUST00000188326_90_90;0.557;0.589;0.399;0.465;0.211;0.572;0.59;0.649;0.557;0.573;1.0
