;ENSCAFT00000047903_90_90;ENST00000341217_90_90;ENST00000452648_90_90;ENST00000577376_90_90;ENST00000577513_90_90;ENST00000577682_90_90;ENST00000579381_90_90;ENST00000581229_90_90;ENST00000581381_90_90;ENST00000581407_90_90;ENST00000582059_90_90;ENST00000582266_90_90;ENST00000583307_90_90;ENST00000583522_90_90;ENST00000583953_90_90;ENST00000584059_90_90;ENSMUST00000073705_90_90;ENSMUST00000100782_90_90;ENSMUST00000155571_90_90
ENSCAFT00000047903_90_90;1.0;0.636;0.889;0.437;0.343;0.074;0.065;0.343;0.074;0.889;0.074;0.074;0.546;0.074;0.074;0.149;1.0;0.636;1.0
ENST00000341217_90_90;0.636;1.0;0.636;0.17;0.07;0.0;0.0;0.07;0.0;0.636;0.0;0.0;0.286;0.0;0.0;0.0;0.636;1.0;0.636
ENST00000452648_90_90;0.889;0.636;1.0;0.534;0.433;0.136;0.114;0.433;0.136;1.0;0.136;0.136;0.65;0.136;0.136;0.227;0.889;0.636;0.889
ENST00000577376_90_90;0.437;0.17;0.534;1.0;0.796;0.219;0.177;0.796;0.219;0.534;0.219;0.219;0.802;0.219;0.219;0.372;0.437;0.17;0.437
ENST00000577513_90_90;0.343;0.07;0.433;0.796;1.0;0.267;0.209;1.0;0.267;0.433;0.267;0.267;0.641;0.267;0.267;0.461;0.343;0.07;0.343
ENST00000577682_90_90;0.074;0.0;0.136;0.219;0.267;1.0;0.559;0.267;1.0;0.136;1.0;1.0;0.182;1.0;1.0;0.558;0.074;0.0;0.074
ENST00000579381_90_90;0.065;0.0;0.114;0.177;0.209;0.559;1.0;0.209;0.559;0.114;0.559;0.559;0.151;0.559;0.559;0.361;0.065;0.0;0.065
ENST00000581229_90_90;0.343;0.07;0.433;0.796;1.0;0.267;0.209;1.0;0.267;0.433;0.267;0.267;0.641;0.267;0.267;0.461;0.343;0.07;0.343
ENST00000581381_90_90;0.074;0.0;0.136;0.219;0.267;1.0;0.559;0.267;1.0;0.136;1.0;1.0;0.182;1.0;1.0;0.558;0.074;0.0;0.074
ENST00000581407_90_90;0.889;0.636;1.0;0.534;0.433;0.136;0.114;0.433;0.136;1.0;0.136;0.136;0.65;0.136;0.136;0.227;0.889;0.636;0.889
ENST00000582059_90_90;0.074;0.0;0.136;0.219;0.267;1.0;0.559;0.267;1.0;0.136;1.0;1.0;0.182;1.0;1.0;0.558;0.074;0.0;0.074
ENST00000582266_90_90;0.074;0.0;0.136;0.219;0.267;1.0;0.559;0.267;1.0;0.136;1.0;1.0;0.182;1.0;1.0;0.558;0.074;0.0;0.074
ENST00000583307_90_90;0.546;0.286;0.65;0.802;0.641;0.182;0.151;0.641;0.182;0.65;0.182;0.182;1.0;0.182;0.182;0.305;0.546;0.286;0.546
ENST00000583522_90_90;0.074;0.0;0.136;0.219;0.267;1.0;0.559;0.267;1.0;0.136;1.0;1.0;0.182;1.0;1.0;0.558;0.074;0.0;0.074
ENST00000583953_90_90;0.074;0.0;0.136;0.219;0.267;1.0;0.559;0.267;1.0;0.136;1.0;1.0;0.182;1.0;1.0;0.558;0.074;0.0;0.074
ENST00000584059_90_90;0.149;0.0;0.227;0.372;0.461;0.558;0.361;0.461;0.558;0.227;0.558;0.558;0.305;0.558;0.558;1.0;0.149;0.0;0.149
ENSMUST00000073705_90_90;1.0;0.636;0.889;0.437;0.343;0.074;0.065;0.343;0.074;0.889;0.074;0.074;0.546;0.074;0.074;0.149;1.0;0.636;1.0
ENSMUST00000100782_90_90;0.636;1.0;0.636;0.17;0.07;0.0;0.0;0.07;0.0;0.636;0.0;0.0;0.286;0.0;0.0;0.0;0.636;1.0;0.636
ENSMUST00000155571_90_90;1.0;0.636;0.889;0.437;0.343;0.074;0.065;0.343;0.074;0.889;0.074;0.074;0.546;0.074;0.074;0.149;1.0;0.636;1.0
