;ENSCAFT00000002814_90_90;ENST00000280758_90_90;ENST00000357167_90_90;ENST00000415943_90_90;ENST00000420571_90_90;ENST00000490090_90_90;ENST00000494235_90_90;ENST00000550706_90_90;ENSMUST00000020231_90_90;ENSMUST00000105306_90_90;ENSMUST00000105307_90_90
ENSCAFT00000002814_90_90;1.0;0.708;0.346;0.208;0.667;0.64;0.095;0.182;0.625;0.417;0.792
ENST00000280758_90_90;0.708;1.0;0.478;0.273;0.95;0.905;0.1;0.25;0.52;0.435;0.68
ENST00000357167_90_90;0.346;0.478;1.0;0.158;0.435;0.417;0.143;0.118;0.231;0.8;0.385
ENST00000415943_90_90;0.208;0.273;0.158;1.0;0.286;0.273;0.0;0.3;0.3;0.235;0.25
ENST00000420571_90_90;0.667;0.95;0.435;0.286;1.0;0.857;0.105;0.263;0.542;0.391;0.64
ENST00000490090_90_90;0.64;0.905;0.417;0.273;0.857;1.0;0.048;0.25;0.52;0.375;0.615
ENST00000494235_90_90;0.095;0.1;0.143;0.0;0.105;0.048;1.0;0.0;0.0;0.154;0.091
ENST00000550706_90_90;0.182;0.25;0.118;0.3;0.263;0.25;0.0;1.0;0.278;0.125;0.227
ENSMUST00000020231_90_90;0.625;0.52;0.231;0.3;0.542;0.52;0.0;0.278;1.0;0.292;0.818
ENSMUST00000105306_90_90;0.417;0.435;0.8;0.235;0.391;0.375;0.154;0.125;0.292;1.0;0.458
ENSMUST00000105307_90_90;0.792;0.68;0.385;0.25;0.64;0.615;0.091;0.227;0.818;0.458;1.0
