;ENSCAFT00000028452_90_90;ENST00000331224_90_90;ENST00000341267_90_90;ENST00000392848_90_90;ENST00000556051_90_90;ENSMUST00000056110_90_90;ENSMUST00000109841_90_90;ENSMUST00000109842_90_90;ENSMUST00000109843_90_90;ENSMUST00000109844_90_90;ENSMUST00000109846_90_90;ENSMUST00000124293_90_90;ENSMUST00000173539_90_90;ENSMUST00000173812_90_90
ENSCAFT00000028452_90_90;;0.682;0.855;0.223;0.177;0.637;0.441;0.5;0.42;0.637;0.543;0.199;0.479;0.306
ENST00000331224_90_90;0.682;;;;;0.476;0.486;0.554;0.463;0.476;0.527;0.206;0.531;0.248
ENST00000341267_90_90;0.855;;;;;0.613;0.416;0.476;0.396;0.613;0.518;0.179;0.455;0.315
ENST00000392848_90_90;0.223;;;;;0.109;0.136;0.126;0.14;0.109;0.12;0.077;0.13;0.0
ENST00000556051_90_90;0.177;;;;;0.112;0.135;0.127;0.138;0.112;0.121;0.176;0.13;0.0
ENSMUST00000056110_90_90;0.637;0.476;0.613;0.109;0.112;;;;;;;;;
ENSMUST00000109841_90_90;0.441;0.486;0.416;0.136;0.135;;;;;;;;;
ENSMUST00000109842_90_90;0.5;0.554;0.476;0.126;0.127;;;;;;;;;
ENSMUST00000109843_90_90;0.42;0.463;0.396;0.14;0.138;;;;;;;;;
ENSMUST00000109844_90_90;0.637;0.476;0.613;0.109;0.112;;;;;;;;;
ENSMUST00000109846_90_90;0.543;0.527;0.518;0.12;0.121;;;;;;;;;
ENSMUST00000124293_90_90;0.199;0.206;0.179;0.077;0.176;;;;;;;;;
ENSMUST00000173539_90_90;0.479;0.531;0.455;0.13;0.13;;;;;;;;;
ENSMUST00000173812_90_90;0.306;0.248;0.315;0.0;0.0;;;;;;;;;
