;ENSCAFT00000020758_90_90;ENST00000379697_90_90;ENST00000379698_90_90;ENST00000379716_90_90;ENST00000379726_90_90;ENST00000397821_90_90;ENST00000431164_90_90;ENST00000432234_90_90;ENSMUST00000073094_90_90;ENSMUST00000080394_90_90;ENSMUST00000112451_90_90;ENSMUST00000112453_90_90;ENSMUST00000112456_90_90;ENSMUST00000123433_90_90;ENSMUST00000141354_90_90;ENSMUST00000152426_90_90
ENSCAFT00000020758_90_90;;0.545;0.683;0.424;0.663;0.754;0.158;0.331;0.726;0.728;0.519;0.497;0.748;0.249;0.516;0.3
ENST00000379697_90_90;0.545;;;;;;;;0.555;0.492;0.299;0.289;0.506;0.267;0.592;0.139
ENST00000379698_90_90;0.683;;;;;;;;0.559;0.659;0.437;0.417;0.59;0.297;0.447;0.194
ENST00000379716_90_90;0.424;;;;;;;;0.397;0.423;0.686;0.643;0.421;0.105;0.211;0.288
ENST00000379726_90_90;0.663;;;;;;;;0.635;0.649;0.429;0.411;0.582;0.294;0.441;0.191
ENST00000397821_90_90;0.754;;;;;;;;0.618;0.639;0.421;0.403;0.653;0.29;0.434;0.186
ENST00000431164_90_90;0.158;;;;;;;;0.164;0.174;0.0;0.0;0.175;0.502;0.227;0.0
ENST00000432234_90_90;0.331;;;;;;;;0.256;0.328;0.061;0.059;0.27;0.559;0.394;0.0
ENSMUST00000073094_90_90;0.726;0.555;0.559;0.397;0.635;0.618;0.164;0.256;;;;;;;;
ENSMUST00000080394_90_90;0.728;0.492;0.659;0.423;0.649;0.639;0.174;0.328;;;;;;;;
ENSMUST00000112451_90_90;0.519;0.299;0.437;0.686;0.429;0.421;0.0;0.061;;;;;;;;
ENSMUST00000112453_90_90;0.497;0.289;0.417;0.643;0.411;0.403;0.0;0.059;;;;;;;;
ENSMUST00000112456_90_90;0.748;0.506;0.59;0.421;0.582;0.653;0.175;0.27;;;;;;;;
ENSMUST00000123433_90_90;0.249;0.267;0.297;0.105;0.294;0.29;0.502;0.559;;;;;;;;
ENSMUST00000141354_90_90;0.516;0.592;0.447;0.211;0.441;0.434;0.227;0.394;;;;;;;;
ENSMUST00000152426_90_90;0.3;0.139;0.194;0.288;0.191;0.186;0.0;0.0;;;;;;;;
