;transcript27_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript34_ENSRNOG00000031503;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript39_ENSMUGG00000013592;transcript49_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649
transcript27_ENSRNOG00000031503;1.0;0.924;1.0;0.954;0.953;0.955;0.955;0.955;0.873;0.874;0.874;0.86
transcript37_ENSMUGG00000013649;0.924;1.0;0.924;0.953;0.962;0.917;0.917;0.917;0.794;0.795;0.795;0.762
transcript34_ENSRNOG00000031503;1.0;0.924;1.0;0.954;0.953;0.955;0.955;0.955;0.873;0.874;0.874;0.86
transcript33_ENSMUSG00000054036;0.954;0.953;0.954;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.986
transcript33_MGP-PahariEiJ-G0020237;0.953;0.962;0.953;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.986
transcript27_ENSMUGG00000013649;0.955;0.917;0.955;1.0;1.0;1.0;1.0;1.0;0.913;0.913;0.913;0.9
transcript40_ENSMUGG00000013649;0.955;0.917;0.955;1.0;1.0;1.0;1.0;1.0;0.913;0.913;0.913;0.9
transcript39_ENSMUGG00000013592;0.955;0.917;0.955;1.0;1.0;1.0;1.0;1.0;0.913;0.913;0.913;0.9
transcript49_ENSMUGG00000013649;0.873;0.794;0.873;1.0;1.0;0.913;0.913;0.913;1.0;1.0;1.0;0.986
transcript38_ENSMUGG00000013649;0.874;0.795;0.874;1.0;1.0;0.913;0.913;0.913;1.0;1.0;1.0;0.986
transcript45_ENSMUGG00000013649;0.874;0.795;0.874;1.0;1.0;0.913;0.913;0.913;1.0;1.0;1.0;0.986
transcript46_ENSMUGG00000013649;0.86;0.762;0.86;0.986;0.986;0.9;0.9;0.9;0.986;0.986;0.986;1.0
