;ENSCAFT00000028257_90_90;ENST00000422393_90_90;ENST00000433491_90_90;ENST00000434483_90_90;ENST00000443502_90_90;ENST00000455268_90_90;ENST00000494475_90_90;ENST00000612423_90_90;ENST00000619236_90_90;ENST00000621218_90_90;ENSMUST00000033800_90_90;ENSMUST00000113085_90_90
ENSCAFT00000028257_90_90;1.0;0.6;0.2;0.6;0.4;0.6;0.6;1.0;0.8;1.0;1.0;0.8
ENST00000422393_90_90;0.6;1.0;0.286;0.857;0.429;0.875;0.778;0.583;0.625;0.583;0.545;0.571
ENST00000433491_90_90;0.2;0.286;1.0;0.333;0.667;0.25;0.222;0.167;0.333;0.167;0.091;0.2
ENST00000434483_90_90;0.6;0.857;0.333;1.0;0.5;0.75;0.667;0.5;0.714;0.5;0.455;0.667
ENST00000443502_90_90;0.4;0.429;0.667;0.5;1.0;0.375;0.333;0.25;0.5;0.25;0.182;0.4
ENST00000455268_90_90;0.6;0.875;0.25;0.75;0.375;1.0;0.889;0.667;0.556;0.667;0.636;0.5
ENST00000494475_90_90;0.6;0.778;0.222;0.667;0.333;0.889;1.0;0.75;0.5;0.75;0.727;0.444
ENST00000612423_90_90;1.0;0.583;0.167;0.5;0.25;0.667;0.75;1.0;0.5;1.0;1.0;0.455
ENST00000619236_90_90;0.8;0.625;0.333;0.714;0.5;0.556;0.5;0.5;1.0;0.5;0.455;1.0
ENST00000621218_90_90;1.0;0.583;0.167;0.5;0.25;0.667;0.75;1.0;0.5;1.0;1.0;0.455
ENSMUST00000033800_90_90;1.0;0.545;0.091;0.455;0.182;0.636;0.727;1.0;0.455;1.0;1.0;0.5
ENSMUST00000113085_90_90;0.8;0.571;0.2;0.667;0.4;0.5;0.444;0.455;1.0;0.455;0.5;1.0
