;transcript6_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript7_ENSMUNG00000002377;transcript7_ENSMUNG00000002391;transcript19_ENSMUNG00000007775;transcript19_ENSMUNG00000002377;transcript22_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript27_ENSMUNG00000002377;transcript28_ENSMUNG00000002377;transcript3_ENSPNYG00000024266;transcript3_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.579;0.579;0.579;0.756;0.756;0.579;0.756;0.756;0.756;0.704;0.683
transcript7_ENSMUNG00000007775;0.579;1.0;1.0;1.0;0.774;0.774;1.0;0.774;0.774;0.774;0.572;0.525
transcript7_ENSMUNG00000002377;0.579;1.0;1.0;1.0;0.774;0.774;1.0;0.774;0.774;0.774;0.572;0.525
transcript7_ENSMUNG00000002391;0.579;1.0;1.0;1.0;0.774;0.774;1.0;0.774;0.774;0.774;0.572;0.525
transcript19_ENSMUNG00000007775;0.756;0.774;0.774;0.774;1.0;1.0;0.774;1.0;1.0;1.0;0.739;0.686
transcript19_ENSMUNG00000002377;0.756;0.774;0.774;0.774;1.0;1.0;0.774;1.0;1.0;1.0;0.739;0.686
transcript22_ENSMUNG00000007775;0.579;1.0;1.0;1.0;0.774;0.774;1.0;0.774;0.774;0.774;0.572;0.525
transcript23_ENSMUNG00000007775;0.756;0.774;0.774;0.774;1.0;1.0;0.774;1.0;1.0;1.0;0.739;0.686
transcript27_ENSMUNG00000002377;0.756;0.774;0.774;0.774;1.0;1.0;0.774;1.0;1.0;1.0;0.739;0.686
transcript28_ENSMUNG00000002377;0.756;0.774;0.774;0.774;1.0;1.0;0.774;1.0;1.0;1.0;0.739;0.686
transcript3_ENSPNYG00000024266;0.704;0.572;0.572;0.572;0.739;0.739;0.572;0.739;0.739;0.739;1.0;0.939
transcript3_ENSXMAG00000026005;0.683;0.525;0.525;0.525;0.686;0.686;0.525;0.686;0.686;0.686;0.939;1.0
