;ENSCAFT00000015568_90_90;ENST00000311559_90_90;ENST00000398568_90_90;ENST00000427738_90_90;ENST00000562884_90_90;ENST00000564326_90_90;ENST00000564634_90_90;ENST00000566024_90_90;ENST00000566206_90_90;ENST00000566679_90_90;ENST00000568704_90_90;ENST00000569418_90_90;ENST00000569681_90_90;ENSMUST00000043526_90_90;ENSMUST00000098519_90_90;ENSMUST00000109626_90_90;ENSMUST00000209206_90_90;ENSMUST00000209532_90_90;ENSMUST00000209559_90_90;ENSMUST00000211554_90_90
ENSCAFT00000015568_90_90;1.0;0.999;0.999;0.999;0.093;0.999;0.035;0.048;0.936;0.319;0.808;0.999;0.175;1.0;1.0;1.0;0.808;1.0;1.0;1.0
ENST00000311559_90_90;0.999;1.0;0.997;1.0;0.091;0.997;0.035;0.046;0.916;0.318;0.806;0.997;0.174;0.997;0.999;0.996;0.806;0.999;0.996;0.996
ENST00000398568_90_90;0.999;0.997;1.0;0.997;0.091;1.0;0.035;0.046;0.919;0.319;0.809;1.0;0.175;0.999;0.997;0.999;0.808;0.997;0.999;0.999
ENST00000427738_90_90;0.999;1.0;0.997;1.0;0.091;0.997;0.035;0.046;0.916;0.318;0.806;0.997;0.174;0.997;0.999;0.996;0.806;0.999;0.996;0.996
ENST00000562884_90_90;0.093;0.091;0.091;0.091;1.0;0.091;0.0;0.533;0.095;0.0;0.112;0.091;0.0;0.093;0.093;0.093;0.116;0.093;0.093;0.093
ENST00000564326_90_90;0.999;0.997;1.0;0.997;0.091;1.0;0.035;0.046;0.919;0.319;0.809;1.0;0.175;0.999;0.997;0.999;0.808;0.997;0.999;0.999
ENST00000564634_90_90;0.035;0.035;0.035;0.035;0.0;0.035;1.0;0.0;0.037;0.11;0.043;0.035;0.2;0.035;0.035;0.035;0.043;0.035;0.035;0.035
ENST00000566024_90_90;0.048;0.046;0.046;0.046;0.533;0.046;0.0;1.0;0.048;0.0;0.057;0.046;0.0;0.048;0.048;0.048;0.059;0.048;0.048;0.048
ENST00000566206_90_90;0.936;0.916;0.919;0.916;0.095;0.919;0.037;0.048;1.0;0.334;0.732;0.919;0.183;0.936;0.934;0.936;0.745;0.934;0.936;0.936
ENST00000566679_90_90;0.319;0.318;0.319;0.318;0.0;0.319;0.11;0.0;0.334;1.0;0.395;0.319;0.547;0.32;0.319;0.32;0.395;0.319;0.32;0.32
ENST00000568704_90_90;0.808;0.806;0.809;0.806;0.112;0.809;0.043;0.057;0.732;0.395;1.0;0.809;0.216;0.808;0.806;0.808;0.999;0.806;0.808;0.808
ENST00000569418_90_90;0.999;0.997;1.0;0.997;0.091;1.0;0.035;0.046;0.919;0.319;0.809;1.0;0.175;0.999;0.997;0.999;0.808;0.997;0.999;0.999
ENST00000569681_90_90;0.175;0.174;0.175;0.174;0.0;0.175;0.2;0.0;0.183;0.547;0.216;0.175;1.0;0.175;0.174;0.175;0.216;0.174;0.175;0.175
ENSMUST00000043526_90_90;1.0;0.997;0.999;0.997;0.093;0.999;0.035;0.048;0.936;0.32;0.808;0.999;0.175;1.0;0.994;0.997;0.806;0.994;0.997;0.997
ENSMUST00000098519_90_90;1.0;0.999;0.997;0.999;0.093;0.997;0.035;0.048;0.934;0.319;0.806;0.997;0.174;0.994;1.0;0.997;0.806;1.0;0.997;0.997
ENSMUST00000109626_90_90;1.0;0.996;0.999;0.996;0.093;0.999;0.035;0.048;0.936;0.32;0.808;0.999;0.175;0.997;0.997;1.0;0.809;0.997;1.0;1.0
ENSMUST00000209206_90_90;0.808;0.806;0.808;0.806;0.116;0.808;0.043;0.059;0.745;0.395;0.999;0.808;0.216;0.806;0.806;0.809;1.0;0.806;0.809;0.809
ENSMUST00000209532_90_90;1.0;0.999;0.997;0.999;0.093;0.997;0.035;0.048;0.934;0.319;0.806;0.997;0.174;0.994;1.0;0.997;0.806;1.0;0.997;0.997
ENSMUST00000209559_90_90;1.0;0.996;0.999;0.996;0.093;0.999;0.035;0.048;0.936;0.32;0.808;0.999;0.175;0.997;0.997;1.0;0.809;0.997;1.0;1.0
ENSMUST00000211554_90_90;1.0;0.996;0.999;0.996;0.093;0.999;0.035;0.048;0.936;0.32;0.808;0.999;0.175;0.997;0.997;1.0;0.809;0.997;1.0;1.0
