;ENSCAFT00000005545_90_90;ENST00000369254_90_90;ENST00000369261_90_90;ENST00000447886_90_90;ENST00000536676_90_90;ENST00000539200_90_90;ENST00000544166_90_90;ENST00000620278_90_90;ENSMUST00000084781_90_90;ENSMUST00000108214_90_90;ENSMUST00000108218_90_90;ENSMUST00000140652_90_90;ENSMUST00000150920_90_90
ENSCAFT00000005545_90_90;1.0;0.224;1.0;0.241;0.942;0.889;0.284;0.252;0.947;0.577;1.0;0.224;0.058
ENST00000369254_90_90;0.224;1.0;0.224;0.117;0.166;0.113;0.031;0.0;0.171;0.381;0.224;1.0;0.235
ENST00000369261_90_90;1.0;0.224;1.0;0.232;0.942;0.889;0.284;0.252;0.947;0.577;1.0;0.224;0.057
ENST00000447886_90_90;0.241;0.117;0.232;1.0;0.245;0.191;0.021;0.0;0.188;0.261;0.241;0.129;0.0
ENST00000536676_90_90;0.942;0.166;0.942;0.245;1.0;0.943;0.301;0.267;0.889;0.519;0.942;0.166;0.0
ENST00000539200_90_90;0.889;0.113;0.889;0.191;0.943;1.0;0.302;0.283;0.939;0.466;0.889;0.113;0.0
ENST00000544166_90_90;0.284;0.031;0.284;0.021;0.301;0.302;1.0;0.886;0.284;0.414;0.284;0.031;0.0
ENST00000620278_90_90;0.252;0.0;0.252;0.0;0.267;0.283;0.886;1.0;0.266;0.408;0.252;0.0;0.0
ENSMUST00000084781_90_90;0.947;0.171;0.947;0.188;0.889;0.939;0.284;0.266;1.0;0.524;0.947;0.171;0.06
ENSMUST00000108214_90_90;0.577;0.381;0.577;0.261;0.519;0.466;0.414;0.408;0.524;1.0;0.577;0.381;0.097
ENSMUST00000108218_90_90;1.0;0.224;1.0;0.241;0.942;0.889;0.284;0.252;0.947;0.577;1.0;0.224;0.057
ENSMUST00000140652_90_90;0.224;1.0;0.224;0.129;0.166;0.113;0.031;0.0;0.171;0.381;0.224;1.0;0.235
ENSMUST00000150920_90_90;0.058;0.235;0.057;0.0;0.0;0.0;0.0;0.0;0.06;0.097;0.057;0.235;1.0
