id_transcript;block_sequence
ENSCAFT00000005545_90_90;0.1.3.4.5.7.8.9.10.11.12
ENST00000369254_90_90;0.1.3.4.9
ENST00000369261_90_90;0.1.3.4.5.7.8.9.10.11.12
ENST00000447886_90_90;3.4.5.6.7
ENST00000536676_90_90;0.3.4.5.7.8.9.10.11.12
ENST00000539200_90_90;0.5.7.8.9.10.11.12
ENST00000544166_90_90;4.9.10.11.12
ENST00000620278_90_90;11.12
ENSMUST00000084781_90_90;0.1.5.7.8.9.10.11.12
ENSMUST00000108214_90_90;0.1.3.4.5.12
ENSMUST00000108218_90_90;0.1.3.4.5.7.8.9.10.11.12
ENSMUST00000140652_90_90;0.1.3.4.9
ENSMUST00000150920_90_90;1.2
