;ENSCAFT00000032340_90_90;ENST00000342203_90_90;ENST00000422026_90_90;ENST00000437941_90_90;ENST00000476905_90_90;ENST00000481102_90_90;ENST00000603677_90_90;ENST00000605755_90_90;ENSMUST00000039021_90_90;ENSMUST00000106149_90_90;ENSMUST00000106151_90_90;ENSMUST00000106153_90_90;ENSMUST00000129978_90_90;ENSMUST00000149262_90_90
ENSCAFT00000032340_90_90;1.0;0.708;0.342;0.62;0.579;0.744;0.154;0.62;0.923;0.923;0.923;0.927;0.249;0.147
ENST00000342203_90_90;0.708;1.0;0.312;0.89;0.714;0.895;0.087;0.89;0.694;0.694;0.694;0.738;0.257;0.154
ENST00000422026_90_90;0.342;0.312;1.0;0.207;0.328;0.326;0.0;0.207;0.331;0.331;0.331;0.313;0.731;0.409
ENST00000437941_90_90;0.62;0.89;0.207;1.0;0.661;0.79;0.094;1.0;0.61;0.61;0.61;0.653;0.146;0.044
ENST00000476905_90_90;0.579;0.714;0.328;0.661;1.0;0.746;0.0;0.661;0.568;0.568;0.568;0.612;0.262;0.14
ENST00000481102_90_90;0.744;0.895;0.326;0.79;0.746;1.0;0.092;0.79;0.73;0.73;0.73;0.774;0.267;0.158
ENST00000603677_90_90;0.154;0.087;0.0;0.094;0.0;0.092;1.0;0.094;0.15;0.15;0.15;0.142;0.0;0.0
ENST00000605755_90_90;0.62;0.89;0.207;1.0;0.661;0.79;0.094;1.0;0.61;0.61;0.61;0.653;0.146;0.044
ENSMUST00000039021_90_90;0.923;0.694;0.331;0.61;0.568;0.73;0.15;0.61;1.0;1.0;1.0;0.952;0.241;0.142
ENSMUST00000106149_90_90;0.923;0.694;0.331;0.61;0.568;0.73;0.15;0.61;1.0;1.0;1.0;0.952;0.241;0.142
ENSMUST00000106151_90_90;0.923;0.694;0.331;0.61;0.568;0.73;0.15;0.61;1.0;1.0;1.0;0.952;0.241;0.142
ENSMUST00000106153_90_90;0.927;0.738;0.313;0.653;0.612;0.774;0.142;0.653;0.952;0.952;0.952;1.0;0.228;0.132
ENSMUST00000129978_90_90;0.249;0.257;0.731;0.146;0.262;0.267;0.0;0.146;0.241;0.241;0.241;0.228;1.0;0.566
ENSMUST00000149262_90_90;0.147;0.154;0.409;0.044;0.14;0.158;0.0;0.044;0.142;0.142;0.142;0.132;0.566;1.0
