;ENSCAFT00000021165_90_90;ENSCAFT00000021175_90_90;ENSCAFT00000022869_90_90;ENSCAFT00000049479_90_90;ENST00000346964_90_90;ENST00000357674_90_90;ENST00000392380_90_90;ENST00000392381_90_90;ENST00000392382_90_90;ENST00000412364_90_90;ENST00000419227_90_90;ENST00000419354_90_90;ENST00000419553_90_90;ENST00000422288_90_90;ENST00000434148_90_90;ENST00000436682_90_90;ENST00000443183_90_90;ENST00000447466_90_90;ENST00000448528_90_90;ENST00000450955_90_90;ENST00000452595_90_90;ENST00000453607_90_90;ENST00000456699_90_90;ENST00000378154_90_90;ENST00000378158_90_90;ENST00000378163_90_90;ENST00000378166_90_90;ENST00000378168_90_90;ENST00000378179_90_90;ENST00000421587_90_90;ENST00000442742_90_90;ENSMUST00000023454_90_90;ENSMUST00000064477_90_90;ENSMUST00000100001_90_90;ENSMUST00000115196_90_90;ENSMUST00000115201_90_90;ENSMUST00000115205_90_90;ENSMUST00000130920_90_90;ENSMUST00000131136_90_90;ENSMUST00000132176_90_90;ENSMUST00000033321_90_90;ENSMUST00000115435_90_90;ENSMUST00000115436_90_90;ENSMUST00000115438_90_90;ENSMUST00000124710_90_90;ENSMUST00000128012_90_90;ENSMUST00000128095_90_90;ENSMUST00000139735_90_90;ENSMUST00000156096_90_90
ENSCAFT00000021165_90_90;1.0;0.86;0.936;0.909;0.994;0.959;0.223;0.696;0.924;0.114;0.399;0.958;0.167;0.904;0.039;0.133;0.749;0.287;0.958;0.959;0.75;0.121;0.193;0.517;0.917;0.935;0.928;0.471;0.615;0.902;0.902;0.925;0.997;0.96;0.785;0.959;0.96;0.031;0.385;0.6;0.911;0.108;0.896;0.922;0.146;0.162;0.233;0.346;0.868
ENSCAFT00000021175_90_90;0.86;1.0;0.91;0.872;0.939;0.904;0.235;0.732;0.872;0.12;0.42;0.906;0.175;0.853;0.04;0.14;0.701;0.302;0.906;0.904;0.699;0.127;0.203;0.561;0.891;0.897;0.903;0.413;0.578;0.865;0.876;0.875;0.942;0.909;0.738;0.91;0.909;0.033;0.405;0.631;0.874;0.066;0.858;0.885;0.152;0.168;0.191;0.345;0.83
ENSCAFT00000022869_90_90;0.936;0.91;1.0;0.963;0.811;0.784;0.164;0.554;0.769;0.066;0.301;0.796;0.114;0.748;0.0;0.085;0.706;0.22;0.796;0.784;0.704;0.122;0.141;0.629;0.987;0.995;1.0;0.406;0.554;0.963;0.975;0.777;0.822;0.805;0.743;0.805;0.805;0.034;0.33;0.484;0.974;0.093;0.963;0.987;0.162;0.27;0.197;0.298;0.934
ENSCAFT00000049479_90_90;0.909;0.872;0.963;1.0;0.788;0.761;0.168;0.522;0.746;0.067;0.301;0.773;0.117;0.725;0.0;0.087;0.682;0.219;0.773;0.761;0.68;0.119;0.145;0.635;0.95;0.969;0.963;0.389;0.577;1.0;0.988;0.754;0.799;0.782;0.719;0.782;0.782;0.035;0.305;0.453;0.961;0.096;0.999;0.974;0.166;0.268;0.202;0.314;0.97
ENST00000346964_90_90;0.994;0.939;0.811;0.788;1.0;0.963;0.225;0.688;0.917;0.114;0.4;0.952;0.167;0.898;0.039;0.133;0.68;0.281;0.952;0.964;0.688;0.12;0.193;0.453;0.795;0.811;0.805;0.466;0.619;0.783;0.782;0.916;0.994;0.951;0.711;0.944;0.951;0.031;0.387;0.603;0.791;0.109;0.778;0.801;0.142;0.142;0.235;0.34;0.753
ENST00000357674_90_90;0.959;0.904;0.784;0.761;0.963;1.0;0.189;0.654;0.952;0.119;0.415;0.918;0.173;0.932;0.04;0.138;0.703;0.292;0.918;0.999;0.712;0.124;0.201;0.426;0.769;0.784;0.779;0.481;0.639;0.756;0.755;0.949;0.959;0.916;0.678;0.909;0.916;0.032;0.401;0.626;0.764;0.113;0.751;0.774;0.146;0.114;0.243;0.351;0.727
ENST00000392380_90_90;0.223;0.235;0.164;0.168;0.225;0.189;1.0;0.316;0.194;0.51;0.386;0.23;0.742;0.179;0.171;0.593;0.014;0.029;0.23;0.189;0.014;0.2;0.825;0.261;0.166;0.163;0.164;0.0;0.0;0.168;0.168;0.194;0.225;0.23;0.047;0.228;0.23;0.0;0.0;0.297;0.164;0.0;0.167;0.163;0.541;0.102;0.0;0.0;0.141
ENST00000392381_90_90;0.696;0.732;0.554;0.522;0.688;0.654;0.316;1.0;0.669;0.161;0.562;0.705;0.235;0.649;0.054;0.187;0.449;0.392;0.705;0.653;0.454;0.168;0.272;0.618;0.54;0.547;0.55;0.159;0.312;0.519;0.526;0.677;0.696;0.713;0.487;0.708;0.713;0.044;0.515;0.861;0.532;0.0;0.519;0.542;0.204;0.196;0.0;0.162;0.494
ENST00000392382_90_90;0.924;0.872;0.769;0.746;0.917;0.952;0.194;0.669;1.0;0.122;0.425;0.963;0.177;0.979;0.041;0.142;0.739;0.299;0.963;0.951;0.748;0.127;0.206;0.433;0.753;0.769;0.763;0.463;0.62;0.741;0.74;0.996;0.914;0.96;0.711;0.952;0.96;0.033;0.41;0.64;0.749;0.115;0.736;0.759;0.149;0.116;0.248;0.332;0.711
ENST00000412364_90_90;0.114;0.12;0.066;0.067;0.114;0.119;0.51;0.161;0.122;1.0;0.286;0.117;0.687;0.124;0.336;0.859;0.0;0.0;0.117;0.119;0.0;0.0;0.592;0.104;0.066;0.065;0.066;0.0;0.0;0.067;0.067;0.122;0.114;0.117;0.0;0.116;0.117;0.0;0.0;0.191;0.066;0.0;0.067;0.065;0.374;0.0;0.0;0.0;0.041
