;ENSCAFT00000014361_90_90;ENSCAFT00000049149_90_90;ENST00000258104_90_90;ENST00000394120_90_90;ENST00000409366_90_90;ENST00000409582_90_90;ENST00000409651_90_90;ENST00000409744_90_90;ENST00000409762_90_90;ENST00000410020_90_90;ENST00000410041_90_90;ENST00000413539_90_90;ENST00000429174_90_90;ENSMUST00000081904_90_90;ENSMUST00000089595_90_90;ENSMUST00000113818_90_90;ENSMUST00000113821_90_90;ENSMUST00000113823_90_90;ENSMUST00000153860_90_90;ENSMUST00000168387_90_90;ENSMUST00000203695_90_90;ENSMUST00000203803_90_90;ENSMUST00000204354_90_90;ENSMUST00000204591_90_90;ENSMUST00000204987_90_90
ENSCAFT00000014361_90_90;1.0;0.706;0.692;0.769;0.846;0.846;0.846;0.846;0.769;0.923;0.846;0.769;0.769;0.786;0.714;0.714;0.643;0.714;0.714;0.714;0.786;0.769;0.786;0.786;0.786
ENSCAFT00000049149_90_90;0.706;1.0;0.909;0.833;0.917;0.917;0.769;0.917;0.833;0.846;0.769;0.833;1.0;0.714;0.769;0.769;0.833;0.769;0.917;0.917;0.714;0.692;0.846;0.846;0.846
ENST00000258104_90_90;0.692;0.909;1.0;0.846;0.786;0.786;0.786;0.714;0.846;0.667;0.714;0.923;0.923;0.643;0.769;0.692;0.917;0.769;0.846;1.0;0.714;0.769;0.643;0.714;0.714
ENST00000394120_90_90;0.769;0.833;0.846;1.0;0.923;0.667;0.923;0.846;0.714;0.786;0.846;0.786;0.786;0.769;0.917;0.833;0.769;0.643;0.714;0.846;0.846;0.643;0.769;0.6;0.846
ENST00000409366_90_90;0.846;0.917;0.786;0.923;1.0;0.733;0.857;0.923;0.667;0.857;0.786;0.733;0.857;0.714;0.846;0.769;0.714;0.6;0.786;0.786;0.786;0.6;0.846;0.667;0.923
ENST00000409582_90_90;0.846;0.917;0.786;0.667;0.733;1.0;0.733;0.786;0.923;0.857;0.786;0.857;0.857;0.714;0.6;0.643;0.714;0.846;0.786;0.786;0.667;0.714;0.714;0.923;0.667
ENST00000409651_90_90;0.846;0.769;0.786;0.923;0.857;0.733;1.0;0.786;0.786;0.857;0.923;0.857;0.733;0.846;0.846;0.769;0.714;0.714;0.667;0.786;0.923;0.714;0.714;0.667;0.786
ENST00000409744_90_90;0.846;0.917;0.714;0.846;0.923;0.786;0.786;1.0;0.714;0.923;0.846;0.667;0.786;0.769;0.769;0.833;0.643;0.643;0.714;0.714;0.714;0.533;0.917;0.714;0.846
ENST00000409762_90_90;0.769;0.833;0.846;0.714;0.667;0.923;0.786;0.714;1.0;0.786;0.846;0.923;0.786;0.769;0.643;0.692;0.769;0.917;0.714;0.846;0.714;0.769;0.643;0.846;0.6
ENST00000410020_90_90;0.923;0.846;0.667;0.786;0.857;0.857;0.857;0.923;0.786;1.0;0.923;0.733;0.733;0.846;0.714;0.769;0.6;0.714;0.667;0.667;0.786;0.6;0.846;0.786;0.786
ENST00000410041_90_90;0.846;0.769;0.714;0.846;0.786;0.786;0.923;0.846;0.846;0.923;1.0;0.786;0.667;0.917;0.769;0.833;0.643;0.769;0.6;0.714;0.846;0.643;0.769;0.714;0.714
ENST00000413539_90_90;0.769;0.833;0.923;0.786;0.733;0.857;0.857;0.667;0.923;0.733;0.786;1.0;0.857;0.714;0.714;0.643;0.846;0.846;0.786;0.923;0.786;0.846;0.6;0.786;0.667
ENST00000429174_90_90;0.769;1.0;0.923;0.786;0.857;0.857;0.733;0.786;0.786;0.733;0.667;0.857;1.0;0.6;0.714;0.643;0.846;0.714;0.923;0.923;0.667;0.714;0.714;0.786;0.786
ENSMUST00000081904_90_90;0.786;0.714;0.643;0.769;0.714;0.714;0.846;0.769;0.769;0.846;0.917;0.714;0.6;1.0;0.857;0.923;0.733;0.857;0.688;0.647;0.929;0.733;0.857;0.8;0.8
ENSMUST00000089595_90_90;0.714;0.769;0.769;0.917;0.846;0.6;0.846;0.769;0.643;0.714;0.769;0.714;0.714;0.857;1.0;0.923;0.857;0.733;0.8;0.75;0.929;0.733;0.857;0.688;0.929
ENSMUST00000113818_90_90;0.714;0.769;0.692;0.833;0.769;0.643;0.769;0.833;0.692;0.769;0.833;0.643;0.643;0.923;0.923;1.0;0.786;0.786;0.733;0.688;0.857;0.667;0.923;0.733;0.857
ENSMUST00000113821_90_90;0.643;0.833;0.917;0.769;0.714;0.714;0.714;0.643;0.769;0.6;0.643;0.846;0.846;0.733;0.857;0.786;1.0;0.857;0.929;0.867;0.8;0.857;0.733;0.8;0.8
ENSMUST00000113823_90_90;0.714;0.769;0.769;0.643;0.6;0.846;0.714;0.643;0.917;0.714;0.769;0.846;0.714;0.857;0.733;0.786;0.857;1.0;0.8;0.75;0.8;0.857;0.733;0.929;0.688
ENSMUST00000153860_90_90;0.714;0.917;0.846;0.714;0.786;0.786;0.667;0.714;0.714;0.667;0.6;0.786;0.923;0.688;0.8;0.733;0.929;0.8;1.0;0.812;0.75;0.8;0.8;0.867;0.867
ENSMUST00000168387_90_90;0.714;0.917;1.0;0.846;0.786;0.786;0.786;0.714;0.846;0.667;0.714;0.923;0.923;0.647;0.75;0.688;0.867;0.75;0.812;1.0;0.706;0.75;0.647;0.706;0.706
ENSMUST00000203695_90_90;0.786;0.714;0.714;0.846;0.786;0.667;0.923;0.714;0.714;0.786;0.846;0.786;0.667;0.929;0.929;0.857;0.8;0.8;0.75;0.706;1.0;0.8;0.8;0.75;0.867
ENSMUST00000203803_90_90;0.769;0.692;0.769;0.643;0.6;0.714;0.714;0.533;0.769;0.6;0.643;0.846;0.714;0.733;0.733;0.667;0.857;0.857;0.8;0.75;0.8;1.0;0.625;0.8;0.688
ENSMUST00000204354_90_90;0.786;0.846;0.643;0.769;0.846;0.714;0.714;0.917;0.643;0.846;0.769;0.6;0.714;0.857;0.857;0.923;0.733;0.733;0.8;0.647;0.8;0.625;1.0;0.8;0.929
ENSMUST00000204591_90_90;0.786;0.846;0.714;0.6;0.667;0.923;0.667;0.714;0.846;0.786;0.714;0.786;0.786;0.8;0.688;0.733;0.8;0.929;0.867;0.706;0.75;0.8;0.8;1.0;0.75
ENSMUST00000204987_90_90;0.786;0.846;0.714;0.846;0.923;0.667;0.786;0.846;0.6;0.786;0.714;0.667;0.786;0.8;0.929;0.857;0.8;0.688;0.867;0.706;0.867;0.688;0.929;0.75;1.0
