;transcript7_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript41_ENSCGRG00015005362;transcript42_ENSCGRG00015005362;transcript43_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript33_ENSCGRG00000018457;transcript46_ENSCGRG00000018457;transcript47_ENSCGRG00000018457;transcript33_ENSCGRG00001010245;transcript40_ENSCGRG00001010245
transcript7_ENSCGRG00015005362;1.0;0.75;0.625;0.857;0.857;0.625;0.75;0.75;0.5;0.75;0.75
transcript33_ENSCGRG00015005362;0.75;1.0;0.875;0.875;0.875;0.875;1.0;1.0;0.75;1.0;1.0
transcript41_ENSCGRG00015005362;0.625;0.875;1.0;0.75;0.75;0.75;0.875;0.875;0.625;0.875;0.875
transcript42_ENSCGRG00015005362;0.857;0.875;0.75;1.0;1.0;0.75;0.875;0.875;0.625;0.875;0.875
transcript43_ENSCGRG00015005362;0.857;0.875;0.75;1.0;1.0;0.75;0.875;0.875;0.625;0.875;0.875
transcript7_ENSCGRG00000018457;0.625;0.875;0.75;0.75;0.75;1.0;0.875;0.875;0.857;0.875;0.875
transcript33_ENSCGRG00000018457;0.75;1.0;0.875;0.875;0.875;0.875;1.0;1.0;0.75;1.0;1.0
transcript46_ENSCGRG00000018457;0.75;1.0;0.875;0.875;0.875;0.875;1.0;1.0;0.75;1.0;1.0
transcript47_ENSCGRG00000018457;0.5;0.75;0.625;0.625;0.625;0.857;0.75;0.75;1.0;0.75;0.75
transcript33_ENSCGRG00001010245;0.75;1.0;0.875;0.875;0.875;0.875;1.0;1.0;0.75;1.0;1.0
transcript40_ENSCGRG00001010245;0.75;1.0;0.875;0.875;0.875;0.875;1.0;1.0;0.75;1.0;1.0
