;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript15_ENSSTOG00000019743;transcript36_ENSCGRG00000018457;transcript25_ENSCPOG00000024843
transcript6_ENSMPUG00000020072;1.0;0.966;0.94;0.955;0.845;0.966;0.802;0.727;1.0;0.875;1.0;1.0;1.0;0.819;1.0
transcript6_ENSECAG00000007947;0.966;1.0;0.967;0.9;0.864;1.0;0.822;0.674;0.906;0.792;0.906;0.905;0.957;0.754;0.871
transcript7_ENSECAG00000007947;0.94;0.967;1.0;0.926;0.894;0.967;0.85;0.696;0.906;0.818;0.906;0.905;0.957;0.779;0.871
transcript7_ENSMLUG00000027828;0.955;0.9;0.926;1.0;0.83;0.9;0.789;0.761;0.965;0.873;0.965;0.966;0.986;0.838;0.93
transcript19_ENSECAG00000007947;0.845;0.864;0.894;0.83;1.0;0.864;0.95;0.714;0.901;0.897;0.901;0.901;0.952;0.855;0.792
transcript20_ENSECAG00000007947;0.966;1.0;0.967;0.9;0.864;1.0;0.822;0.674;0.906;0.792;0.906;0.905;0.957;0.754;0.871
transcript21_ENSECAG00000007947;0.802;0.822;0.85;0.789;0.95;0.822;1.0;0.729;0.861;0.861;0.861;0.857;0.911;0.887;0.753
transcript13_ENSMLUG00000027828;0.727;0.674;0.696;0.761;0.714;0.674;0.729;1.0;0.776;0.754;0.776;0.773;0.798;0.795;0.703
transcript15_ENSCGRG00015005362;1.0;0.906;0.906;0.965;0.901;0.906;0.861;0.776;1.0;1.0;1.0;1.0;1.0;0.933;1.0
transcript15_ENSCGRG00000018457;0.875;0.792;0.818;0.873;0.897;0.792;0.861;0.754;1.0;1.0;1.0;1.0;1.0;0.933;0.868
transcript15_ENSCGRG00001010245;1.0;0.906;0.906;0.965;0.901;0.906;0.861;0.776;1.0;1.0;1.0;1.0;1.0;0.933;1.0
transcript15_ENSPEMG00000024651;1.0;0.905;0.905;0.966;0.901;0.905;0.857;0.773;1.0;1.0;1.0;1.0;1.0;0.928;1.0
transcript15_ENSSTOG00000019743;1.0;0.957;0.957;0.986;0.952;0.957;0.911;0.798;1.0;1.0;1.0;1.0;1.0;0.948;1.0
transcript36_ENSCGRG00000018457;0.819;0.754;0.779;0.838;0.855;0.754;0.887;0.795;0.933;0.933;0.933;0.928;0.948;1.0;0.809
transcript25_ENSCPOG00000024843;1.0;0.871;0.871;0.93;0.792;0.871;0.753;0.703;1.0;0.868;1.0;1.0;1.0;0.809;1.0
