;ENSCAFT00000018602_90_90;ENST00000248933_90_90;ENST00000343706_90_90;ENST00000360929_90_90;ENST00000402979_90_90;ENST00000403121_90_90;ENST00000404234_90_90;ENST00000529632_90_90;ENST00000629590_90_90;ENSMUST00000075387_90_90;ENSMUST00000079491_90_90;ENSMUST00000197425_90_90;ENSMUST00000200575_90_90;ENSMUST00000212480_90_90;ENSMUST00000212758_90_90
ENSCAFT00000018602_90_90;1.0;0.943;0.87;0.871;0.787;0.712;0.942;0.93;0.932;0.998;0.999;0.93;0.743;1.0;0.92
ENST00000248933_90_90;0.943;1.0;0.926;0.927;0.777;0.703;0.999;0.987;0.989;0.94;0.941;0.874;0.746;0.942;0.863
ENST00000343706_90_90;0.87;0.926;1.0;0.873;0.703;0.759;0.925;0.934;0.936;0.862;0.863;0.923;0.666;0.864;0.936
ENST00000360929_90_90;0.871;0.927;0.873;1.0;0.704;0.648;0.926;0.935;0.937;0.863;0.864;0.798;0.787;0.865;0.808
ENST00000402979_90_90;0.787;0.777;0.703;0.704;1.0;0.905;0.778;0.766;0.767;0.822;0.823;0.754;0.906;0.823;0.744
ENST00000403121_90_90;0.712;0.703;0.759;0.648;0.905;1.0;0.704;0.71;0.711;0.743;0.744;0.797;0.809;0.743;0.808
ENST00000404234_90_90;0.942;0.999;0.925;0.926;0.778;0.704;1.0;0.988;0.988;0.94;0.941;0.874;0.747;0.941;0.864
ENST00000529632_90_90;0.93;0.987;0.934;0.935;0.766;0.71;0.988;1.0;0.998;0.93;0.929;0.864;0.734;0.928;0.873
ENST00000629590_90_90;0.932;0.989;0.936;0.937;0.767;0.711;0.988;0.998;1.0;0.928;0.929;0.862;0.734;0.93;0.873
ENSMUST00000075387_90_90;0.998;0.94;0.862;0.863;0.822;0.743;0.94;0.93;0.928;1.0;0.999;0.932;0.74;0.998;0.92
ENSMUST00000079491_90_90;0.999;0.941;0.863;0.864;0.823;0.744;0.941;0.929;0.929;0.999;1.0;0.931;0.741;0.999;0.921
ENSMUST00000197425_90_90;0.93;0.874;0.923;0.798;0.754;0.797;0.874;0.864;0.862;0.932;0.931;1.0;0.673;0.93;0.987
ENSMUST00000200575_90_90;0.743;0.746;0.666;0.787;0.906;0.809;0.747;0.734;0.734;0.74;0.741;0.673;1.0;0.74;0.662
ENSMUST00000212480_90_90;1.0;0.942;0.864;0.865;0.823;0.743;0.941;0.928;0.93;0.998;0.999;0.93;0.74;1.0;0.92
ENSMUST00000212758_90_90;0.92;0.863;0.936;0.808;0.744;0.808;0.864;0.873;0.873;0.92;0.921;0.987;0.662;0.92;1.0
