;ENSCAFT00000006410_90_90;ENSCAFT00000006413_90_90;ENSCAFT00000011282_90_90;ENST00000229471_90_90;ENST00000354650_90_90;ENST00000368667_90_90;ENST00000368678_90_90;ENST00000368682_90_90;ENST00000462598_90_90;ENST00000462856_90_90;ENST00000484067_90_90;ENST00000487824_90_90;ENST00000517419_90_90;ENST00000518295_90_90;ENST00000518630_90_90;ENST00000520518_90_90;ENST00000521062_90_90;ENST00000523238_90_90;ENST00000523570_90_90;ENST00000523574_90_90;ENST00000524310_90_90;ENST00000538466_90_90;ENST00000519728_90_90;ENST00000520050_90_90;ENST00000520220_90_90;ENSMUST00000063091_90_90;ENSMUST00000099967_90_90;ENSMUST00000126486_90_90;ENSMUST00000135242_90_90;ENSMUST00000136659_90_90;ENSMUST00000146287_90_90;ENSMUST00000148152_90_90;ENSMUST00000157009_90_90;ENSMUST00000041377_90_90;ENSMUST00000103010_90_90
ENSCAFT00000006410_90_90;1.0;0.673;0.998;0.897;0.999;0.999;0.898;0.898;0.13;0.432;0.199;0.12;0.326;0.284;0.219;0.346;0.192;0.284;0.215;0.259;0.269;0.898;0.992;0.285;0.955;0.898;0.999;0.898;0.898;0.897;0.898;0.213;0.068;0.992;0.955
ENSCAFT00000006413_90_90;0.673;1.0;0.722;0.758;0.681;0.681;0.757;0.757;0.0;0.245;0.0;0.0;0.126;0.08;0.007;0.149;0.0;0.079;0.003;0.052;0.063;0.757;0.72;0.122;0.748;0.757;0.681;0.757;0.757;0.758;0.757;0.0;0.0;0.72;0.748
ENSCAFT00000011282_90_90;0.998;0.722;1.0;0.899;0.997;0.997;0.899;0.899;0.104;0.411;0.163;0.1;0.297;0.253;0.183;0.319;0.155;0.252;0.179;0.226;0.237;0.899;1.0;0.294;0.959;0.899;0.997;0.899;0.899;0.899;0.899;0.177;0.069;1.0;0.959
ENST00000229471_90_90;0.897;0.758;0.899;1.0;0.898;0.898;0.903;0.903;0.145;0.482;0.221;0.134;0.364;0.317;0.245;0.387;0.214;0.317;0.241;0.29;0.301;0.903;0.893;0.317;0.856;0.903;0.898;0.903;0.903;1.0;0.903;0.237;0.076;0.893;0.856
ENST00000354650_90_90;0.999;0.681;0.997;0.898;1.0;1.0;0.818;0.818;0.13;0.433;0.199;0.12;0.327;0.285;0.22;0.347;0.192;0.284;0.216;0.26;0.27;0.818;0.991;0.285;0.954;0.818;1.0;0.818;0.818;0.898;0.818;0.213;0.068;0.991;0.954
ENST00000368667_90_90;0.999;0.681;0.997;0.898;1.0;1.0;0.818;0.818;0.13;0.433;0.199;0.12;0.327;0.285;0.22;0.347;0.192;0.284;0.216;0.26;0.27;0.818;0.991;0.285;0.954;0.818;1.0;0.818;0.818;0.898;0.818;0.213;0.068;0.991;0.954
ENST00000368678_90_90;0.898;0.757;0.899;0.903;0.818;0.818;1.0;1.0;0.131;0.435;0.2;0.121;0.328;0.287;0.221;0.349;0.193;0.286;0.217;0.262;0.272;1.0;0.894;0.316;0.856;1.0;0.818;1.0;1.0;0.903;1.0;0.214;0.069;0.894;0.856
ENST00000368682_90_90;0.898;0.757;0.899;0.903;0.818;0.818;1.0;1.0;0.131;0.435;0.2;0.121;0.328;0.287;0.221;0.349;0.193;0.286;0.217;0.262;0.272;1.0;0.894;0.316;0.856;1.0;0.818;1.0;1.0;0.903;1.0;0.214;0.069;0.894;0.856
ENST00000462598_90_90;0.13;0.0;0.104;0.145;0.13;0.13;0.131;0.131;1.0;0.301;0.656;0.924;0.399;0.458;0.593;0.376;0.68;0.459;0.603;0.501;0.483;0.131;0.104;0.36;0.066;0.131;0.13;0.131;0.131;0.145;0.131;0.612;0.524;0.104;0.066
ENST00000462856_90_90;0.432;0.245;0.411;0.482;0.433;0.433;0.435;0.435;0.301;1.0;0.459;0.278;0.755;0.659;0.508;0.802;0.443;0.657;0.499;0.601;0.624;0.435;0.411;0.7;0.373;0.435;0.433;0.435;0.435;0.482;0.435;0.492;0.158;0.411;0.373
ENST00000484067_90_90;0.199;0.0;0.163;0.221;0.199;0.199;0.2;0.2;0.656;0.459;1.0;0.606;0.608;0.697;0.904;0.572;0.966;0.699;0.92;0.764;0.736;0.2;0.163;0.566;0.125;0.2;0.199;0.2;0.2;0.221;0.2;0.933;0.344;0.163;0.125
ENST00000487824_90_90;0.12;0.0;0.1;0.134;0.12;0.12;0.121;0.121;0.924;0.278;0.606;1.0;0.369;0.423;0.548;0.347;0.628;0.424;0.557;0.463;0.446;0.121;0.1;0.346;0.062;0.121;0.12;0.121;0.121;0.134;0.121;0.566;0.567;0.1;0.062
ENST00000517419_90_90;0.326;0.126;0.297;0.364;0.327;0.327;0.328;0.328;0.399;0.755;0.608;0.369;1.0;0.873;0.673;0.941;0.587;0.871;0.662;0.797;0.827;0.328;0.297;0.967;0.26;0.328;0.327;0.328;0.328;0.364;0.328;0.652;0.209;0.297;0.26
ENST00000518295_90_90;0.284;0.08;0.253;0.317;0.285;0.285;0.287;0.287;0.458;0.659;0.697;0.423;0.873;1.0;0.771;0.821;0.673;0.998;0.758;0.913;0.948;0.287;0.253;0.88;0.215;0.287;0.285;0.287;0.287;0.317;0.287;0.747;0.24;0.253;0.215
