;ENSCAFT00000039408_90_90;ENST00000246194_90_90;ENST00000333552_90_90;ENST00000375114_90_90;ENST00000413297_90_90;ENST00000442805_90_90;ENST00000448364_90_90;ENSMUST00000029120_90_90;ENSMUST00000058089_90_90;ENSMUST00000109701_90_90;ENSMUST00000116389_90_90;ENSMUST00000125872_90_90;ENSMUST00000129137_90_90;ENSMUST00000140713_90_90
ENSCAFT00000039408_90_90;1.0;1.0;0.545;0.945;0.305;0.766;0.618;1.0;0.945;0.945;1.0;0.481;0.716;0.952
ENST00000246194_90_90;1.0;1.0;0.561;0.948;0.292;0.776;0.592;1.0;0.948;0.948;1.0;0.461;0.69;0.954
ENST00000333552_90_90;0.545;0.561;1.0;0.509;0.201;0.614;0.484;0.561;0.509;0.509;0.561;0.316;0.61;0.588
ENST00000375114_90_90;0.945;0.948;0.509;1.0;0.308;0.818;0.539;0.948;1.0;1.0;0.948;0.486;0.728;0.902
ENST00000413297_90_90;0.305;0.292;0.201;0.308;1.0;0.376;0.494;0.292;0.308;0.308;0.292;0.634;0.423;0.306
ENST00000442805_90_90;0.766;0.776;0.614;0.818;0.376;1.0;0.651;0.776;0.818;0.818;0.776;0.594;0.889;0.813
ENST00000448364_90_90;0.618;0.592;0.484;0.539;0.494;0.651;1.0;0.592;0.539;0.539;0.592;0.779;0.727;0.62
ENSMUST00000029120_90_90;1.0;1.0;0.561;0.948;0.292;0.776;0.592;1.0;0.949;0.949;1.0;0.452;0.676;0.955
ENSMUST00000058089_90_90;0.945;0.948;0.509;1.0;0.308;0.818;0.539;0.949;1.0;1.0;0.949;0.476;0.713;0.904
ENSMUST00000109701_90_90;0.945;0.948;0.509;1.0;0.308;0.818;0.539;0.949;1.0;1.0;0.949;0.476;0.713;0.904
ENSMUST00000116389_90_90;1.0;1.0;0.561;0.948;0.292;0.776;0.592;1.0;0.949;0.949;1.0;0.452;0.676;0.955
ENSMUST00000125872_90_90;0.481;0.461;0.316;0.486;0.634;0.594;0.779;0.452;0.476;0.476;0.452;1.0;0.668;0.473
ENSMUST00000129137_90_90;0.716;0.69;0.61;0.728;0.423;0.889;0.727;0.676;0.713;0.713;0.676;0.668;1.0;0.708
ENSMUST00000140713_90_90;0.952;0.954;0.588;0.902;0.306;0.813;0.62;0.955;0.904;0.904;0.955;0.473;0.708;1.0
