;transcript6_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript7_ENSMUNG00000002377;transcript7_ENSMUNG00000002391;transcript19_ENSMUNG00000007775;transcript19_ENSMUNG00000002377;transcript22_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript27_ENSMUNG00000002377;transcript28_ENSMUNG00000002377;transcript3_ENSPNYG00000024266;transcript3_ENSXMAG00000026005
transcript6_ENSPCIG00000036398;1.0;0.503;0.503;1.0;0.86;0.86;0.503;0.86;0.86;0.86;1.0;1.0
transcript7_ENSMUNG00000007775;0.503;1.0;1.0;1.0;0.722;0.722;1.0;0.722;0.722;0.722;0.631;0.631
transcript7_ENSMUNG00000002377;0.503;1.0;1.0;1.0;0.722;0.722;1.0;0.722;0.722;0.722;0.631;0.631
transcript7_ENSMUNG00000002391;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript19_ENSMUNG00000007775;0.86;0.722;0.722;1.0;1.0;1.0;0.722;1.0;1.0;1.0;0.884;0.884
transcript19_ENSMUNG00000002377;0.86;0.722;0.722;1.0;1.0;1.0;0.722;1.0;1.0;1.0;0.884;0.884
transcript22_ENSMUNG00000007775;0.503;1.0;1.0;1.0;0.722;0.722;1.0;0.722;0.722;0.722;0.631;0.631
transcript23_ENSMUNG00000007775;0.86;0.722;0.722;1.0;1.0;1.0;0.722;1.0;1.0;1.0;0.884;0.884
transcript27_ENSMUNG00000002377;0.86;0.722;0.722;1.0;1.0;1.0;0.722;1.0;1.0;1.0;0.884;0.884
transcript28_ENSMUNG00000002377;0.86;0.722;0.722;1.0;1.0;1.0;0.722;1.0;1.0;1.0;0.884;0.884
transcript3_ENSPNYG00000024266;1.0;0.631;0.631;1.0;0.884;0.884;0.631;0.884;0.884;0.884;1.0;1.0
transcript3_ENSXMAG00000026005;1.0;0.631;0.631;1.0;0.884;0.884;0.631;0.884;0.884;0.884;1.0;1.0
