;transcript2_ENSMLUG00000027828;transcript2_ENSSTOG00000019743;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;0.781;0.579;0.565;0.64;0.552;0.505;0.325;0.638;0.635;0.624;0.628;0.781
transcript2_ENSSTOG00000019743;0.781;1.0;0.654;0.627;0.721;0.604;0.547;0.333;0.752;0.745;0.722;0.734;1.0
transcript17_ENSMUGG00000013649;0.579;0.654;1.0;0.959;0.84;0.715;0.624;0.387;0.607;0.598;0.614;0.605;0.654
transcript17_ENSMUGG00000013592;0.565;0.627;0.959;1.0;0.87;0.695;0.613;0.384;0.594;0.586;0.602;0.594;0.627
transcript29_ENSMUGG00000013592;0.64;0.721;0.84;0.87;1.0;0.79;0.683;0.424;0.659;0.652;0.67;0.66;0.721
transcript8_ENSPEMG00000024651;0.552;0.604;0.715;0.695;0.79;1.0;0.599;0.397;0.557;0.55;0.564;0.556;0.604
transcript8_ENSNGAG00000018584;0.505;0.547;0.624;0.613;0.683;0.599;1.0;0.606;0.717;0.73;0.754;0.741;0.547
transcript7_ENSNGAG00000018584;0.325;0.333;0.387;0.384;0.424;0.397;0.606;1.0;0.435;0.443;0.457;0.449;0.333
transcript9_ENSNGAG00000018584;0.638;0.752;0.607;0.594;0.659;0.557;0.717;0.435;1.0;0.979;0.949;0.965;0.752
transcript10_ENSNGAG00000018584;0.635;0.745;0.598;0.586;0.652;0.55;0.73;0.443;0.979;1.0;0.969;0.986;0.745
transcript18_ENSNGAG00000018584;0.624;0.722;0.614;0.602;0.67;0.564;0.754;0.457;0.949;0.969;1.0;0.983;0.722
transcript19_ENSNGAG00000018584;0.628;0.734;0.605;0.594;0.66;0.556;0.741;0.449;0.965;0.986;0.983;1.0;0.734
transcript15_ENSSTOG00000019743;0.781;1.0;0.654;0.627;0.721;0.604;0.547;0.333;0.752;0.745;0.722;0.734;1.0
