;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript38_MGP-PahariEiJ-G0020237;transcript66_MGP-SPRETEiJ-G0021131;transcript40_MGP-SPRETEiJ-G0021131
transcript8_ENSMSIG00000000513;1.0;0.228;0.231;0.206;0.199;0.193;0.224;0.223;0.26;0.265;0.26;0.203;0.211;0.189
transcript49_ENSMSIG00000000513;0.228;1.0;0.993;0.828;0.826;0.831;0.837;0.844;0.9;0.885;0.9;0.848;0.851;0.91
transcript49_MGP-SPRETEiJ-G0021131;0.231;0.993;1.0;0.73;0.736;0.736;0.725;0.732;0.925;0.909;0.927;0.743;0.758;0.782
transcript65_MGP-SPRETEiJ-G0021131;0.206;0.828;0.73;1.0;0.857;0.855;0.859;0.865;0.766;0.752;0.77;0.867;0.822;0.907
transcript47_MGP-CAROLIEiJ-G0020234;0.199;0.826;0.736;0.857;1.0;0.964;0.945;0.952;0.858;0.848;0.887;0.955;0.845;0.949
transcript38_MGP-CAROLIEiJ-G0020234;0.193;0.831;0.736;0.855;0.964;1.0;0.93;0.936;0.852;0.843;0.867;0.986;0.843;0.945
transcript7_ENSMUSG00000054036;0.224;0.837;0.725;0.859;0.945;0.93;1.0;0.994;0.832;0.816;0.856;0.943;0.843;0.956
transcript46_ENSMUSG00000054036;0.223;0.844;0.732;0.865;0.952;0.936;0.994;1.0;0.839;0.823;0.863;0.949;0.849;0.963
transcript61_ENSMSIG00000000513;0.26;0.9;0.925;0.766;0.858;0.852;0.832;0.839;1.0;0.985;0.972;0.877;0.788;0.849
transcript62_ENSMSIG00000000513;0.265;0.885;0.909;0.752;0.848;0.843;0.816;0.823;0.985;1.0;0.957;0.864;0.8;0.834
transcript60_ENSMSIG00000000513;0.26;0.9;0.927;0.77;0.887;0.867;0.856;0.863;0.972;0.957;1.0;0.885;0.791;0.852
transcript38_MGP-PahariEiJ-G0020237;0.203;0.848;0.743;0.867;0.955;0.986;0.943;0.949;0.877;0.864;0.885;1.0;0.853;0.958
transcript66_MGP-SPRETEiJ-G0021131;0.211;0.851;0.758;0.822;0.845;0.843;0.843;0.849;0.788;0.8;0.791;0.853;1.0;0.893
transcript40_MGP-SPRETEiJ-G0021131;0.189;0.91;0.782;0.907;0.949;0.945;0.956;0.963;0.849;0.834;0.852;0.958;0.893;1.0
