;transcript9_ENSMUNG00000007775;transcript31_ENSMUNG00000007775;transcript33_ENSMUNG00000007775;transcript25_ENSMUNG00000007775;transcript38_ENSMUNG00000002377;transcript36_ENSMUNG00000002377;transcript35_ENSMUNG00000002377;transcript27_ENSMUNG00000002377;transcript21_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript26_ENSMUNG00000007775;transcript30_ENSMUNG00000007775;transcript32_ENSMUNG00000007775;transcript13_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript37_ENSMUNG00000002377;transcript9_ENSMUNG00000002377;transcript23_ENSMUNG00000002391;transcript30_ENSMUNG00000002391;transcript10_ENSMUNG00000002391;transcript33_ENSMUNG00000002391
transcript9_ENSMUNG00000007775;1.0;1.0;1.0;0.877;0.871;0.756;0.836;0.855;0.953;0.943;0.933;0.655;0.928;0.914;0.928;0.883;0.96;0.942;0.655;0.93;0.999
transcript31_ENSMUNG00000007775;1.0;1.0;1.0;0.877;0.871;0.756;0.836;0.855;0.953;0.943;0.933;0.655;0.928;0.914;0.928;0.883;0.96;0.942;0.655;0.93;0.999
transcript33_ENSMUNG00000007775;1.0;1.0;1.0;0.877;0.871;0.756;0.836;0.855;0.953;0.943;0.933;0.655;0.928;0.914;0.928;0.883;0.96;0.942;0.655;0.93;0.999
transcript25_ENSMUNG00000007775;0.877;0.877;0.877;1.0;0.839;0.724;0.826;0.845;0.924;0.913;0.905;0.625;0.899;0.883;0.896;0.851;0.836;0.912;0.625;0.902;0.877
transcript38_ENSMUNG00000002377;0.871;0.871;0.871;0.839;1.0;0.772;0.835;0.854;0.92;0.923;0.912;0.67;0.911;0.911;0.944;0.988;0.884;0.927;0.66;0.889;0.875
transcript36_ENSMUNG00000002377;0.756;0.756;0.756;0.724;0.772;1.0;0.687;0.706;0.805;0.808;0.797;0.825;0.775;0.762;0.79;0.783;0.729;0.793;0.825;0.758;0.741
transcript35_ENSMUNG00000002377;0.836;0.836;0.836;0.826;0.835;0.687;1.0;0.98;0.885;0.887;0.876;0.635;0.855;0.923;0.888;0.846;0.857;0.881;0.62;0.866;0.831
transcript27_ENSMUNG00000002377;0.855;0.855;0.855;0.845;0.854;0.706;0.98;1.0;0.904;0.907;0.895;0.655;0.873;0.942;0.907;0.865;0.877;0.9;0.639;0.885;0.849
transcript21_ENSMUNG00000007775;0.953;0.953;0.953;0.924;0.92;0.805;0.885;0.904;1.0;0.989;0.98;0.702;0.975;0.962;0.978;0.932;0.918;0.988;0.702;0.977;0.952
transcript23_ENSMUNG00000007775;0.943;0.943;0.943;0.913;0.923;0.808;0.887;0.907;0.989;1.0;0.991;0.709;0.964;0.966;0.98;0.935;0.92;0.999;0.709;0.966;0.942
transcript26_ENSMUNG00000007775;0.933;0.933;0.933;0.905;0.912;0.797;0.876;0.895;0.98;0.991;1.0;0.714;0.956;0.954;0.969;0.923;0.909;0.99;0.714;0.958;0.932
transcript30_ENSMUNG00000007775;0.655;0.655;0.655;0.625;0.67;0.825;0.635;0.655;0.702;0.709;0.714;1.0;0.676;0.715;0.728;0.682;0.667;0.708;1.0;0.679;0.653
transcript32_ENSMUNG00000007775;0.928;0.928;0.928;0.899;0.911;0.775;0.855;0.873;0.975;0.964;0.956;0.676;1.0;0.933;0.948;0.901;0.887;0.963;0.676;0.952;0.927
transcript13_ENSMUNG00000002377;0.914;0.914;0.914;0.883;0.911;0.762;0.923;0.942;0.962;0.966;0.954;0.715;0.933;1.0;0.965;0.921;0.907;0.958;0.697;0.942;0.906
transcript23_ENSMUNG00000002377;0.928;0.928;0.928;0.896;0.944;0.79;0.888;0.907;0.978;0.98;0.969;0.728;0.948;0.965;1.0;0.955;0.94;0.982;0.716;0.944;0.929
transcript37_ENSMUNG00000002377;0.883;0.883;0.883;0.851;0.988;0.783;0.846;0.865;0.932;0.935;0.923;0.682;0.901;0.921;0.955;1.0;0.895;0.938;0.671;0.9;0.886
transcript9_ENSMUNG00000002377;0.96;0.96;0.96;0.836;0.884;0.729;0.857;0.877;0.918;0.92;0.909;0.667;0.887;0.907;0.94;0.895;1.0;0.922;0.655;0.885;0.962
transcript23_ENSMUNG00000002391;0.942;0.942;0.942;0.912;0.927;0.793;0.881;0.9;0.988;0.999;0.99;0.708;0.963;0.958;0.982;0.938;0.922;1.0;0.699;0.947;0.943
transcript30_ENSMUNG00000002391;0.655;0.655;0.655;0.625;0.66;0.825;0.62;0.639;0.702;0.709;0.714;1.0;0.676;0.697;0.716;0.671;0.655;0.699;1.0;0.66;0.645
transcript10_ENSMUNG00000002391;0.93;0.93;0.93;0.902;0.889;0.758;0.866;0.885;0.977;0.966;0.958;0.679;0.952;0.942;0.944;0.9;0.885;0.947;0.66;1.0;0.911
transcript33_ENSMUNG00000002391;0.999;0.999;0.999;0.877;0.875;0.741;0.831;0.849;0.952;0.942;0.932;0.653;0.927;0.906;0.929;0.886;0.962;0.943;0.645;0.911;1.0
