;ENSCAFT00000002730_90_90;ENST00000339582_90_90;ENST00000341617_90_90;ENST00000358373_90_90;ENST00000412160_90_90;ENST00000444921_90_90;ENST00000457830_90_90;ENST00000465844_90_90;ENST00000472701_90_90;ENSMUST00000090512_90_90;ENSMUST00000115323_90_90;ENSMUST00000115324_90_90;ENSMUST00000131897_90_90;ENSMUST00000132755_90_90
ENSCAFT00000002730_90_90;1.0;0.95;0.562;0.891;0.061;0.326;0.362;0.129;0.891;1.0;0.942;0.942;0.411;0.061
ENST00000339582_90_90;0.95;1.0;0.574;0.892;0.061;0.316;0.411;0.069;0.892;0.95;0.847;0.847;0.362;0.067
ENST00000341617_90_90;0.562;0.574;1.0;0.574;0.083;0.0;0.605;0.099;0.574;0.562;0.562;0.562;0.593;0.105
ENST00000358373_90_90;0.891;0.892;0.574;1.0;0.061;0.254;0.411;0.069;1.0;0.847;0.95;0.95;0.362;0.067
ENST00000412160_90_90;0.061;0.061;0.083;0.061;1.0;0.0;0.135;0.0;0.061;0.061;0.061;0.061;0.135;1.0
ENST00000444921_90_90;0.326;0.316;0.0;0.254;0.0;1.0;0.0;0.0;0.254;0.326;0.259;0.259;0.0;0.0
ENST00000457830_90_90;0.362;0.411;0.605;0.411;0.135;0.0;1.0;0.15;0.411;0.362;0.362;0.362;0.899;0.16
ENST00000465844_90_90;0.129;0.069;0.099;0.069;0.0;0.0;0.15;1.0;0.069;0.129;0.129;0.129;0.289;0.0
ENST00000472701_90_90;0.891;0.892;0.574;1.0;0.061;0.254;0.411;0.069;1.0;0.847;0.95;0.95;0.362;0.067
ENSMUST00000090512_90_90;1.0;0.95;0.562;0.847;0.061;0.326;0.362;0.129;0.847;1.0;0.892;0.892;0.411;0.061
ENSMUST00000115323_90_90;0.942;0.847;0.562;0.95;0.061;0.259;0.362;0.129;0.95;0.892;1.0;1.0;0.411;0.061
ENSMUST00000115324_90_90;0.942;0.847;0.562;0.95;0.061;0.259;0.362;0.129;0.95;0.892;1.0;1.0;0.411;0.061
ENSMUST00000131897_90_90;0.411;0.362;0.593;0.362;0.135;0.0;0.899;0.289;0.362;0.411;0.411;0.411;1.0;0.135
ENSMUST00000132755_90_90;0.061;0.067;0.105;0.067;1.0;0.0;0.16;0.0;0.067;0.061;0.061;0.061;0.135;1.0
