;ENSCAFT00000013561_90_90;ENSCAFT00000013564_90_90;ENST00000233330_90_90;ENST00000272430_90_90;ENST00000305557_90_90;ENST00000640304_90_90;ENSMUST00000065512_90_90;ENSMUST00000087938_90_90;ENSMUST00000121093_90_90;ENSMUST00000129316_90_90;ENSMUST00000130622_90_90;ENSMUST00000135490_90_90;ENSMUST00000213056_90_90
ENSCAFT00000013561_90_90;1.0;0.615;0.856;1.0;0.917;0.054;1.0;0.921;0.921;0.118;0.279;0.344;0.051
ENSCAFT00000013564_90_90;0.615;1.0;0.66;0.666;0.721;0.175;0.639;0.689;0.689;0.153;0.364;0.445;0.175
ENST00000233330_90_90;0.856;0.66;1.0;0.789;0.8;0.06;0.789;0.83;0.83;0.143;0.241;0.415;0.06
ENST00000272430_90_90;1.0;0.666;0.789;1.0;0.805;0.044;1.0;0.833;0.833;0.114;0.309;0.332;0.044
ENST00000305557_90_90;0.917;0.721;0.8;0.805;1.0;0.044;0.833;1.0;1.0;0.12;0.329;0.349;0.048
ENST00000640304_90_90;0.054;0.175;0.06;0.044;0.044;1.0;0.044;0.048;0.048;0.0;0.0;0.0;1.0
ENSMUST00000065512_90_90;1.0;0.639;0.789;1.0;0.833;0.044;1.0;0.815;0.815;0.111;0.273;0.323;0.043
ENSMUST00000087938_90_90;0.921;0.689;0.83;0.833;1.0;0.048;0.815;1.0;1.0;0.113;0.275;0.327;0.043
ENSMUST00000121093_90_90;0.921;0.689;0.83;0.833;1.0;0.048;0.815;1.0;1.0;0.113;0.275;0.327;0.043
ENSMUST00000129316_90_90;0.118;0.153;0.143;0.114;0.12;0.0;0.111;0.113;0.113;1.0;0.289;0.343;0.0
ENSMUST00000130622_90_90;0.279;0.364;0.241;0.309;0.329;0.0;0.273;0.275;0.275;0.289;1.0;0.411;0.0
ENSMUST00000135490_90_90;0.344;0.445;0.415;0.332;0.349;0.0;0.323;0.327;0.327;0.343;0.411;1.0;0.0
ENSMUST00000213056_90_90;0.051;0.175;0.06;0.044;0.048;1.0;0.043;0.043;0.043;0.0;0.0;0.0;1.0
