;ENSCAFT00000017823_90_90;ENST00000257075_90_90;ENST00000373741_90_90;ENST00000373742_90_90;ENST00000373747_90_90;ENST00000424085_90_90;ENST00000426105_90_90;ENST00000440538_90_90;ENST00000480602_90_90;ENST00000498419_90_90;ENST00000525843_90_90;ENST00000525948_90_90;ENST00000525997_90_90;ENST00000526215_90_90;ENST00000527498_90_90;ENST00000529846_90_90;ENST00000530669_90_90;ENST00000531867_90_90;ENST00000532678_90_90;ENSMUST00000030315_90_90;ENSMUST00000097862_90_90;ENSMUST00000097864_90_90;ENSMUST00000105991_90_90;ENSMUST00000105992_90_90;ENSMUST00000143277_90_90
ENSCAFT00000017823_90_90;1.0;0.952;0.967;0.909;0.984;0.785;0.968;0.968;0.099;0.748;0.901;0.072;0.14;0.072;0.085;0.223;0.053;0.073;0.192;1.0;0.984;0.968;0.8;0.927;0.235
ENST00000257075_90_90;0.952;1.0;0.929;0.876;0.969;0.836;0.984;0.928;0.097;0.697;0.889;0.071;0.139;0.071;0.085;0.201;0.052;0.072;0.206;0.955;0.968;0.984;0.82;0.913;0.217
ENST00000373741_90_90;0.967;0.929;1.0;0.919;0.931;0.774;0.944;0.893;0.09;0.675;0.891;0.067;0.13;0.067;0.079;0.204;0.048;0.067;0.192;0.958;0.973;0.957;0.797;0.918;0.21
ENST00000373742_90_90;0.909;0.876;0.919;1.0;0.878;0.819;0.864;0.84;0.095;0.713;0.865;0.07;0.139;0.07;0.083;0.197;0.05;0.071;0.203;0.904;0.889;0.903;0.843;0.941;0.222
ENST00000373747_90_90;0.984;0.969;0.931;0.878;1.0;0.809;0.985;0.959;0.094;0.726;0.89;0.069;0.135;0.069;0.082;0.213;0.05;0.07;0.199;0.986;0.97;0.955;0.794;0.915;0.209
ENST00000424085_90_90;0.785;0.836;0.774;0.819;0.809;1.0;0.822;0.768;0.115;0.722;0.731;0.085;0.169;0.085;0.101;0.24;0.061;0.086;0.141;0.794;0.806;0.82;0.982;0.854;0.259
ENST00000426105_90_90;0.968;0.984;0.944;0.864;0.985;0.822;1.0;0.944;0.095;0.712;0.875;0.07;0.137;0.07;0.083;0.217;0.051;0.071;0.203;0.97;0.985;0.968;0.806;0.929;0.212
ENST00000440538_90_90;0.968;0.928;0.893;0.84;0.959;0.768;0.944;1.0;0.098;0.687;0.852;0.072;0.14;0.072;0.085;0.223;0.052;0.073;0.208;0.945;0.929;0.913;0.753;0.874;0.218
ENST00000480602_90_90;0.099;0.097;0.09;0.095;0.094;0.115;0.095;0.098;1.0;0.0;0.098;0.447;0.0;0.447;0.0;0.0;0.0;0.637;0.0;0.095;0.097;0.098;0.117;0.103;0.444
ENST00000498419_90_90;0.748;0.697;0.675;0.713;0.726;0.722;0.712;0.687;0.0;1.0;0.631;0.0;0.172;0.0;0.102;0.265;0.061;0.0;0.219;0.758;0.742;0.728;0.756;0.787;0.1
ENST00000525843_90_90;0.901;0.889;0.891;0.865;0.89;0.731;0.875;0.852;0.098;0.631;1.0;0.073;0.142;0.073;0.04;0.203;0.051;0.073;0.208;0.901;0.885;0.899;0.738;0.831;0.226
ENST00000525948_90_90;0.072;0.071;0.067;0.07;0.069;0.085;0.07;0.072;0.447;0.0;0.073;1.0;0.0;1.0;0.0;0.0;0.0;0.61;0.0;0.069;0.07;0.071;0.085;0.074;0.327
ENST00000525997_90_90;0.14;0.139;0.13;0.139;0.135;0.169;0.137;0.14;0.0;0.172;0.142;0.0;1.0;0.0;0.0;0.435;0.184;0.0;0.0;0.135;0.137;0.139;0.169;0.146;0.0
ENST00000526215_90_90;0.072;0.071;0.067;0.07;0.069;0.085;0.07;0.072;0.447;0.0;0.073;1.0;0.0;1.0;0.0;0.0;0.0;0.61;0.0;0.069;0.07;0.071;0.085;0.074;0.327
ENST00000527498_90_90;0.085;0.085;0.079;0.083;0.082;0.101;0.083;0.085;0.0;0.102;0.04;0.0;0.0;0.0;1.0;0.056;0.0;0.0;0.0;0.082;0.083;0.085;0.101;0.088;0.0
ENST00000529846_90_90;0.223;0.201;0.204;0.197;0.213;0.24;0.217;0.223;0.0;0.265;0.203;0.0;0.435;0.0;0.056;1.0;0.066;0.0;0.0;0.213;0.217;0.201;0.24;0.229;0.0
ENST00000530669_90_90;0.053;0.052;0.048;0.05;0.05;0.061;0.051;0.052;0.0;0.061;0.051;0.0;0.184;0.0;0.0;0.066;1.0;0.0;0.0;0.051;0.052;0.052;0.062;0.054;0.0
ENST00000531867_90_90;0.073;0.072;0.067;0.071;0.07;0.086;0.071;0.073;0.637;0.0;0.073;0.61;0.0;0.61;0.0;0.0;0.0;1.0;0.0;0.07;0.071;0.072;0.086;0.075;0.331
ENST00000532678_90_90;0.192;0.206;0.192;0.203;0.199;0.141;0.203;0.208;0.0;0.219;0.208;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.184;0.187;0.19;0.124;0.199;0.129
ENSMUST00000030315_90_90;1.0;0.955;0.958;0.904;0.986;0.794;0.97;0.945;0.095;0.758;0.901;0.069;0.135;0.069;0.082;0.213;0.051;0.07;0.184;1.0;0.985;0.969;0.809;0.929;0.224
ENSMUST00000097862_90_90;0.984;0.968;0.973;0.889;0.97;0.806;0.985;0.929;0.097;0.742;0.885;0.07;0.137;0.07;0.083;0.217;0.052;0.071;0.187;0.985;1.0;0.984;0.822;0.945;0.229
ENSMUST00000097864_90_90;0.968;0.984;0.957;0.903;0.955;0.82;0.968;0.913;0.098;0.728;0.899;0.071;0.139;0.071;0.085;0.201;0.052;0.072;0.19;0.969;0.984;1.0;0.836;0.928;0.233
ENSMUST00000105991_90_90;0.8;0.82;0.797;0.843;0.794;0.982;0.806;0.753;0.117;0.756;0.738;0.085;0.169;0.085;0.101;0.24;0.062;0.086;0.124;0.809;0.822;0.836;1.0;0.869;0.276
ENSMUST00000105992_90_90;0.927;0.913;0.918;0.941;0.915;0.854;0.929;0.874;0.103;0.787;0.831;0.074;0.146;0.074;0.088;0.229;0.054;0.075;0.199;0.929;0.945;0.928;0.869;1.0;0.241
ENSMUST00000143277_90_90;0.235;0.217;0.21;0.222;0.209;0.259;0.212;0.218;0.444;0.1;0.226;0.327;0.0;0.327;0.0;0.0;0.0;0.331;0.129;0.224;0.229;0.233;0.276;0.241;1.0
