;ENSCAFT00000018754_90_90;ENSCAFT00000042737_90_90;ENST00000373836_90_90;ENST00000373839_90_90;ENST00000493669_90_90;ENST00000632202_90_90;ENST00000632421_90_90;ENST00000633167_90_90;ENSMUST00000084170_90_90;ENSMUST00000084249_90_90;ENSMUST00000102568_90_90;ENSMUST00000136711_90_90;ENSMUST00000152271_90_90
ENSCAFT00000018754_90_90;1.0;0.75;0.59;0.657;0.111;0.429;0.0;0.128;0.457;0.541;0.514;0.171;0.333
ENSCAFT00000042737_90_90;0.75;1.0;0.703;0.639;0.051;0.378;0.0;0.184;0.486;0.568;0.543;0.167;0.324
ENST00000373836_90_90;0.59;0.703;1.0;0.758;0.026;0.351;0.0;0.257;0.417;0.583;0.472;0.242;0.294
ENST00000373839_90_90;0.657;0.639;0.758;1.0;0.091;0.484;0.067;0.081;0.516;0.472;0.581;0.121;0.379
ENST00000493669_90_90;0.111;0.051;0.026;0.091;1.0;0.333;0.167;0.294;0.074;0.094;0.069;0.188;0.1
ENST00000632202_90_90;0.429;0.378;0.351;0.484;0.333;1.0;0.091;0.28;0.3;0.324;0.367;0.208;0.391
ENST00000632421_90_90;0.0;0.0;0.0;0.067;0.167;0.091;1.0;0.0;0.087;0.0;0.08;0.0;0.125
ENST00000633167_90_90;0.128;0.184;0.257;0.081;0.294;0.28;0.0;1.0;0.065;0.258;0.094;0.438;0.083
ENSMUST00000084170_90_90;0.457;0.486;0.417;0.516;0.074;0.3;0.087;0.065;1.0;0.643;0.909;0.154;0.65
ENSMUST00000084249_90_90;0.541;0.568;0.583;0.472;0.094;0.324;0.0;0.258;0.643;1.0;0.714;0.385;0.393
ENSMUST00000102568_90_90;0.514;0.543;0.472;0.581;0.069;0.367;0.08;0.094;0.909;0.714;1.0;0.143;0.591
ENSMUST00000136711_90_90;0.171;0.167;0.242;0.121;0.188;0.208;0.0;0.438;0.154;0.385;0.143;1.0;0.211
ENSMUST00000152271_90_90;0.333;0.324;0.294;0.379;0.1;0.391;0.125;0.083;0.65;0.393;0.591;0.211;1.0
