;ENSCAFT00000011051_90_90;ENSCAFT00000039005_90_90;ENST00000319836_90_90;ENST00000395769_90_90;ENST00000453424_90_90;ENST00000453980_90_90;ENSMUST00000079012_90_90;ENSMUST00000101032_90_90;ENSMUST00000123405_90_90;ENSMUST00000126376_90_90;ENSMUST00000129170_90_90;ENSMUST00000135901_90_90;ENSMUST00000140884_90_90;ENSMUST00000203116_90_90;ENSMUST00000203193_90_90;ENSMUST00000204657_90_90
ENSCAFT00000011051_90_90;1.0;0.488;0.968;0.968;0.606;0.427;0.881;0.881;0.54;0.048;0.112;0.66;0.33;0.108;0.73;0.609
ENSCAFT00000039005_90_90;0.488;1.0;0.475;0.475;0.72;0.122;0.476;0.476;0.691;0.0;0.0;0.402;0.101;0.083;0.537;0.295
ENST00000319836_90_90;0.968;0.475;1.0;1.0;0.629;0.459;0.857;0.857;0.528;0.046;0.109;0.644;0.319;0.106;0.71;0.591
ENST00000395769_90_90;0.968;0.475;1.0;1.0;0.629;0.459;0.857;0.857;0.528;0.046;0.109;0.644;0.319;0.106;0.71;0.591
ENST00000453424_90_90;0.606;0.72;0.629;0.629;1.0;0.306;0.528;0.528;0.858;0.03;0.069;0.402;0.209;0.061;0.434;0.373
ENST00000453980_90_90;0.427;0.122;0.459;0.459;0.306;1.0;0.366;0.366;0.24;0.105;0.265;0.307;0.728;0.0;0.217;0.498
ENSMUST00000079012_90_90;0.881;0.476;0.857;0.857;0.528;0.366;1.0;1.0;0.609;0.052;0.12;0.699;0.406;0.114;0.832;0.709
ENSMUST00000101032_90_90;0.881;0.476;0.857;0.857;0.528;0.366;1.0;1.0;0.609;0.052;0.12;0.699;0.406;0.114;0.832;0.709
ENSMUST00000123405_90_90;0.54;0.691;0.528;0.528;0.858;0.24;0.609;0.609;1.0;0.034;0.075;0.431;0.261;0.064;0.503;0.441
ENSMUST00000126376_90_90;0.048;0.0;0.046;0.046;0.03;0.105;0.052;0.052;0.034;1.0;0.422;0.0;0.13;0.0;0.0;0.072
ENSMUST00000129170_90_90;0.112;0.0;0.109;0.109;0.069;0.265;0.12;0.12;0.075;0.422;1.0;0.0;0.32;0.0;0.0;0.171
ENSMUST00000135901_90_90;0.66;0.402;0.644;0.644;0.402;0.307;0.699;0.699;0.431;0.0;0.0;1.0;0.292;0.137;0.738;0.611
ENSMUST00000140884_90_90;0.33;0.101;0.319;0.319;0.209;0.728;0.406;0.406;0.261;0.13;0.32;0.292;1.0;0.0;0.237;0.559
ENSMUST00000203116_90_90;0.108;0.083;0.106;0.106;0.061;0.0;0.114;0.114;0.064;0.0;0.0;0.137;0.0;1.0;0.134;0.171
ENSMUST00000203193_90_90;0.73;0.537;0.71;0.71;0.434;0.217;0.832;0.832;0.503;0.0;0.0;0.738;0.237;0.134;1.0;0.54
ENSMUST00000204657_90_90;0.609;0.295;0.591;0.591;0.373;0.498;0.709;0.709;0.441;0.072;0.171;0.611;0.559;0.171;0.54;1.0
