;ENSCAFT00000003726_90_90;ENSCAFT00000003727_90_90;ENST00000502815_90_90;ENST00000504896_90_90;ENST00000506700_90_90;ENST00000506720_90_90;ENST00000506746_90_90;ENST00000507164_90_90;ENST00000507625_90_90;ENST00000508693_90_90;ENST00000508946_90_90;ENST00000509896_90_90;ENST00000511324_90_90;ENST00000512091_90_90;ENST00000514157_90_90;ENST00000514591_90_90;ENST00000514996_90_90;ENSMUST00000036068_90_90;ENSMUST00000072521_90_90;ENSMUST00000117253_90_90;ENSMUST00000117407_90_90;ENSMUST00000117985_90_90;ENSMUST00000118034_90_90;ENSMUST00000118078_90_90;ENSMUST00000118442_90_90;ENSMUST00000119385_90_90;ENSMUST00000119788_90_90;ENSMUST00000120128_90_90;ENSMUST00000120144_90_90;ENSMUST00000120292_90_90;ENSMUST00000120445_90_90;ENSMUST00000120673_90_90;ENSMUST00000121641_90_90;ENSMUST00000121707_90_90;ENSMUST00000122037_90_90;ENSMUST00000122356_90_90;ENSMUST00000124117_90_90;ENSMUST00000132375_90_90
ENSCAFT00000003726_90_90;1.0;0.455;0.6;0.474;0.368;0.5;0.45;0.4;0.4;0.45;0.526;0.4;0.35;0.421;0.421;0.474;0.474;0.474;0.5;0.412;0.389;0.529;0.471;0.412;0.444;0.389;0.556;0.471;0.412;0.471;0.444;0.5;0.444;0.444;0.471;0.444;0.5;0.0
ENSCAFT00000003727_90_90;0.455;1.0;0.316;0.85;0.75;0.95;0.9;0.85;0.85;0.9;0.9;0.85;0.8;0.8;0.8;0.85;0.85;0.85;0.8;0.65;0.7;0.75;0.7;0.65;0.75;0.7;0.85;0.7;0.65;0.7;0.75;0.8;0.75;0.75;0.7;0.75;0.263;0.211
ENST00000502815_90_90;0.6;0.316;1.0;0.269;0.318;0.333;0.364;0.28;0.4;0.259;0.348;0.28;0.304;0.292;0.292;0.381;0.381;0.364;0.381;0.238;0.333;0.4;0.444;0.368;0.318;0.35;0.381;0.333;0.35;0.318;0.304;0.381;0.421;0.421;0.471;0.444;0.875;0.0
ENST00000504896_90_90;0.474;0.85;0.269;1.0;0.84;0.815;0.741;0.885;0.667;0.962;0.846;0.885;0.808;0.92;0.92;0.769;0.769;0.769;0.731;0.75;0.76;0.76;0.68;0.75;0.8;0.72;0.731;0.833;0.792;0.875;0.84;0.731;0.654;0.654;0.64;0.615;0.24;0.167
ENST00000506700_90_90;0.368;0.75;0.318;0.84;1.0;0.667;0.72;0.875;0.783;0.808;0.692;0.875;0.955;0.913;0.913;0.75;0.75;0.75;0.708;0.727;0.818;0.667;0.727;0.9;0.783;0.857;0.64;0.818;0.857;0.783;0.75;0.64;0.696;0.773;0.762;0.727;0.286;0.2
ENST00000506720_90_90;0.5;0.95;0.333;0.815;0.667;1.0;0.917;0.778;0.833;0.852;0.958;0.778;0.704;0.741;0.741;0.875;0.875;0.84;0.8;0.615;0.692;0.833;0.75;0.615;0.731;0.654;0.875;0.692;0.654;0.731;0.769;0.875;0.792;0.72;0.708;0.75;0.292;0.167
ENST00000506746_90_90;0.45;0.9;0.364;0.741;0.72;0.917;1.0;0.84;0.909;0.778;0.875;0.704;0.76;0.667;0.8;0.792;0.955;0.76;0.72;0.667;0.75;0.75;0.818;0.667;0.654;0.708;0.792;0.615;0.708;0.654;0.692;0.792;0.864;0.783;0.773;0.818;0.318;0.182
ENST00000507164_90_90;0.4;0.85;0.28;0.885;0.875;0.778;0.84;1.0;0.76;0.923;0.741;0.846;0.917;0.808;0.958;0.667;0.8;0.731;0.692;0.783;0.87;0.654;0.708;0.783;0.76;0.826;0.692;0.72;0.826;0.76;0.8;0.692;0.75;0.75;0.667;0.708;0.25;0.174
ENST00000507625_90_90;0.4;0.85;0.4;0.667;0.783;0.833;0.909;0.76;1.0;0.704;0.792;0.76;0.826;0.72;0.72;0.864;0.864;0.826;0.783;0.583;0.739;0.739;0.81;0.727;0.708;0.773;0.783;0.667;0.696;0.64;0.68;0.783;0.857;0.857;0.85;0.9;0.35;0.2
ENST00000508693_90_90;0.45;0.9;0.259;0.962;0.808;0.852;0.778;0.923;0.704;1.0;0.815;0.923;0.846;0.885;0.885;0.741;0.741;0.808;0.769;0.72;0.8;0.731;0.654;0.72;0.84;0.76;0.769;0.8;0.76;0.84;0.88;0.769;0.692;0.692;0.615;0.654;0.231;0.16
ENST00000508946_90_90;0.526;0.9;0.348;0.846;0.692;0.958;0.875;0.741;0.792;0.815;1.0;0.741;0.667;0.769;0.769;0.913;0.913;0.8;0.76;0.64;0.654;0.87;0.783;0.64;0.692;0.615;0.833;0.72;0.68;0.76;0.731;0.833;0.75;0.68;0.739;0.708;0.304;0.174
ENST00000509896_90_90;0.4;0.85;0.28;0.885;0.875;0.778;0.704;0.846;0.76;0.923;0.741;1.0;0.917;0.958;0.808;0.8;0.667;0.875;0.833;0.64;0.792;0.72;0.64;0.783;0.913;0.826;0.76;0.87;0.75;0.833;0.875;0.76;0.68;0.75;0.667;0.708;0.25;0.174
ENST00000511324_90_90;0.35;0.8;0.304;0.808;0.955;0.704;0.76;0.917;0.826;0.846;0.667;0.917;1.0;0.875;0.875;0.72;0.72;0.792;0.75;0.696;0.864;0.64;0.696;0.857;0.826;0.905;0.68;0.783;0.818;0.75;0.792;0.68;0.739;0.818;0.727;0.773;0.273;0.19
ENST00000512091_90_90;0.421;0.8;0.292;0.92;0.913;0.741;0.667;0.808;0.72;0.885;0.769;0.958;0.875;1.0;0.84;0.833;0.692;0.833;0.792;0.667;0.75;0.75;0.667;0.818;0.87;0.783;0.72;0.909;0.783;0.87;0.833;0.72;0.64;0.708;0.696;0.667;0.261;0.182
