;transcript9_ppan;transcript10_ppan;transcript15_ppan;transcript9_ptro;transcript10_ptro;transcript17_ptro;transcript10_hsap;transcript9_ggor;transcript10_ggor;transcript14_ggor;transcript17_ggor;transcript18_ggor
transcript9_ppan;1.0;1.0;1.0;1.0;1.0;0.574;1.0;1.0;1.0;1.0;0.987;1.0
transcript10_ppan;1.0;1.0;1.0;1.0;1.0;0.574;1.0;1.0;1.0;1.0;0.987;1.0
transcript15_ppan;1.0;1.0;1.0;1.0;1.0;0.574;1.0;1.0;1.0;1.0;0.987;1.0
transcript9_ptro;1.0;1.0;1.0;1.0;1.0;0.574;1.0;1.0;1.0;1.0;0.987;1.0
transcript10_ptro;1.0;1.0;1.0;1.0;1.0;0.574;1.0;1.0;1.0;1.0;0.987;1.0
transcript17_ptro;0.574;0.574;0.574;0.574;0.574;1.0;0.402;0.574;0.574;0.574;0.558;0.574
transcript10_hsap;1.0;1.0;1.0;1.0;1.0;0.402;1.0;1.0;1.0;1.0;0.982;1.0
transcript9_ggor;1.0;1.0;1.0;1.0;1.0;0.574;1.0;1.0;1.0;1.0;0.987;1.0
transcript10_ggor;1.0;1.0;1.0;1.0;1.0;0.574;1.0;1.0;1.0;1.0;0.987;1.0
transcript14_ggor;1.0;1.0;1.0;1.0;1.0;0.574;1.0;1.0;1.0;1.0;0.987;1.0
transcript17_ggor;0.987;0.987;0.987;0.987;0.987;0.558;0.982;0.987;0.987;0.987;1.0;0.987
transcript18_ggor;1.0;1.0;1.0;1.0;1.0;0.574;1.0;1.0;1.0;1.0;0.987;1.0
