;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENSCAFT00000003155_90_90;1.0;0.826;0.826;0.669;0.706;0.706;0.609;0.392;0.585;0.524;0.35;0.826;0.3;0.713;0.3;0.451;0.27;0.35;0.352;0.617;0.09;0.599;0.826;0.157;0.411;0.68;0.804;0.804;0.762;0.142;0.502;0.161;0.495;0.804
ENST00000264312_90_90;0.826;1.0;1.0;0.762;0.841;0.841;0.7;0.466;0.733;0.582;0.42;1.0;0.367;0.871;0.367;0.504;0.334;0.42;0.395;0.74;0.114;0.72;1.0;0.186;0.488;0.561;0.643;0.643;0.633;0.129;0.453;0.129;0.443;0.643
ENST00000381473_90_90;0.826;1.0;1.0;0.762;0.841;0.841;0.7;0.466;0.733;0.582;0.42;1.0;0.367;0.871;0.367;0.504;0.334;0.42;0.395;0.74;0.114;0.72;1.0;0.186;0.488;0.561;0.643;0.643;0.633;0.129;0.453;0.129;0.443;0.643
ENST00000396448_90_90;0.669;0.762;0.762;1.0;0.901;0.901;0.538;0.555;0.74;0.611;0.499;0.762;0.435;0.639;0.435;0.6;0.395;0.499;0.476;0.881;0.138;0.857;0.762;0.223;0.58;0.643;0.843;0.843;0.751;0.157;0.538;0.148;0.512;0.843
ENST00000425583_90_90;0.706;0.841;0.841;0.901;1.0;1.0;0.54;0.555;0.74;0.695;0.5;0.841;0.436;0.712;0.436;0.6;0.396;0.5;0.474;0.881;0.137;0.857;0.841;0.222;0.58;0.642;0.76;0.76;0.746;0.155;0.535;0.149;0.512;0.76
ENST00000444354_90_90;0.706;0.841;0.841;0.901;1.0;1.0;0.54;0.555;0.74;0.695;0.5;0.841;0.436;0.712;0.436;0.6;0.396;0.5;0.474;0.881;0.137;0.857;0.841;0.222;0.58;0.642;0.76;0.76;0.746;0.155;0.535;0.149;0.512;0.76
ENST00000503016_90_90;0.609;0.7;0.7;0.538;0.54;0.54;1.0;0.216;0.73;0.731;0.169;0.7;0.114;0.803;0.114;0.723;0.079;0.169;0.565;0.504;0.0;0.482;0.7;0.0;0.24;0.42;0.486;0.486;0.478;0.0;0.272;0.105;0.597;0.486
ENST00000504654_90_90;0.392;0.466;0.466;0.555;0.555;0.555;0.216;1.0;0.393;0.249;0.901;0.466;0.787;0.337;0.787;0.276;0.716;0.901;0.319;0.629;0.247;0.647;0.466;0.401;0.957;0.392;0.471;0.471;0.461;0.274;0.689;0.159;0.217;0.471
ENST00000505922_90_90;0.585;0.733;0.733;0.74;0.74;0.74;0.73;0.393;1.0;0.697;0.339;0.733;0.277;0.844;0.277;0.688;0.237;0.339;0.543;0.712;0.1;0.688;0.733;0.091;0.417;0.523;0.621;0.621;0.608;0.072;0.391;0.144;0.573;0.621
ENST00000506801_90_90;0.524;0.582;0.582;0.611;0.695;0.695;0.731;0.249;0.697;1.0;0.195;0.582;0.131;0.669;0.131;0.865;0.09;0.195;0.68;0.576;0.0;0.551;0.582;0.0;0.274;0.466;0.552;0.552;0.541;0.0;0.31;0.121;0.687;0.552
ENST00000507210_90_90;0.35;0.42;0.42;0.499;0.5;0.5;0.169;0.901;0.339;0.195;1.0;0.42;0.873;0.291;0.873;0.215;0.793;1.0;0.248;0.567;0.274;0.583;0.42;0.446;0.861;0.35;0.419;0.419;0.41;0.305;0.613;0.172;0.169;0.419
ENST00000508293_90_90;0.826;1.0;1.0;0.762;0.841;0.841;0.7;0.466;0.733;0.582;0.42;1.0;0.367;0.871;0.367;0.504;0.334;0.42;0.395;0.74;0.114;0.72;1.0;0.186;0.488;0.561;0.643;0.643;0.633;0.129;0.453;0.129;0.443;0.643
ENST00000508996_90_90;0.3;0.367;0.367;0.435;0.436;0.436;0.114;0.787;0.277;0.131;0.873;0.367;1.0;0.238;1.0;0.144;0.909;0.873;0.168;0.495;0.317;0.51;0.367;0.514;0.752;0.3;0.359;0.359;0.352;0.355;0.526;0.195;0.115;0.359
ENST00000509122_90_90;0.713;0.871;0.871;0.639;0.712;0.712;0.803;0.337;0.844;0.669;0.291;0.871;0.238;1.0;0.238;0.579;0.205;0.291;0.454;0.611;0.084;0.591;0.871;0.078;0.358;0.464;0.533;0.533;0.524;0.059;0.336;0.124;0.498;0.533
ENST00000509164_90_90;0.3;0.367;0.367;0.435;0.436;0.436;0.114;0.787;0.277;0.131;0.873;0.367;1.0;0.238;1.0;0.144;0.909;0.873;0.168;0.495;0.317;0.51;0.367;0.514;0.752;0.3;0.359;0.359;0.352;0.355;0.526;0.195;0.115;0.359
ENST00000509246_90_90;0.451;0.504;0.504;0.6;0.6;0.6;0.723;0.276;0.688;0.865;0.215;0.504;0.144;0.579;0.144;1.0;0.1;0.215;0.787;0.636;0.0;0.61;0.504;0.0;0.303;0.451;0.539;0.539;0.528;0.0;0.341;0.137;0.677;0.539
ENST00000509664_90_90;0.27;0.334;0.334;0.395;0.396;0.396;0.079;0.716;0.237;0.09;0.793;0.334;0.909;0.205;0.909;0.1;1.0;0.793;0.116;0.45;0.349;0.464;0.334;0.565;0.683;0.27;0.323;0.323;0.316;0.389;0.474;0.21;0.08;0.323
