;ENSCAFT00000013523_90_90;ENST00000339266_90_90;ENST00000340491_90_90;ENST00000373907_90_90;ENST00000373913_90_90;ENST00000401952_90_90;ENST00000475894_90_90;ENST00000482872_90_90;ENST00000489701_90_90;ENST00000495241_90_90;ENSMUST00000000094_90_90;ENSMUST00000070782_90_90;ENSMUST00000099145_90_90;ENSMUST00000109566_90_90;ENSMUST00000109567_90_90;ENSMUST00000109568_90_90;ENSMUST00000131157_90_90;ENSMUST00000137356_90_90;ENSMUST00000146412_90_90;ENSMUST00000169464_90_90;ENSMUST00000171030_90_90;ENSMUST00000177013_90_90
ENSCAFT00000013523_90_90;1.0;1.0;0.65;1.0;0.95;0.95;0.5;0.1;0.4;0.3;0.421;0.947;0.684;0.526;0.947;0.947;0.211;0.053;0.263;1.0;0.474;0.158
ENST00000339266_90_90;1.0;1.0;0.609;1.0;0.808;0.808;0.455;0.091;0.308;0.273;0.348;0.826;0.619;0.5;0.826;0.95;0.2;0.05;0.25;1.0;0.45;0.15
ENST00000340491_90_90;0.65;0.609;1.0;0.609;0.481;0.481;0.667;0.133;0.421;0.4;0.471;0.5;1.0;0.714;0.5;0.65;0.286;0.071;0.357;0.619;0.643;0.214
ENST00000373907_90_90;1.0;1.0;0.609;1.0;0.808;0.808;0.455;0.091;0.308;0.273;0.348;0.826;0.619;0.5;0.826;0.95;0.2;0.05;0.25;1.0;0.45;0.15
ENST00000373913_90_90;0.95;0.808;0.481;0.808;1.0;1.0;0.4;0.08;0.423;0.24;0.435;1.0;0.5;0.455;1.0;0.783;0.182;0.045;0.227;0.826;0.409;0.136
ENST00000401952_90_90;0.95;0.808;0.481;0.808;1.0;1.0;0.4;0.08;0.423;0.24;0.435;1.0;0.5;0.455;1.0;0.783;0.182;0.045;0.227;0.826;0.409;0.136
ENST00000475894_90_90;0.5;0.455;0.667;0.455;0.4;0.4;1.0;0.2;0.467;0.6;0.5;0.455;0.714;1.0;0.455;0.526;0.4;0.1;0.5;0.5;0.9;0.3
ENST00000482872_90_90;0.1;0.091;0.133;0.091;0.08;0.08;0.2;1.0;0.167;0.333;0.182;0.091;0.143;0.2;0.091;0.105;0.0;0.5;0.4;0.1;0.222;0.667
ENST00000489701_90_90;0.4;0.308;0.421;0.308;0.423;0.423;0.467;0.167;1.0;0.5;1.0;0.435;0.471;0.5;0.435;0.364;0.25;0.091;0.455;0.348;0.538;0.273
ENST00000495241_90_90;0.3;0.273;0.4;0.273;0.24;0.24;0.6;0.333;0.5;1.0;0.545;0.273;0.429;0.6;0.273;0.316;0.25;0.167;0.833;0.3;0.667;0.5
ENSMUST00000000094_90_90;0.421;0.348;0.471;0.348;0.435;0.435;0.5;0.182;1.0;0.545;1.0;0.423;0.421;0.467;0.423;0.32;0.231;0.083;0.417;0.308;0.5;0.25
ENSMUST00000070782_90_90;0.947;0.826;0.5;0.826;1.0;1.0;0.455;0.091;0.435;0.273;0.423;1.0;0.481;0.4;1.0;0.769;0.16;0.04;0.2;0.808;0.36;0.12
ENSMUST00000099145_90_90;0.684;0.619;1.0;0.619;0.5;0.5;0.714;0.143;0.471;0.429;0.421;0.481;1.0;0.667;0.481;0.636;0.267;0.067;0.333;0.609;0.6;0.2
ENSMUST00000109566_90_90;0.526;0.5;0.714;0.5;0.455;0.455;1.0;0.2;0.5;0.6;0.467;0.4;0.667;1.0;0.4;0.476;0.4;0.1;0.5;0.455;0.9;0.3
ENSMUST00000109567_90_90;0.947;0.826;0.5;0.826;1.0;1.0;0.455;0.091;0.435;0.273;0.423;1.0;0.481;0.4;1.0;0.769;0.16;0.04;0.2;0.808;0.36;0.12
ENSMUST00000109568_90_90;0.947;0.95;0.65;0.95;0.783;0.783;0.526;0.105;0.364;0.316;0.32;0.769;0.636;0.476;0.769;1.0;0.19;0.048;0.238;0.955;0.429;0.143
ENSMUST00000131157_90_90;0.211;0.2;0.286;0.2;0.182;0.182;0.4;0.0;0.25;0.25;0.231;0.16;0.267;0.4;0.16;0.19;1.0;0.0;0.125;0.182;0.444;0.0
ENSMUST00000137356_90_90;0.053;0.05;0.071;0.05;0.045;0.045;0.1;0.5;0.091;0.167;0.083;0.04;0.067;0.1;0.04;0.048;0.0;1.0;0.2;0.045;0.111;0.333
ENSMUST00000146412_90_90;0.263;0.25;0.357;0.25;0.227;0.227;0.5;0.4;0.455;0.833;0.417;0.2;0.333;0.5;0.2;0.238;0.125;0.2;1.0;0.227;0.556;0.6
ENSMUST00000169464_90_90;1.0;1.0;0.619;1.0;0.826;0.826;0.5;0.1;0.348;0.3;0.308;0.808;0.609;0.455;0.808;0.955;0.182;0.045;0.227;1.0;0.409;0.136
ENSMUST00000171030_90_90;0.474;0.45;0.643;0.45;0.409;0.409;0.9;0.222;0.538;0.667;0.5;0.36;0.6;0.9;0.36;0.429;0.444;0.111;0.556;0.409;1.0;0.333
ENSMUST00000177013_90_90;0.158;0.15;0.214;0.15;0.136;0.136;0.3;0.667;0.273;0.5;0.25;0.12;0.2;0.3;0.12;0.143;0.0;0.333;0.6;0.136;0.333;1.0
