;ENSCAFT00000031997_90_90;ENSCAFT00000046265_90_90;ENST00000223836_90_90;ENST00000373156_90_90;ENST00000373176_90_90;ENST00000413016_90_90;ENST00000550143_90_90;ENST00000550992_90_90;ENSMUST00000068271_90_90;ENSMUST00000113277_90_90;ENSMUST00000113278_90_90;ENSMUST00000156578_90_90;ENSMUST00000195721_90_90
ENSCAFT00000031997_90_90;1.0;0.733;1.0;0.846;0.846;0.583;0.417;0.0;1.0;0.846;0.846;0.462;0.462
ENSCAFT00000046265_90_90;0.733;1.0;0.846;1.0;1.0;0.583;0.417;0.083;0.846;1.0;1.0;0.545;0.545
ENST00000223836_90_90;1.0;0.846;1.0;0.733;0.733;0.538;0.385;0.0;1.0;0.917;0.917;0.5;0.5
ENST00000373156_90_90;0.846;1.0;0.733;1.0;1.0;0.538;0.385;0.143;0.917;1.0;1.0;0.545;0.545
ENST00000373176_90_90;0.846;1.0;0.733;1.0;1.0;0.538;0.385;0.143;0.917;1.0;1.0;0.545;0.545
ENST00000413016_90_90;0.583;0.583;0.538;0.538;0.538;1.0;0.5;0.0;0.583;0.636;0.636;0.182;0.3
ENST00000550143_90_90;0.417;0.417;0.385;0.385;0.385;0.5;1.0;0.0;0.417;0.455;0.455;0.222;0.375
ENST00000550992_90_90;0.0;0.083;0.0;0.143;0.143;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000068271_90_90;1.0;0.846;1.0;0.917;0.917;0.583;0.417;0.0;1.0;0.786;0.786;0.429;0.429
ENSMUST00000113277_90_90;0.846;1.0;0.917;1.0;1.0;0.636;0.455;0.0;0.786;1.0;1.0;0.583;0.583
ENSMUST00000113278_90_90;0.846;1.0;0.917;1.0;1.0;0.636;0.455;0.0;0.786;1.0;1.0;0.583;0.583
ENSMUST00000156578_90_90;0.462;0.545;0.5;0.545;0.545;0.182;0.222;0.0;0.429;0.583;0.583;1.0;0.75
ENSMUST00000195721_90_90;0.462;0.545;0.5;0.545;0.545;0.3;0.375;0.0;0.429;0.583;0.583;0.75;1.0
