;ENSCAFT00000011893_90_90;ENST00000265997_90_90;ENST00000412050_90_90;ENST00000614585_90_90;ENSMUST00000079754_90_90;ENSMUST00000123727_90_90;ENSMUST00000124158_90_90;ENSMUST00000126188_90_90;ENSMUST00000126781_90_90;ENSMUST00000128642_90_90;ENSMUST00000131917_90_90;ENSMUST00000132580_90_90;ENSMUST00000133988_90_90;ENSMUST00000136286_90_90;ENSMUST00000142973_90_90;ENSMUST00000154376_90_90
ENSCAFT00000011893_90_90;1.0;0.96;0.966;0.96;1.0;0.966;0.487;0.966;0.834;0.169;0.218;1.0;0.364;0.96;0.259;1.0
ENST00000265997_90_90;0.96;1.0;0.894;1.0;0.962;0.883;0.507;0.883;0.756;0.133;0.181;0.962;0.326;1.0;0.222;0.962
ENST00000412050_90_90;0.966;0.894;1.0;0.894;0.921;1.0;0.466;1.0;0.865;0.139;0.19;0.921;0.343;0.883;0.233;0.921
ENST00000614585_90_90;0.96;1.0;0.894;1.0;0.962;0.883;0.507;0.883;0.756;0.133;0.181;0.962;0.326;1.0;0.222;0.962
ENSMUST00000079754_90_90;1.0;0.962;0.921;0.962;1.0;0.899;0.5;0.931;0.787;0.172;0.214;1.0;0.336;0.935;0.247;1.0
ENSMUST00000123727_90_90;0.966;0.883;1.0;0.883;0.899;1.0;0.444;0.964;0.811;0.195;0.241;0.899;0.381;0.894;0.28;0.899
ENSMUST00000124158_90_90;0.487;0.507;0.466;0.507;0.5;0.444;1.0;0.431;0.303;0.0;0.0;0.5;0.0;0.481;0.0;0.5
ENSMUST00000126188_90_90;0.966;0.883;1.0;0.883;0.931;0.964;0.431;1.0;0.845;0.186;0.231;0.931;0.365;0.867;0.268;0.931
ENSMUST00000126781_90_90;0.834;0.756;0.865;0.756;0.787;0.811;0.303;0.845;1.0;0.203;0.252;0.787;0.395;0.726;0.29;0.787
ENSMUST00000128642_90_90;0.169;0.133;0.139;0.133;0.172;0.195;0.0;0.186;0.203;1.0;0.807;0.172;0.516;0.186;0.709;0.172
ENSMUST00000131917_90_90;0.218;0.181;0.19;0.181;0.214;0.241;0.0;0.231;0.252;0.807;1.0;0.214;0.639;0.231;0.877;0.214
ENSMUST00000132580_90_90;1.0;0.962;0.921;0.962;1.0;0.899;0.5;0.931;0.787;0.172;0.214;1.0;0.336;0.935;0.247;1.0
ENSMUST00000133988_90_90;0.364;0.326;0.343;0.326;0.336;0.381;0.0;0.365;0.395;0.516;0.639;0.336;1.0;0.364;0.73;0.336
ENSMUST00000136286_90_90;0.96;1.0;0.883;1.0;0.935;0.894;0.481;0.867;0.726;0.186;0.231;0.935;0.364;1.0;0.267;0.935
ENSMUST00000142973_90_90;0.259;0.222;0.233;0.222;0.247;0.28;0.0;0.268;0.29;0.709;0.877;0.247;0.73;0.267;1.0;0.247
ENSMUST00000154376_90_90;1.0;0.962;0.921;0.962;1.0;0.899;0.5;0.931;0.787;0.172;0.214;1.0;0.336;0.935;0.247;1.0
