;ENSCAFT00000025386_90_90;ENST00000389900_90_90;ENST00000389902_90_90;ENST00000411812_90_90;ENST00000416985_90_90;ENST00000425013_90_90;ENSMUST00000053498_90_90;ENSMUST00000197296_90_90;ENSMUST00000200430_90_90;ENSMUST00000200607_90_90
ENSCAFT00000025386_90_90;1.0;0.314;0.999;0.025;0.021;0.937;0.937;0.075;0.066;1.0
ENST00000389900_90_90;0.314;1.0;0.304;0.063;0.06;0.323;0.326;0.233;0.071;0.306
ENST00000389902_90_90;0.999;0.304;1.0;0.024;0.021;0.938;0.937;0.074;0.066;0.999
ENST00000411812_90_90;0.025;0.063;0.024;1.0;0.401;0.025;0.027;0.338;0.368;0.025
ENST00000416985_90_90;0.021;0.06;0.021;0.401;1.0;0.023;0.023;0.289;0.328;0.022
ENST00000425013_90_90;0.937;0.323;0.938;0.025;0.023;1.0;0.999;0.076;0.07;0.937
ENSMUST00000053498_90_90;0.937;0.326;0.937;0.027;0.023;0.999;1.0;0.077;0.07;0.937
ENSMUST00000197296_90_90;0.075;0.233;0.074;0.338;0.289;0.076;0.077;1.0;0.211;0.075
ENSMUST00000200430_90_90;0.066;0.071;0.066;0.368;0.328;0.07;0.07;0.211;1.0;0.066
ENSMUST00000200607_90_90;1.0;0.306;0.999;0.025;0.022;0.937;0.937;0.075;0.066;1.0
