;ENSCAFT00000026865_90_90;ENST00000355560_90_90;ENST00000361168_90_90;ENST00000368361_90_90;ENSMUST00000090927_90_90;ENSMUST00000121212_90_90;ENSMUST00000121931_90_90;ENSMUST00000128318_90_90;ENSMUST00000148265_90_90;ENSMUST00000152205_90_90
ENSCAFT00000026865_90_90;1.0;0.81;0.867;0.923;0.817;0.867;0.918;0.314;0.509;0.098
ENST00000355560_90_90;0.81;1.0;0.936;0.887;1.0;0.936;0.887;0.323;0.562;0.129
ENST00000361168_90_90;0.867;0.936;1.0;0.944;0.936;1.0;0.944;0.387;0.625;0.119
ENST00000368361_90_90;0.923;0.887;0.944;1.0;0.887;0.944;1.0;0.359;0.584;0.113
ENSMUST00000090927_90_90;0.817;1.0;0.936;0.887;1.0;0.944;0.898;0.302;0.527;0.119
ENSMUST00000121212_90_90;0.867;0.936;1.0;0.944;0.944;1.0;0.949;0.359;0.584;0.113
ENSMUST00000121931_90_90;0.918;0.887;0.944;1.0;0.898;0.949;1.0;0.336;0.549;0.107
ENSMUST00000128318_90_90;0.314;0.323;0.387;0.359;0.302;0.359;0.336;1.0;0.606;0.334
ENSMUST00000148265_90_90;0.509;0.562;0.625;0.584;0.527;0.584;0.549;0.606;1.0;0.197
ENSMUST00000152205_90_90;0.098;0.129;0.119;0.113;0.119;0.113;0.107;0.334;0.197;1.0
