;ENSCAFT00000023420_90_90;ENST00000319770_90_90;ENST00000355772_90_90;ENST00000361959_90_90;ENST00000396801_90_90;ENST00000417772_90_90;ENST00000436774_90_90;ENST00000535485_90_90;ENST00000538829_90_90;ENST00000540915_90_90;ENST00000542351_90_90;ENST00000544482_90_90;ENST00000545946_90_90;ENSMUST00000046064_90_90;ENSMUST00000054553_90_90;ENSMUST00000084275_90_90;ENSMUST00000088308_90_90;ENSMUST00000112424_90_90;ENSMUST00000112425_90_90;ENSMUST00000112427_90_90;ENSMUST00000112428_90_90;ENSMUST00000152752_90_90
ENSCAFT00000023420_90_90;1.0;0.866;0.719;0.959;0.959;0.601;0.44;0.266;0.19;0.377;0.182;0.142;0.256;0.907;0.719;0.979;0.979;0.925;0.886;0.979;0.907;0.169
ENST00000319770_90_90;0.866;1.0;0.836;0.913;0.913;0.508;0.491;0.292;0.215;0.401;0.165;0.15;0.339;0.916;0.843;0.891;0.891;0.841;0.98;0.891;0.916;0.184
ENST00000355772_90_90;0.719;0.836;1.0;0.762;0.762;0.36;0.398;0.189;0.124;0.237;0.126;0.129;0.409;0.773;1.0;0.752;0.752;0.79;0.827;0.752;0.773;0.176
ENST00000361959_90_90;0.959;0.913;0.762;1.0;1.0;0.543;0.447;0.266;0.196;0.366;0.15;0.136;0.309;0.838;0.765;0.981;0.981;0.93;0.891;0.981;0.838;0.167
ENST00000396801_90_90;0.959;0.913;0.762;1.0;1.0;0.543;0.447;0.266;0.196;0.366;0.15;0.136;0.309;0.838;0.765;0.981;0.981;0.93;0.891;0.981;0.838;0.167
ENST00000417772_90_90;0.601;0.508;0.36;0.543;0.543;1.0;0.7;0.417;0.307;0.576;0.23;0.21;0.0;0.569;0.378;0.544;0.544;0.496;0.508;0.544;0.569;0.254
ENST00000436774_90_90;0.44;0.491;0.398;0.447;0.447;0.7;1.0;0.595;0.296;0.643;0.203;0.212;0.0;0.457;0.42;0.444;0.444;0.467;0.489;0.444;0.457;0.363
ENST00000535485_90_90;0.266;0.292;0.189;0.266;0.266;0.417;0.595;1.0;0.468;0.73;0.32;0.339;0.0;0.265;0.198;0.257;0.257;0.269;0.283;0.257;0.265;0.624
ENST00000538829_90_90;0.19;0.215;0.124;0.196;0.196;0.307;0.296;0.468;1.0;0.539;0.674;0.659;0.0;0.19;0.127;0.184;0.184;0.133;0.203;0.184;0.19;0.42
ENST00000540915_90_90;0.377;0.401;0.237;0.366;0.366;0.576;0.643;0.73;0.539;1.0;0.402;0.377;0.0;0.371;0.249;0.362;0.362;0.311;0.398;0.362;0.371;0.458
ENST00000542351_90_90;0.182;0.165;0.126;0.15;0.15;0.23;0.203;0.32;0.674;0.402;1.0;0.695;0.0;0.182;0.129;0.176;0.176;0.126;0.194;0.176;0.182;0.441
ENST00000544482_90_90;0.142;0.15;0.129;0.136;0.136;0.21;0.212;0.339;0.659;0.377;0.695;1.0;0.0;0.144;0.132;0.139;0.139;0.107;0.153;0.139;0.144;0.485
ENST00000545946_90_90;0.256;0.339;0.409;0.309;0.309;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.292;0.382;0.284;0.284;0.3;0.313;0.284;0.292;0.0
ENSMUST00000046064_90_90;0.907;0.916;0.773;0.838;0.838;0.569;0.457;0.265;0.19;0.371;0.182;0.144;0.292;1.0;0.789;0.863;0.863;0.818;0.939;0.863;1.0;0.163
ENSMUST00000054553_90_90;0.719;0.843;1.0;0.765;0.765;0.378;0.42;0.198;0.127;0.249;0.129;0.132;0.382;0.789;1.0;0.767;0.767;0.805;0.841;0.767;0.789;0.168
ENSMUST00000084275_90_90;0.979;0.891;0.752;0.981;0.981;0.544;0.444;0.257;0.184;0.362;0.176;0.139;0.284;0.863;0.767;1.0;1.0;0.953;0.915;1.0;0.863;0.158
ENSMUST00000088308_90_90;0.979;0.891;0.752;0.981;0.981;0.544;0.444;0.257;0.184;0.362;0.176;0.139;0.284;0.863;0.767;1.0;1.0;0.953;0.915;1.0;0.863;0.158
ENSMUST00000112424_90_90;0.925;0.841;0.79;0.93;0.93;0.496;0.467;0.269;0.133;0.311;0.126;0.107;0.3;0.818;0.805;0.953;0.953;1.0;0.867;0.953;0.818;0.164
ENSMUST00000112425_90_90;0.886;0.98;0.827;0.891;0.891;0.508;0.489;0.283;0.203;0.398;0.194;0.153;0.313;0.939;0.841;0.915;0.915;0.867;1.0;0.915;0.939;0.173
ENSMUST00000112427_90_90;0.979;0.891;0.752;0.981;0.981;0.544;0.444;0.257;0.184;0.362;0.176;0.139;0.284;0.863;0.767;1.0;1.0;0.953;0.915;1.0;0.863;0.158
ENSMUST00000112428_90_90;0.907;0.916;0.773;0.838;0.838;0.569;0.457;0.265;0.19;0.371;0.182;0.144;0.292;1.0;0.789;0.863;0.863;0.818;0.939;0.863;1.0;0.163
ENSMUST00000152752_90_90;0.169;0.184;0.176;0.167;0.167;0.254;0.363;0.624;0.42;0.458;0.441;0.485;0.0;0.163;0.168;0.158;0.158;0.164;0.173;0.158;0.163;1.0
