;transcript5_ENSHGLG00100003156;transcript18_ENSHGLG00100003156;transcript33_ENSHGLG00100003156;transcript34_ENSHGLG00100003156;transcript35_ENSHGLG00100003156;transcript36_ENSHGLG00100003156;transcript5_ENSHGLG00100006079;transcript30_ENSHGLG00100006079;transcript5_ENSPCIG00000036398;transcript5_ENSXMAG00000026005;transcript7_ENSXMAG00000026005
transcript5_ENSHGLG00100003156;1.0;1.0;0.74;0.905;0.866;0.888;0.932;0.746;0.976;0.988;0.988
transcript18_ENSHGLG00100003156;1.0;1.0;0.74;0.905;0.866;0.888;0.932;0.746;0.976;0.988;0.988
transcript33_ENSHGLG00100003156;0.74;0.74;1.0;0.724;0.791;0.835;0.682;0.504;0.718;0.729;0.729
transcript34_ENSHGLG00100003156;0.905;0.905;0.724;1.0;0.774;0.793;0.837;0.651;0.882;0.893;0.893
transcript35_ENSHGLG00100003156;0.866;0.866;0.791;0.774;1.0;0.948;0.812;0.659;0.855;0.855;0.855
transcript36_ENSHGLG00100003156;0.888;0.888;0.835;0.793;0.948;1.0;0.831;0.654;0.864;0.876;0.876
transcript5_ENSHGLG00100006079;0.932;0.932;0.682;0.837;0.812;0.831;1.0;0.796;0.908;0.92;0.92
transcript30_ENSHGLG00100006079;0.746;0.746;0.504;0.651;0.659;0.654;0.796;1.0;0.736;0.736;0.736
transcript5_ENSPCIG00000036398;0.976;0.976;0.718;0.882;0.855;0.864;0.908;0.736;1.0;0.964;0.964
transcript5_ENSXMAG00000026005;0.988;0.988;0.729;0.893;0.855;0.876;0.92;0.736;0.964;1.0;1.0
transcript7_ENSXMAG00000026005;0.988;0.988;0.729;0.893;0.855;0.876;0.92;0.736;0.964;1.0;1.0
