;ENSCAFT00000036803_90_90;ENST00000260648_90_90;ENST00000378511_90_90;ENST00000378520_90_90;ENST00000409272_90_90;ENST00000409411_90_90;ENST00000409936_90_90;ENST00000409957_90_90;ENST00000410081_90_90;ENST00000420756_90_90;ENST00000425263_90_90;ENST00000426481_90_90;ENST00000438314_90_90;ENST00000444696_90_90;ENST00000541738_90_90;ENSMUST00000072406_90_90;ENSMUST00000171795_90_90
ENSCAFT00000036803_90_90;1.0;0.857;0.786;0.786;0.857;0.692;0.857;0.692;0.857;0.143;0.857;0.857;0.286;0.143;0.692;0.692;0.786
ENST00000260648_90_90;0.857;1.0;0.923;0.923;1.0;0.692;1.0;0.692;1.0;0.143;1.0;1.0;0.385;0.143;0.692;0.692;0.923
ENST00000378511_90_90;0.786;0.923;1.0;0.846;0.923;0.615;0.923;0.615;0.923;0.154;0.923;0.923;0.417;0.154;0.615;0.615;0.846
ENST00000378520_90_90;0.786;0.923;0.846;1.0;0.923;0.615;0.923;0.615;0.923;0.154;0.923;0.923;0.417;0.154;0.615;0.615;0.846
ENST00000409272_90_90;0.857;1.0;0.923;0.923;1.0;0.692;1.0;0.692;1.0;0.143;1.0;1.0;0.385;0.143;0.692;0.692;0.923
ENST00000409411_90_90;0.692;0.692;0.615;0.615;0.692;1.0;0.692;1.0;0.692;0.2;0.692;0.692;0.077;0.2;1.0;1.0;0.75
ENST00000409936_90_90;0.857;1.0;0.923;0.923;1.0;0.692;1.0;0.692;1.0;0.143;1.0;1.0;0.385;0.143;0.692;0.692;0.923
ENST00000409957_90_90;0.692;0.692;0.615;0.615;0.692;1.0;0.692;1.0;0.692;0.2;0.692;0.692;0.077;0.2;1.0;1.0;0.75
ENST00000410081_90_90;0.857;1.0;0.923;0.923;1.0;0.692;1.0;0.692;1.0;0.143;1.0;1.0;0.385;0.143;0.692;0.692;0.923
ENST00000420756_90_90;0.143;0.143;0.154;0.154;0.143;0.2;0.143;0.2;0.143;1.0;0.143;0.143;0.0;0.2;0.2;0.2;0.154
ENST00000425263_90_90;0.857;1.0;0.923;0.923;1.0;0.692;1.0;0.692;1.0;0.143;1.0;1.0;0.385;0.143;0.692;0.692;0.923
ENST00000426481_90_90;0.857;1.0;0.923;0.923;1.0;0.692;1.0;0.692;1.0;0.143;1.0;1.0;0.385;0.143;0.692;0.692;0.923
ENST00000438314_90_90;0.286;0.385;0.417;0.417;0.385;0.077;0.385;0.077;0.385;0.0;0.385;0.385;1.0;0.0;0.077;0.077;0.308
ENST00000444696_90_90;0.143;0.143;0.154;0.154;0.143;0.2;0.143;0.2;0.143;0.2;0.143;0.143;0.0;1.0;0.2;0.2;0.154
ENST00000541738_90_90;0.692;0.692;0.615;0.615;0.692;1.0;0.692;1.0;0.692;0.2;0.692;0.692;0.077;0.2;1.0;1.0;0.75
ENSMUST00000072406_90_90;0.692;0.692;0.615;0.615;0.692;1.0;0.692;1.0;0.692;0.2;0.692;0.692;0.077;0.2;1.0;1.0;0.75
ENSMUST00000171795_90_90;0.786;0.923;0.846;0.846;0.923;0.75;0.923;0.75;0.923;0.154;0.923;0.923;0.308;0.154;0.75;0.75;1.0
