;ENSCAFT00000020196_90_90;ENSCAFT00000020210_90_90;ENST00000340296_90_90;ENST00000397119_90_90;ENST00000409197_90_90;ENST00000409317_90_90;ENST00000409453_90_90;ENST00000409773_90_90;ENST00000410079_90_90;ENST00000411953_90_90;ENST00000412370_90_90;ENST00000422646_90_90;ENST00000423910_90_90;ENST00000425485_90_90;ENST00000430778_90_90;ENST00000435234_90_90;ENST00000438879_90_90;ENST00000443458_90_90;ENST00000445378_90_90;ENST00000452242_90_90;ENST00000456808_90_90;ENST00000508530_90_90;ENSMUST00000081710_90_90;ENSMUST00000100028_90_90;ENSMUST00000112136_90_90;ENSMUST00000112138_90_90;ENSMUST00000112139_90_90;ENSMUST00000112140_90_90;ENSMUST00000112142_90_90;ENSMUST00000112144_90_90
ENSCAFT00000020196_90_90;1.0;0.833;0.833;0.924;0.833;0.895;0.899;0.924;0.857;0.219;0.208;0.354;0.284;0.38;0.13;0.52;0.435;0.247;0.185;0.502;0.343;0.807;0.833;0.895;0.923;0.833;0.807;0.948;0.895;0.948
ENSCAFT00000020210_90_90;0.833;1.0;1.0;0.905;1.0;0.931;0.879;0.905;0.972;0.19;0.264;0.367;0.349;0.504;0.169;0.661;0.415;0.214;0.275;0.524;0.417;0.97;1.0;0.931;0.86;1.0;0.97;0.885;0.931;0.885
ENST00000340296_90_90;0.833;1.0;1.0;0.885;1.0;0.931;0.86;0.885;0.933;0.182;0.253;0.367;0.334;0.504;0.169;0.661;0.398;0.208;0.275;0.524;0.398;0.97;1.0;0.931;0.86;1.0;0.97;0.885;0.931;0.885
ENST00000397119_90_90;0.924;0.905;0.885;1.0;0.885;0.948;0.975;1.0;0.836;0.232;0.222;0.406;0.292;0.431;0.181;0.573;0.432;0.324;0.238;0.553;0.347;0.86;0.905;0.97;0.952;0.905;0.879;0.976;0.97;0.976
ENST00000409197_90_90;0.833;1.0;1.0;0.885;1.0;0.931;0.86;0.885;0.933;0.182;0.253;0.367;0.334;0.504;0.169;0.661;0.398;0.208;0.275;0.524;0.398;0.97;1.0;0.931;0.86;1.0;0.97;0.885;0.931;0.885
ENST00000409317_90_90;0.895;0.931;0.931;0.948;0.931;1.0;0.923;0.948;0.876;0.245;0.235;0.435;0.31;0.463;0.193;0.61;0.461;0.272;0.254;0.593;0.368;0.904;0.931;1.0;0.923;0.931;0.904;0.948;1.0;0.948
ENST00000409453_90_90;0.899;0.879;0.86;0.975;0.86;0.923;1.0;0.975;0.814;0.238;0.228;0.419;0.3;0.446;0.186;0.589;0.446;0.335;0.245;0.572;0.357;0.879;0.879;0.945;0.974;0.879;0.901;0.952;0.945;0.952
ENST00000409773_90_90;0.924;0.905;0.885;1.0;0.885;0.948;0.975;1.0;0.836;0.232;0.222;0.406;0.292;0.431;0.181;0.573;0.432;0.324;0.238;0.553;0.347;0.86;0.905;0.97;0.952;0.905;0.879;0.976;0.97;0.976
ENST00000410079_90_90;0.857;0.972;0.933;0.836;0.933;0.876;0.814;0.836;1.0;0.244;0.32;0.341;0.401;0.464;0.159;0.611;0.459;0.195;0.254;0.487;0.465;0.906;0.972;0.909;0.884;0.972;0.944;0.908;0.909;0.908
ENST00000411953_90_90;0.219;0.19;0.182;0.232;0.182;0.245;0.238;0.232;0.244;1.0;0.718;0.56;0.59;0.379;0.613;0.276;0.619;0.696;0.356;0.424;0.53;0.188;0.19;0.256;0.28;0.19;0.196;0.272;0.256;0.272
