;ENSCAFT00000017682_90_90;ENST00000329008_90_90;ENST00000395275_90_90;ENST00000395276_90_90;ENST00000405452_90_90;ENST00000431984_90_90;ENST00000446128_90_90;ENSMUST00000086029_90_90;ENSMUST00000111287_90_90;ENSMUST00000111288_90_90;ENSMUST00000141131_90_90;ENSMUST00000202728_90_90
ENSCAFT00000017682_90_90;1.0;0.835;0.991;0.835;0.364;0.835;0.475;0.843;0.839;0.839;0.269;0.135
ENST00000329008_90_90;0.835;1.0;0.839;1.0;0.427;1.0;0.571;0.907;0.995;0.995;0.323;0.143
ENST00000395275_90_90;0.991;0.839;1.0;0.839;0.359;0.839;0.479;0.787;0.835;0.835;0.271;0.131
ENST00000395276_90_90;0.835;1.0;0.839;1.0;0.427;1.0;0.571;0.907;0.995;0.995;0.323;0.143
ENST00000405452_90_90;0.364;0.427;0.359;0.427;1.0;0.427;0.0;0.395;0.434;0.434;0.0;0.0
ENST00000431984_90_90;0.835;1.0;0.839;1.0;0.427;1.0;0.571;0.907;0.995;0.995;0.323;0.143
ENST00000446128_90_90;0.475;0.571;0.479;0.571;0.0;0.571;1.0;0.516;0.566;0.566;0.567;0.236
ENSMUST00000086029_90_90;0.843;0.907;0.787;0.907;0.395;0.907;0.516;1.0;0.839;0.839;0.269;0.292
ENSMUST00000111287_90_90;0.839;0.995;0.835;0.995;0.434;0.995;0.566;0.839;1.0;1.0;0.321;0.132
ENSMUST00000111288_90_90;0.839;0.995;0.835;0.995;0.434;0.995;0.566;0.839;1.0;1.0;0.321;0.132
ENSMUST00000141131_90_90;0.269;0.323;0.271;0.323;0.0;0.323;0.567;0.269;0.321;0.321;1.0;0.306
ENSMUST00000202728_90_90;0.135;0.143;0.131;0.143;0.0;0.143;0.236;0.292;0.132;0.132;0.306;1.0
