;ENSCAFT00000017839_90_90;ENSCAFT00000046942_90_90;ENST00000229395_90_90;ENST00000327214_90_90;ENST00000544111_90_90;ENST00000546072_90_90;ENSMUST00000037836_90_90;ENSMUST00000058245_90_90;ENSMUST00000067404_90_90;ENSMUST00000111663_90_90
ENSCAFT00000017839_90_90;1.0;0.85;0.85;1.0;0.279;0.522;0.522;0.522;1.0;0.85
ENSCAFT00000046942_90_90;0.85;1.0;1.0;0.85;0.237;0.672;0.672;0.672;0.85;1.0
ENST00000229395_90_90;0.85;1.0;1.0;0.85;0.237;0.667;0.667;0.667;0.85;1.0
ENST00000327214_90_90;1.0;0.85;0.85;1.0;0.279;0.518;0.518;0.518;1.0;0.85
ENST00000544111_90_90;0.279;0.237;0.237;0.279;1.0;0.349;0.349;0.349;0.279;0.237
ENST00000546072_90_90;0.522;0.672;0.667;0.518;0.349;1.0;1.0;1.0;0.518;0.667
ENSMUST00000037836_90_90;0.522;0.672;0.667;0.518;0.349;1.0;1.0;1.0;0.518;0.667
ENSMUST00000058245_90_90;0.522;0.672;0.667;0.518;0.349;1.0;1.0;1.0;0.518;0.667
ENSMUST00000067404_90_90;1.0;0.85;0.85;1.0;0.279;0.518;0.518;0.518;1.0;0.85
ENSMUST00000111663_90_90;0.85;1.0;1.0;0.85;0.237;0.667;0.667;0.667;0.85;1.0
