;ENSCAFT00000009247_90_90;ENST00000297737_90_90;ENST00000315769_90_90;ENST00000519406_90_90;ENST00000522623_90_90;ENST00000523188_90_90;ENST00000523542_90_90;ENSMUST00000042352_90_90;ENSMUST00000123412_90_90;ENSMUST00000131410_90_90;ENSMUST00000135747_90_90;ENSMUST00000207301_90_90
ENSCAFT00000009247_90_90;1.0;0.774;0.472;0.705;0.0;0.101;0.0;0.972;0.955;0.393;0.231;0.699
ENST00000297737_90_90;0.774;1.0;0.668;0.924;0.141;0.133;0.141;0.764;0.748;0.244;0.075;0.699
ENST00000315769_90_90;0.472;0.668;1.0;0.592;0.206;0.189;0.206;0.466;0.45;0.348;0.105;0.367
ENST00000519406_90_90;0.705;0.924;0.592;1.0;0.152;0.142;0.152;0.696;0.707;0.262;0.08;0.623
ENST00000522623_90_90;0.0;0.141;0.206;0.152;1.0;0.466;1.0;0.0;0.0;0.0;0.0;0.0
ENST00000523188_90_90;0.101;0.133;0.189;0.142;0.466;1.0;0.466;0.085;0.086;0.172;0.293;0.0
ENST00000523542_90_90;0.0;0.141;0.206;0.152;1.0;0.466;1.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000042352_90_90;0.972;0.764;0.466;0.696;0.0;0.085;0.0;1.0;0.983;0.421;0.222;0.699
ENSMUST00000123412_90_90;0.955;0.748;0.45;0.707;0.0;0.086;0.0;0.983;1.0;0.428;0.226;0.681
ENSMUST00000131410_90_90;0.393;0.244;0.348;0.262;0.0;0.172;0.0;0.421;0.428;1.0;0.489;0.119
ENSMUST00000135747_90_90;0.231;0.075;0.105;0.08;0.0;0.293;0.0;0.222;0.226;0.489;1.0;0.0
ENSMUST00000207301_90_90;0.699;0.699;0.367;0.623;0.0;0.0;0.0;0.699;0.681;0.119;0.0;1.0
