;ENSCAFT00000009605_90_90;ENST00000301244_90_90;ENST00000454580_90_90;ENST00000587090_90_90;ENST00000587334_90_90;ENST00000587516_90_90;ENST00000590510_90_90;ENST00000590738_90_90;ENST00000592007_90_90;ENSMUST00000098604_90_90;ENSMUST00000108236_90_90;ENSMUST00000207601_90_90
ENSCAFT00000009605_90_90;1.0;0.82;0.648;0.679;0.338;0.564;0.175;0.289;0.23;0.931;0.751;0.272
ENST00000301244_90_90;0.82;1.0;0.816;0.794;0.379;0.668;0.175;0.377;0.23;0.772;0.603;0.229
ENST00000454580_90_90;0.648;0.816;1.0;0.721;0.461;0.484;0.059;0.447;0.119;0.603;0.742;0.275
ENST00000587090_90_90;0.679;0.794;0.721;1.0;0.469;0.462;0.221;0.464;0.291;0.631;0.55;0.148
ENST00000587334_90_90;0.338;0.379;0.461;0.469;1.0;0.195;0.0;0.344;0.0;0.338;0.411;0.0
ENST00000587516_90_90;0.564;0.668;0.484;0.462;0.195;1.0;0.165;0.394;0.154;0.518;0.347;0.162
ENST00000590510_90_90;0.175;0.175;0.059;0.221;0.0;0.165;1.0;0.0;0.754;0.175;0.059;0.115
ENST00000590738_90_90;0.289;0.377;0.447;0.464;0.344;0.394;0.0;1.0;0.0;0.252;0.298;0.04
ENST00000592007_90_90;0.23;0.23;0.119;0.291;0.0;0.154;0.754;0.0;1.0;0.23;0.119;0.231
ENSMUST00000098604_90_90;0.931;0.772;0.603;0.631;0.338;0.518;0.175;0.252;0.23;1.0;0.816;0.228
ENSMUST00000108236_90_90;0.751;0.603;0.742;0.55;0.411;0.347;0.059;0.298;0.119;0.816;1.0;0.274
ENSMUST00000207601_90_90;0.272;0.229;0.275;0.148;0.0;0.162;0.115;0.04;0.231;0.228;0.274;1.0
