;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript32_ENSSTOG00000019743;transcript7_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript47_ENSMUGG00000013649;transcript20_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript47_ENSPEMG00000024651;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript27_ENSNGAG00000018584
transcript40_ENSRNOG00000031503;1.0;0.764;0.896;0.896;0.896;0.804;0.684;0.831;0.81;0.588;0.8;0.8;0.692
transcript47_ENSRNOG00000031503;0.764;1.0;0.677;0.677;0.677;0.758;0.886;0.738;0.716;0.772;0.594;0.594;0.636
transcript32_ENSSTOG00000019743;0.896;0.677;1.0;1.0;1.0;0.889;0.77;0.916;0.895;0.658;0.869;0.869;0.708
transcript7_ENSSTOG00000019743;0.896;0.677;1.0;1.0;1.0;0.889;0.77;0.916;0.895;0.658;0.869;0.869;0.708
transcript25_ENSSTOG00000019743;0.896;0.677;1.0;1.0;1.0;0.889;0.77;0.916;0.895;0.658;0.869;0.869;0.708
transcript24_ENSSTOG00000019743;0.804;0.758;0.889;0.889;0.889;1.0;0.862;0.971;0.949;0.739;0.793;0.793;0.799
transcript47_ENSMUGG00000013649;0.684;0.886;0.77;0.77;0.77;0.862;1.0;0.839;0.816;0.865;0.673;0.673;0.661
transcript20_ENSMUGG00000013649;0.831;0.738;0.916;0.916;0.916;0.971;0.839;1.0;0.978;0.718;0.82;0.82;0.775
transcript20_ENSMUGG00000013592;0.81;0.716;0.895;0.895;0.895;0.949;0.816;0.978;1.0;0.696;0.799;0.799;0.753
transcript47_ENSPEMG00000024651;0.588;0.772;0.658;0.658;0.658;0.739;0.865;0.718;0.696;1.0;0.772;0.772;0.591
transcript19_ENSPEMG00000024651;0.8;0.594;0.869;0.869;0.869;0.793;0.673;0.82;0.799;0.772;1.0;1.0;0.657
transcript38_ENSPEMG00000024651;0.8;0.594;0.869;0.869;0.869;0.793;0.673;0.82;0.799;0.772;1.0;1.0;0.657
transcript27_ENSNGAG00000018584;0.692;0.636;0.708;0.708;0.708;0.799;0.661;0.775;0.753;0.591;0.657;0.657;1.0
