;ENSCAFT00000003036_90_90;ENST00000297620_90_90;ENST00000379078_90_90;ENST00000379080_90_90;ENST00000379081_90_90;ENST00000379084_90_90;ENST00000379087_90_90;ENST00000379089_90_90;ENST00000422409_90_90;ENST00000445726_90_90;ENSMUST00000108049_90_90;ENSMUST00000108050_90_90;ENSMUST00000108052_90_90
ENSCAFT00000003036_90_90;1.0;0.769;0.385;0.667;0.667;0.538;0.667;0.75;0.75;0.846;0.692;0.615;0.769
ENST00000297620_90_90;0.769;1.0;0.308;0.583;0.727;0.583;0.727;0.667;0.667;0.917;0.909;0.818;1.0
ENST00000379078_90_90;0.385;0.308;1.0;0.4;0.273;0.4;0.4;0.5;0.5;0.385;0.231;0.25;0.308
ENST00000379080_90_90;0.667;0.583;0.4;1.0;0.778;0.455;0.778;0.889;0.7;0.667;0.636;0.7;0.583
ENST00000379081_90_90;0.667;0.727;0.273;0.778;1.0;0.6;0.778;0.7;0.7;0.667;0.8;0.7;0.727
ENST00000379084_90_90;0.538;0.583;0.4;0.455;0.6;1.0;0.6;0.545;0.7;0.538;0.5;0.417;0.583
ENST00000379087_90_90;0.667;0.727;0.4;0.778;0.778;0.6;1.0;0.889;0.7;0.667;0.636;0.7;0.727
ENST00000379089_90_90;0.75;0.667;0.5;0.889;0.7;0.545;0.889;1.0;0.8;0.75;0.583;0.636;0.667
ENST00000422409_90_90;0.75;0.667;0.5;0.7;0.7;0.7;0.7;0.8;1.0;0.75;0.583;0.5;0.667
ENST00000445726_90_90;0.846;0.917;0.385;0.667;0.667;0.538;0.667;0.75;0.75;1.0;0.833;0.75;0.917
ENSMUST00000108049_90_90;0.692;0.909;0.231;0.636;0.8;0.5;0.636;0.583;0.583;0.833;1.0;0.9;0.909
ENSMUST00000108050_90_90;0.615;0.818;0.25;0.7;0.7;0.417;0.7;0.636;0.5;0.75;0.9;1.0;0.818
ENSMUST00000108052_90_90;0.769;1.0;0.308;0.583;0.727;0.583;0.727;0.667;0.667;0.917;0.909;0.818;1.0
