;ENSCAFT00000037573_90_90;ENSCAFT00000037581_90_90;ENST00000382096_90_90;ENST00000382099_90_90;ENST00000382100_90_90;ENSMUST00000025866_90_90;ENSMUST00000047645_90_90;ENSMUST00000164746_90_90;ENSMUST00000165761_90_90;ENSMUST00000167487_90_90;ENSMUST00000172302_90_90
ENSCAFT00000037573_90_90;1.0;0.968;0.206;1.0;0.968;0.589;0.951;0.106;0.305;0.968;1.0
ENSCAFT00000037581_90_90;0.968;1.0;0.199;0.968;1.0;0.57;0.921;0.103;0.296;1.0;0.968
ENST00000382096_90_90;0.206;0.199;1.0;0.206;0.199;0.349;0.216;0.516;0.0;0.199;0.206
ENST00000382099_90_90;1.0;0.968;0.206;1.0;0.968;0.589;0.951;0.106;0.305;0.968;1.0
ENST00000382100_90_90;0.968;1.0;0.199;0.968;1.0;0.57;0.921;0.103;0.296;1.0;0.968
ENSMUST00000025866_90_90;0.589;0.57;0.349;0.589;0.57;1.0;0.541;0.18;0.198;0.57;0.589
ENSMUST00000047645_90_90;0.951;0.921;0.216;0.951;0.921;0.541;1.0;0.112;0.321;0.921;0.951
ENSMUST00000164746_90_90;0.106;0.103;0.516;0.106;0.103;0.18;0.112;1.0;0.0;0.103;0.106
ENSMUST00000165761_90_90;0.305;0.296;0.0;0.305;0.296;0.198;0.321;0.0;1.0;0.296;0.305
ENSMUST00000167487_90_90;0.968;1.0;0.199;0.968;1.0;0.57;0.921;0.103;0.296;1.0;0.968
ENSMUST00000172302_90_90;1.0;0.968;0.206;1.0;0.968;0.589;0.951;0.106;0.305;0.968;1.0
