;ENSCAFT00000023420_90_90;ENST00000319770_90_90;ENST00000355772_90_90;ENST00000361959_90_90;ENST00000396801_90_90;ENST00000417772_90_90;ENST00000436774_90_90;ENST00000535485_90_90;ENST00000538829_90_90;ENST00000540915_90_90;ENST00000542351_90_90;ENST00000544482_90_90;ENST00000545946_90_90;ENSMUST00000046064_90_90;ENSMUST00000054553_90_90;ENSMUST00000084275_90_90;ENSMUST00000088308_90_90;ENSMUST00000112424_90_90;ENSMUST00000112425_90_90;ENSMUST00000112427_90_90;ENSMUST00000112428_90_90;ENSMUST00000152752_90_90
ENSCAFT00000023420_90_90;1.0;0.826;0.609;0.913;0.913;0.652;0.435;0.261;0.174;0.435;0.174;0.087;0.174;0.917;0.625;0.958;0.958;0.875;0.875;0.958;0.917;0.125
ENST00000319770_90_90;0.826;1.0;0.727;0.917;0.917;0.6;0.545;0.318;0.227;0.5;0.13;0.091;0.227;0.875;0.762;0.875;0.875;0.792;0.955;0.875;0.875;0.143
ENST00000355772_90_90;0.609;0.727;1.0;0.667;0.667;0.36;0.4;0.15;0.05;0.227;0.053;0.059;0.312;0.667;1.0;0.667;0.667;0.727;0.727;0.667;0.667;0.118
ENST00000361959_90_90;0.913;0.917;0.667;1.0;1.0;0.615;0.5;0.292;0.208;0.458;0.12;0.083;0.208;0.808;0.696;0.958;0.958;0.875;0.875;0.958;0.808;0.13
ENST00000396801_90_90;0.913;0.917;0.667;1.0;1.0;0.615;0.5;0.292;0.208;0.458;0.12;0.083;0.208;0.808;0.696;0.958;0.958;0.875;0.875;0.958;0.808;0.13
ENST00000417772_90_90;0.652;0.6;0.36;0.615;0.615;1.0;0.667;0.389;0.278;0.611;0.158;0.111;0.0;0.64;0.375;0.577;0.577;0.5;0.56;0.577;0.64;0.176
ENST00000436774_90_90;0.435;0.545;0.4;0.5;0.5;0.667;1.0;0.583;0.214;0.643;0.067;0.077;0.0;0.458;0.421;0.458;0.458;0.5;0.5;0.458;0.458;0.273
ENST00000535485_90_90;0.261;0.318;0.15;0.292;0.292;0.389;0.583;1.0;0.333;0.636;0.1;0.125;0.0;0.25;0.158;0.25;0.25;0.273;0.273;0.25;0.25;0.5
ENST00000538829_90_90;0.174;0.227;0.05;0.208;0.208;0.278;0.214;0.333;1.0;0.455;0.5;0.4;0.0;0.167;0.053;0.167;0.167;0.083;0.182;0.167;0.167;0.167
ENST00000540915_90_90;0.435;0.5;0.227;0.458;0.458;0.611;0.643;0.636;0.455;1.0;0.25;0.182;0.0;0.417;0.238;0.417;0.417;0.333;0.455;0.417;0.417;0.3
ENST00000542351_90_90;0.174;0.13;0.053;0.12;0.12;0.158;0.067;0.1;0.5;0.25;1.0;0.5;0.0;0.167;0.053;0.167;0.167;0.083;0.182;0.167;0.167;0.167
ENST00000544482_90_90;0.087;0.091;0.059;0.083;0.083;0.111;0.077;0.125;0.4;0.182;0.5;1.0;0.0;0.083;0.059;0.083;0.083;0.043;0.091;0.083;0.083;0.25
ENST00000545946_90_90;0.174;0.227;0.312;0.208;0.208;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.208;0.312;0.208;0.208;0.227;0.227;0.208;0.208;0.0
ENSMUST00000046064_90_90;0.917;0.875;0.667;0.808;0.808;0.64;0.458;0.25;0.167;0.417;0.167;0.083;0.208;1.0;0.714;0.867;0.867;0.8;0.929;0.867;1.0;0.107
ENSMUST00000054553_90_90;0.625;0.762;1.0;0.696;0.696;0.375;0.421;0.158;0.053;0.238;0.053;0.059;0.312;0.714;1.0;0.714;0.714;0.769;0.769;0.714;0.714;0.095
ENSMUST00000084275_90_90;0.958;0.875;0.667;0.958;0.958;0.577;0.458;0.25;0.167;0.417;0.167;0.083;0.208;0.867;0.714;1.0;1.0;0.929;0.929;1.0;0.867;0.107
ENSMUST00000088308_90_90;0.958;0.875;0.667;0.958;0.958;0.577;0.458;0.25;0.167;0.417;0.167;0.083;0.208;0.867;0.714;1.0;1.0;0.929;0.929;1.0;0.867;0.107
ENSMUST00000112424_90_90;0.875;0.792;0.727;0.875;0.875;0.5;0.5;0.273;0.083;0.333;0.083;0.043;0.227;0.8;0.769;0.929;0.929;1.0;0.857;0.929;0.8;0.115
ENSMUST00000112425_90_90;0.875;0.955;0.727;0.875;0.875;0.56;0.5;0.273;0.182;0.455;0.182;0.091;0.227;0.929;0.769;0.929;0.929;0.857;1.0;0.929;0.929;0.115
ENSMUST00000112427_90_90;0.958;0.875;0.667;0.958;0.958;0.577;0.458;0.25;0.167;0.417;0.167;0.083;0.208;0.867;0.714;1.0;1.0;0.929;0.929;1.0;0.867;0.107
ENSMUST00000112428_90_90;0.917;0.875;0.667;0.808;0.808;0.64;0.458;0.25;0.167;0.417;0.167;0.083;0.208;1.0;0.714;0.867;0.867;0.8;0.929;0.867;1.0;0.107
ENSMUST00000152752_90_90;0.125;0.143;0.118;0.13;0.13;0.176;0.273;0.5;0.167;0.3;0.167;0.25;0.0;0.107;0.095;0.107;0.107;0.115;0.115;0.107;0.107;1.0
