;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript8_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.074;1.0;0.063;0.074;0.968;0.747;0.747;0.5;0.546;0.546;0.6;0.546;0.56;0.459;0.555;0.512;0.537;0.555;0.565;0.527
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.074;1.0;0.063;0.074;0.968;0.747;0.747;0.5;0.546;0.546;0.6;0.546;0.56;0.459;0.555;0.512;0.537;0.555;0.565;0.527
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.074;1.0;0.063;0.074;0.968;0.747;0.747;0.5;0.546;0.546;0.6;0.546;0.56;0.459;0.555;0.512;0.537;0.555;0.565;0.527
transcript8_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.074;1.0;0.063;0.074;0.968;0.747;0.747;0.5;0.546;0.546;0.6;0.546;0.56;0.459;0.555;0.512;0.537;0.555;0.565;0.527
transcript10_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.074;1.0;0.063;0.074;0.968;0.747;0.747;0.5;0.546;0.546;0.6;0.546;0.56;0.459;0.555;0.512;0.537;0.555;0.565;0.527
transcript11_ENSHGLG00000019563;0.074;0.074;0.074;0.074;0.074;1.0;0.074;0.857;1.0;0.076;0.083;0.083;0.039;0.107;0.107;0.048;0.107;0.042;0.109;0.053;0.046;0.046;0.053;0.042;0.092
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.074;1.0;0.063;0.074;0.968;0.747;0.747;0.5;0.546;0.546;0.6;0.546;0.56;0.459;0.555;0.512;0.537;0.555;0.565;0.527
transcript26_ENSHGLG00000019563;0.063;0.063;0.063;0.063;0.063;0.857;0.063;1.0;0.857;0.065;0.069;0.069;0.034;0.089;0.089;0.041;0.089;0.036;0.094;0.045;0.039;0.04;0.045;0.036;0.079
transcript27_ENSHGLG00000019563;0.074;0.074;0.074;0.074;0.074;1.0;0.074;0.857;1.0;0.076;0.083;0.083;0.039;0.107;0.107;0.048;0.107;0.042;0.109;0.053;0.046;0.046;0.053;0.042;0.092
transcript28_ENSHGLG00000019563;0.968;0.968;0.968;0.968;0.968;0.076;0.968;0.065;0.076;1.0;0.716;0.716;0.484;0.531;0.531;0.58;0.531;0.542;0.458;0.534;0.494;0.519;0.534;0.548;0.514
transcript7_ENSHGLG00100006079;0.747;0.747;0.747;0.747;0.747;0.083;0.747;0.069;0.083;0.716;1.0;1.0;0.368;0.465;0.465;0.44;0.465;0.417;0.392;0.41;0.383;0.396;0.41;0.423;0.455
transcript10_ENSHGLG00100006079;0.747;0.747;0.747;0.747;0.747;0.083;0.747;0.069;0.083;0.716;1.0;1.0;0.368;0.465;0.465;0.44;0.465;0.417;0.392;0.41;0.383;0.396;0.41;0.423;0.455
transcript3_ENSPCIG00000036398;0.5;0.5;0.5;0.5;0.5;0.039;0.5;0.034;0.039;0.484;0.368;0.368;1.0;0.309;0.309;0.815;0.309;0.845;0.33;0.703;0.742;0.808;0.703;0.85;0.38
transcript7_ENSPCIG00000036398;0.546;0.546;0.546;0.546;0.546;0.107;0.546;0.089;0.107;0.531;0.465;0.465;0.309;1.0;1.0;0.379;1.0;0.306;0.545;0.308;0.268;0.272;0.308;0.312;0.658
transcript8_ENSPCIG00000036398;0.546;0.546;0.546;0.546;0.546;0.107;0.546;0.089;0.107;0.531;0.465;0.465;0.309;1.0;1.0;0.379;1.0;0.306;0.545;0.308;0.268;0.272;0.308;0.312;0.658
transcript15_ENSPCIG00000036398;0.6;0.6;0.6;0.6;0.6;0.048;0.6;0.041;0.048;0.58;0.44;0.44;0.815;0.379;0.379;1.0;0.379;0.773;0.274;0.669;0.684;0.751;0.669;0.778;0.323
transcript18_ENSPCIG00000036398;0.546;0.546;0.546;0.546;0.546;0.107;0.546;0.089;0.107;0.531;0.465;0.465;0.309;1.0;1.0;0.379;1.0;0.306;0.545;0.308;0.268;0.272;0.308;0.312;0.658
transcript3_ENSMUNG00000007775;0.56;0.56;0.56;0.56;0.56;0.042;0.56;0.036;0.042;0.542;0.417;0.417;0.845;0.306;0.306;0.773;0.306;1.0;0.383;0.79;0.839;0.904;0.79;0.994;0.446
transcript8_ENSMUNG00000002377;0.459;0.459;0.459;0.459;0.459;0.109;0.459;0.094;0.109;0.458;0.392;0.392;0.33;0.545;0.545;0.274;0.545;0.383;1.0;0.485;0.418;0.424;0.485;0.381;0.795
transcript15_ENSMUNG00000002377;0.555;0.555;0.555;0.555;0.555;0.053;0.555;0.045;0.053;0.534;0.41;0.41;0.703;0.308;0.308;0.669;0.308;0.79;0.485;1.0;0.781;0.874;1.0;0.786;0.434
transcript16_ENSMUNG00000002377;0.512;0.512;0.512;0.512;0.512;0.046;0.512;0.039;0.046;0.494;0.383;0.383;0.742;0.268;0.268;0.684;0.268;0.839;0.418;0.781;1.0;0.9;0.781;0.834;0.38
transcript22_ENSMUNG00000002377;0.537;0.537;0.537;0.537;0.537;0.046;0.537;0.04;0.046;0.519;0.396;0.396;0.808;0.272;0.272;0.751;0.272;0.904;0.424;0.874;0.9;1.0;0.874;0.899;0.384
transcript23_ENSMUNG00000002377;0.555;0.555;0.555;0.555;0.555;0.053;0.555;0.045;0.053;0.534;0.41;0.41;0.703;0.308;0.308;0.669;0.308;0.79;0.485;1.0;0.781;0.874;1.0;0.786;0.434
transcript3_ENSMUNG00000002391;0.565;0.565;0.565;0.565;0.565;0.042;0.565;0.036;0.042;0.548;0.423;0.423;0.85;0.312;0.312;0.778;0.312;0.994;0.381;0.786;0.834;0.899;0.786;1.0;0.452
transcript10_ENSMUNG00000002391;0.527;0.527;0.527;0.527;0.527;0.092;0.527;0.079;0.092;0.514;0.455;0.455;0.38;0.658;0.658;0.323;0.658;0.446;0.795;0.434;0.38;0.384;0.434;0.452;1.0
