;ENSCAFT00000021165_90_90;ENSCAFT00000021175_90_90;ENSCAFT00000022869_90_90;ENSCAFT00000049479_90_90;ENST00000346964_90_90;ENST00000357674_90_90;ENST00000392380_90_90;ENST00000392381_90_90;ENST00000392382_90_90;ENST00000412364_90_90;ENST00000419227_90_90;ENST00000419354_90_90;ENST00000419553_90_90;ENST00000422288_90_90;ENST00000434148_90_90;ENST00000436682_90_90;ENST00000443183_90_90;ENST00000447466_90_90;ENST00000448528_90_90;ENST00000450955_90_90;ENST00000452595_90_90;ENST00000453607_90_90;ENST00000456699_90_90;ENST00000378154_90_90;ENST00000378158_90_90;ENST00000378163_90_90;ENST00000378166_90_90;ENST00000378168_90_90;ENST00000378179_90_90;ENST00000421587_90_90;ENST00000442742_90_90;ENSMUST00000023454_90_90;ENSMUST00000064477_90_90;ENSMUST00000100001_90_90;ENSMUST00000115196_90_90;ENSMUST00000115201_90_90;ENSMUST00000115205_90_90;ENSMUST00000130920_90_90;ENSMUST00000131136_90_90;ENSMUST00000132176_90_90;ENSMUST00000033321_90_90;ENSMUST00000115435_90_90;ENSMUST00000115436_90_90;ENSMUST00000115438_90_90;ENSMUST00000124710_90_90;ENSMUST00000128012_90_90;ENSMUST00000128095_90_90;ENSMUST00000139735_90_90;ENSMUST00000156096_90_90
ENSCAFT00000021165_90_90;1.0;0.827;0.494;0.489;0.902;0.865;0.241;0.705;0.825;0.11;0.426;0.868;0.162;0.804;0.007;0.125;0.603;0.326;0.868;0.859;0.618;0.117;0.199;0.333;0.477;0.5;0.494;0.215;0.34;0.489;0.486;0.825;0.929;0.868;0.643;0.856;0.868;0.044;0.37;0.597;0.48;0.036;0.489;0.497;0.111;0.14;0.076;0.179;0.469
ENSCAFT00000021175_90_90;0.827;1.0;0.506;0.492;0.791;0.755;0.237;0.707;0.742;0.109;0.42;0.783;0.159;0.722;0.007;0.123;0.556;0.331;0.783;0.75;0.55;0.115;0.196;0.354;0.489;0.503;0.506;0.196;0.344;0.492;0.497;0.765;0.827;0.807;0.615;0.808;0.807;0.043;0.374;0.6;0.483;0.035;0.492;0.5;0.11;0.138;0.075;0.161;0.472
ENSCAFT00000022869_90_90;0.494;0.506;1.0;0.954;0.478;0.469;0.139;0.409;0.466;0.058;0.245;0.478;0.094;0.448;0.0;0.073;0.419;0.212;0.478;0.466;0.42;0.089;0.121;0.634;0.954;0.992;1.0;0.336;0.55;0.954;0.977;0.474;0.503;0.486;0.44;0.48;0.486;0.046;0.245;0.385;0.902;0.061;0.925;0.947;0.167;0.269;0.112;0.25;0.887
ENSCAFT00000049479_90_90;0.489;0.492;0.954;1.0;0.472;0.462;0.143;0.393;0.459;0.06;0.243;0.472;0.096;0.442;0.0;0.075;0.412;0.21;0.472;0.46;0.413;0.083;0.125;0.628;0.908;0.962;0.954;0.326;0.579;1.0;0.977;0.468;0.497;0.48;0.434;0.475;0.48;0.047;0.234;0.368;0.901;0.063;0.969;0.947;0.172;0.258;0.115;0.268;0.93
ENST00000346964_90_90;0.902;0.791;0.478;0.472;1.0;0.934;0.25;0.717;0.878;0.11;0.426;0.935;0.162;0.856;0.007;0.125;0.645;0.336;0.935;0.941;0.662;0.117;0.199;0.333;0.461;0.483;0.478;0.199;0.331;0.472;0.469;0.825;0.915;0.881;0.654;0.869;0.881;0.044;0.37;0.609;0.463;0.043;0.472;0.48;0.111;0.132;0.084;0.155;0.452
ENST00000357674_90_90;0.865;0.755;0.469;0.462;0.934;1.0;0.193;0.664;0.938;0.118;0.457;0.884;0.173;0.915;0.008;0.134;0.685;0.359;0.884;0.992;0.705;0.125;0.213;0.319;0.451;0.474;0.469;0.211;0.351;0.462;0.46;0.881;0.865;0.831;0.606;0.819;0.831;0.047;0.395;0.651;0.453;0.046;0.462;0.471;0.119;0.11;0.09;0.165;0.442
ENST00000392380_90_90;0.241;0.237;0.139;0.143;0.25;0.193;1.0;0.337;0.195;0.441;0.353;0.256;0.647;0.182;0.029;0.5;0.014;0.025;0.256;0.191;0.014;0.214;0.743;0.204;0.145;0.138;0.139;0.0;0.0;0.143;0.142;0.195;0.25;0.256;0.068;0.252;0.256;0.0;0.0;0.277;0.146;0.0;0.143;0.14;0.381;0.095;0.0;0.0;0.115
ENST00000392381_90_90;0.705;0.707;0.409;0.393;0.717;0.664;0.337;1.0;0.674;0.149;0.574;0.733;0.218;0.652;0.01;0.168;0.453;0.451;0.733;0.659;0.465;0.157;0.267;0.423;0.389;0.406;0.409;0.074;0.225;0.393;0.399;0.674;0.717;0.733;0.507;0.723;0.733;0.059;0.453;0.816;0.383;0.0;0.393;0.402;0.147;0.172;0.0;0.071;0.37
ENST00000392382_90_90;0.825;0.742;0.466;0.459;0.878;0.938;0.195;0.674;1.0;0.12;0.464;0.94;0.176;0.976;0.008;0.136;0.732;0.365;0.94;0.931;0.754;0.127;0.216;0.323;0.448;0.471;0.466;0.206;0.347;0.459;0.457;0.938;0.825;0.883;0.647;0.871;0.883;0.048;0.402;0.661;0.45;0.047;0.459;0.468;0.12;0.111;0.091;0.159;0.439
ENST00000412364_90_90;0.11;0.109;0.058;0.06;0.11;0.118;0.441;0.149;0.12;1.0;0.259;0.113;0.682;0.123;0.067;0.882;0.0;0.0;0.113;0.117;0.0;0.0;0.556;0.088;0.061;0.058;0.058;0.0;0.0;0.06;0.06;0.12;0.11;0.113;0.0;0.111;0.113;0.0;0.0;0.174;0.062;0.0;0.06;0.059;0.345;0.0;0.0;0.0;0.03
ENST00000419227_90_90;0.426;0.42;0.245;0.243;0.426;0.457;0.353;0.574;0.464;0.259;1.0;0.436;0.379;0.475;0.017;0.293;0.246;0.458;0.436;0.453;0.254;0.271;0.393;0.352;0.255;0.243;0.245;0.0;0.092;0.243;0.25;0.464;0.426;0.436;0.233;0.43;0.436;0.0;0.207;0.636;0.248;0.0;0.243;0.238;0.242;0.163;0.0;0.0;0.218
ENST00000419354_90_90;0.868;0.783;0.478;0.472;0.935;0.884;0.256;0.733;0.94;0.113;0.436;1.0;0.165;0.917;0.008;0.128;0.692;0.343;1.0;0.878;0.711;0.119;0.203;0.34;0.46;0.483;0.478;0.195;0.329;0.472;0.469;0.883;0.881;0.942;0.7;0.928;0.942;0.045;0.378;0.622;0.463;0.044;0.472;0.48;0.113;0.135;0.086;0.151;0.451
ENST00000419553_90_90;0.162;0.159;0.094;0.096;0.162;0.173;0.647;0.218;0.176;0.682;0.379;0.165;1.0;0.18;0.045;0.773;0.0;0.0;0.165;0.172;0.0;0.219;0.815;0.14;0.098;0.093;0.094;0.0;0.0;0.096;0.096;0.176;0.162;0.165;0.0;0.163;0.165;0.0;0.0;0.256;0.098;0.0;0.096;0.094;0.484;0.0;0.0;0.0;0.067
ENST00000422288_90_90;0.804;0.722;0.448;0.442;0.856;0.915;0.182;0.652;0.976;0.123;0.475;0.917;0.18;1.0;0.008;0.139;0.71;0.341;0.917;0.908;0.731;0.13;0.192;0.304;0.43;0.454;0.448;0.21;0.354;0.442;0.439;0.915;0.804;0.861;0.627;0.849;0.861;0.049;0.411;0.638;0.433;0.048;0.442;0.451;0.123;0.09;0.093;0.163;0.421
ENST00000434148_90_90;0.007;0.007;0.0;0.0;0.007;0.008;0.029;0.01;0.008;0.067;0.017;0.008;0.045;0.008;1.0;0.059;0.0;0.0;0.008;0.008;0.0;0.0;0.037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008;0.007;0.008;0.0;0.007;0.008;0.0;0.0;0.012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000436682_90_90;0.125;0.123;0.073;0.075;0.125;0.134;0.5;0.168;0.136;0.882;0.293;0.128;0.773;0.139;0.059;1.0;0.0;0.0;0.128;0.133;0.0;0.062;0.63;0.11;0.076;0.072;0.073;0.0;0.0;0.075;0.075;0.136;0.125;0.128;0.0;0.126;0.128;0.0;0.0;0.198;0.077;0.0;0.075;0.074;0.414;0.0;0.0;0.0;0.045
ENST00000443183_90_90;0.603;0.556;0.419;0.412;0.645;0.685;0.014;0.453;0.732;0.0;0.246;0.692;0.0;0.71;0.0;0.0;1.0;0.412;0.692;0.681;0.965;0.056;0.022;0.261;0.4;0.424;0.419;0.233;0.385;0.412;0.409;0.683;0.603;0.647;0.873;0.66;0.647;0.052;0.44;0.429;0.402;0.051;0.412;0.421;0.0;0.155;0.099;0.183;0.424
ENST00000447466_90_90;0.326;0.331;0.212;0.21;0.336;0.359;0.025;0.451;0.365;0.0;0.458;0.343;0.0;0.341;0.0;0.0;0.412;1.0;0.343;0.357;0.427;0.103;0.042;0.31;0.221;0.211;0.212;0.0;0.165;0.21;0.217;0.365;0.336;0.343;0.385;0.338;0.343;0.0;0.389;0.478;0.214;0.0;0.21;0.205;0.0;0.224;0.0;0.0;0.217
ENST00000448528_90_90;0.868;0.783;0.478;0.472;0.935;0.884;0.256;0.733;0.94;0.113;0.436;1.0;0.165;0.917;0.008;0.128;0.692;0.343;1.0;0.878;0.711;0.119;0.203;0.34;0.46;0.483;0.478;0.195;0.329;0.472;0.469;0.883;0.881;0.942;0.7;0.928;0.942;0.045;0.378;0.622;0.463;0.044;0.472;0.48;0.113;0.135;0.086;0.151;0.451
ENST00000450955_90_90;0.859;0.75;0.466;0.46;0.941;0.992;0.191;0.659;0.931;0.117;0.453;0.878;0.172;0.908;0.008;0.133;0.681;0.357;0.878;1.0;0.7;0.124;0.211;0.317;0.448;0.472;0.466;0.21;0.349;0.46;0.457;0.874;0.859;0.825;0.603;0.814;0.825;0.047;0.392;0.646;0.451;0.046;0.46;0.469;0.118;0.109;0.089;0.164;0.439
ENST00000452595_90_90;0.618;0.55;0.42;0.413;0.662;0.705;0.014;0.465;0.754;0.0;0.254;0.711;0.0;0.731;0.0;0.0;0.965;0.427;0.711;0.7;1.0;0.058;0.022;0.268;0.401;0.426;0.42;0.23;0.386;0.413;0.411;0.703;0.618;0.664;0.841;0.655;0.664;0.054;0.455;0.441;0.404;0.053;0.413;0.423;0.0;0.16;0.103;0.179;0.426
ENST00000453607_90_90;0.117;0.115;0.089;0.083;0.117;0.125;0.214;0.157;0.127;0.0;0.271;0.119;0.219;0.13;0.0;0.062;0.056;0.103;0.119;0.124;0.058;1.0;0.257;0.135;0.093;0.088;0.089;0.0;0.0;0.083;0.091;0.127;0.117;0.119;0.053;0.118;0.119;0.0;0.0;0.184;0.085;0.0;0.083;0.081;0.171;0.13;0.0;0.0;0.087
