;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSRNOG00000031503;transcript34_ENSRNOG00000031503;transcript27_ENSMUGG00000013649;transcript37_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649;transcript49_ENSMUGG00000013649;transcript39_ENSMUGG00000013592
transcript33_ENSMUSG00000054036;1.0;0.872;0.625;0.625;0.95;0.077;0.974;0.95;0.974;0.923;0.949;0.95
transcript33_MGP-PahariEiJ-G0020237;0.872;1.0;0.55;0.55;0.875;0.083;0.897;0.875;0.897;0.846;0.872;0.875
transcript27_ENSRNOG00000031503;0.625;0.55;1.0;1.0;0.675;0.148;0.65;0.675;0.65;0.6;0.625;0.675
transcript34_ENSRNOG00000031503;0.625;0.55;1.0;1.0;0.675;0.148;0.65;0.675;0.65;0.6;0.625;0.675
transcript27_ENSMUGG00000013649;0.95;0.875;0.675;0.675;1.0;0.1;0.975;1.0;0.975;0.925;0.95;1.0
transcript37_ENSMUGG00000013649;0.077;0.083;0.148;0.148;0.1;1.0;0.075;0.1;0.075;0.025;0.05;0.1
transcript38_ENSMUGG00000013649;0.974;0.897;0.65;0.65;0.975;0.075;1.0;0.975;1.0;0.949;0.974;0.975
transcript40_ENSMUGG00000013649;0.95;0.875;0.675;0.675;1.0;0.1;0.975;1.0;0.975;0.925;0.95;1.0
transcript45_ENSMUGG00000013649;0.974;0.897;0.65;0.65;0.975;0.075;1.0;0.975;1.0;0.949;0.974;0.975
transcript46_ENSMUGG00000013649;0.923;0.846;0.6;0.6;0.925;0.025;0.949;0.925;0.949;1.0;0.974;0.925
transcript49_ENSMUGG00000013649;0.949;0.872;0.625;0.625;0.95;0.05;0.974;0.95;0.974;0.974;1.0;0.95
transcript39_ENSMUGG00000013592;0.95;0.875;0.675;0.675;1.0;0.1;0.975;1.0;0.975;0.925;0.95;1.0
