;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript8_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.331;1.0;0.257;0.331;0.99;0.889;0.889;0.394;0.707;0.707;0.408;0.707;0.62;0.952;0.606;0.599;0.6;0.606;0.623;1.0
transcript10_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.331;1.0;0.257;0.331;0.99;0.889;0.889;0.394;0.707;0.707;0.408;0.707;0.62;0.952;0.606;0.599;0.6;0.606;0.623;1.0
transcript20_ENSHGLG00100003156;1.0;1.0;1.0;1.0;1.0;0.331;1.0;0.257;0.331;0.99;0.889;0.889;0.394;0.707;0.707;0.408;0.707;0.62;0.952;0.606;0.599;0.6;0.606;0.623;1.0
transcript8_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.331;1.0;0.257;0.331;0.99;0.889;0.889;0.394;0.707;0.707;0.408;0.707;0.62;0.952;0.606;0.599;0.6;0.606;0.623;1.0
transcript10_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.331;1.0;0.257;0.331;0.99;0.889;0.889;0.394;0.707;0.707;0.408;0.707;0.62;0.952;0.606;0.599;0.6;0.606;0.623;1.0
transcript11_ENSHGLG00000019563;0.331;0.331;0.331;0.331;0.331;1.0;0.331;0.764;1.0;0.321;0.348;0.348;0.123;0.398;0.398;0.134;0.398;0.108;0.338;0.12;0.116;0.117;0.12;0.108;0.331
transcript13_ENSHGLG00000019563;1.0;1.0;1.0;1.0;1.0;0.331;1.0;0.257;0.331;0.99;0.889;0.889;0.394;0.707;0.707;0.408;0.707;0.62;0.952;0.606;0.599;0.6;0.606;0.623;1.0
transcript26_ENSHGLG00000019563;0.257;0.257;0.257;0.257;0.257;0.764;0.257;1.0;0.764;0.247;0.271;0.271;0.095;0.308;0.308;0.104;0.308;0.084;0.263;0.093;0.089;0.09;0.093;0.084;0.257
transcript27_ENSHGLG00000019563;0.331;0.331;0.331;0.331;0.331;1.0;0.331;0.764;1.0;0.321;0.348;0.348;0.123;0.398;0.398;0.134;0.398;0.108;0.338;0.12;0.116;0.117;0.12;0.108;0.331
transcript28_ENSHGLG00000019563;0.99;0.99;0.99;0.99;0.99;0.321;0.99;0.247;0.321;1.0;0.88;0.88;0.389;0.697;0.697;0.403;0.697;0.614;0.942;0.6;0.593;0.595;0.6;0.618;0.99
transcript7_ENSHGLG00100006079;0.889;0.889;0.889;0.889;0.889;0.348;0.889;0.271;0.348;0.88;1.0;1.0;0.379;0.696;0.696;0.394;0.696;0.529;0.859;0.527;0.52;0.521;0.527;0.533;0.889
transcript10_ENSHGLG00100006079;0.889;0.889;0.889;0.889;0.889;0.348;0.889;0.271;0.348;0.88;1.0;1.0;0.379;0.696;0.696;0.394;0.696;0.529;0.859;0.527;0.52;0.521;0.527;0.533;0.889
transcript3_ENSPCIG00000036398;0.394;0.394;0.394;0.394;0.394;0.123;0.394;0.095;0.123;0.389;0.379;0.379;1.0;0.589;0.589;0.947;0.589;0.766;0.365;0.689;0.71;0.706;0.689;0.77;0.394
transcript7_ENSPCIG00000036398;0.707;0.707;0.707;0.707;0.707;0.398;0.707;0.308;0.398;0.697;0.696;0.696;0.589;1.0;1.0;0.609;1.0;0.39;0.673;0.383;0.376;0.377;0.383;0.394;0.707
transcript8_ENSPCIG00000036398;0.707;0.707;0.707;0.707;0.707;0.398;0.707;0.308;0.398;0.697;0.696;0.696;0.589;1.0;1.0;0.609;1.0;0.39;0.673;0.383;0.376;0.377;0.383;0.394;0.707
transcript15_ENSPCIG00000036398;0.408;0.408;0.408;0.408;0.408;0.134;0.408;0.104;0.134;0.403;0.394;0.394;0.947;0.609;0.609;1.0;0.609;0.716;0.38;0.733;0.661;0.657;0.733;0.721;0.408
transcript18_ENSPCIG00000036398;0.707;0.707;0.707;0.707;0.707;0.398;0.707;0.308;0.398;0.697;0.696;0.696;0.589;1.0;1.0;0.609;1.0;0.39;0.673;0.383;0.376;0.377;0.383;0.394;0.707
