;ENSCAFT00000027066_90_90;ENST00000316856_90_90;ENST00000586375_90_90;ENST00000586534_90_90;ENST00000590881_90_90;ENST00000591499_90_90;ENST00000592268_90_90;ENST00000593114_90_90;ENSMUST00000003911_90_90;ENSMUST00000109761_90_90;ENSMUST00000128035_90_90;ENSMUST00000144675_90_90
ENSCAFT00000027066_90_90;1.0;0.882;0.294;0.889;0.412;0.188;0.722;0.062;0.882;0.889;0.722;0.474
ENST00000316856_90_90;0.882;1.0;0.222;0.889;0.5;0.188;0.722;0.062;1.0;0.889;0.722;0.474
ENST00000586375_90_90;0.294;0.222;1.0;0.333;0.077;0.125;0.4;0.0;0.222;0.333;0.4;0.286
ENST00000586534_90_90;0.889;0.889;0.333;1.0;0.444;0.167;0.833;0.056;0.889;1.0;0.833;0.579
ENST00000590881_90_90;0.412;0.5;0.077;0.444;1.0;0.0;0.353;0.0;0.5;0.444;0.353;0.429
ENST00000591499_90_90;0.188;0.188;0.125;0.167;0.0;1.0;0.2;0.333;0.188;0.167;0.2;0.0
ENST00000592268_90_90;0.722;0.722;0.4;0.833;0.353;0.2;1.0;0.067;0.722;0.833;0.875;0.421
ENST00000593114_90_90;0.062;0.062;0.0;0.056;0.0;0.333;0.067;1.0;0.062;0.056;0.067;0.0
ENSMUST00000003911_90_90;0.882;1.0;0.222;0.889;0.5;0.188;0.722;0.062;1.0;0.889;0.722;0.474
ENSMUST00000109761_90_90;0.889;0.889;0.333;1.0;0.444;0.167;0.833;0.056;0.889;1.0;0.833;0.579
ENSMUST00000128035_90_90;0.722;0.722;0.4;0.833;0.353;0.2;0.875;0.067;0.722;0.833;1.0;0.5
ENSMUST00000144675_90_90;0.474;0.474;0.286;0.579;0.429;0.0;0.421;0.0;0.474;0.579;0.5;1.0
