;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENSCAFT00000013569_90_90;1.0;0.745;0.578;0.754;0.758;0.963;0.77;0.77;0.968;0.963;0.395;0.946;0.986;0.239;0.266;0.239;0.747;0.257;0.582;0.748;0.988;0.759;0.971;0.971;0.988
ENSCAFT00000048577_90_90;0.745;1.0;0.488;0.624;0.977;0.731;0.578;0.578;0.764;0.731;0.327;0.746;0.75;0.197;0.221;0.198;0.992;0.213;0.48;0.992;0.749;0.978;0.763;0.763;0.749
ENSCAFT00000049950_90_90;0.578;0.488;1.0;0.76;0.488;0.561;0.429;0.429;0.573;0.561;0.662;0.551;0.583;0.306;0.447;0.401;0.481;0.434;0.292;0.484;0.586;0.491;0.576;0.576;0.586
ENST00000314177_90_90;0.754;0.624;0.76;1.0;0.643;0.734;0.538;0.538;0.753;0.734;0.513;0.721;0.766;0.325;0.348;0.312;0.633;0.298;0.409;0.63;0.747;0.64;0.734;0.75;0.763
ENST00000338564_90_90;0.758;0.977;0.488;0.643;1.0;0.741;0.584;0.584;0.757;0.741;0.33;0.731;0.768;0.209;0.223;0.201;0.985;0.2;0.482;0.983;0.753;0.997;0.742;0.755;0.765
ENST00000340545_90_90;0.963;0.731;0.561;0.734;0.741;1.0;0.797;0.797;0.95;1.0;0.407;0.982;0.967;0.216;0.276;0.248;0.731;0.242;0.593;0.729;0.964;0.74;0.948;0.945;0.962
ENST00000397620_90_90;0.77;0.578;0.429;0.538;0.584;0.797;1.0;1.0;0.757;0.797;0.513;0.783;0.771;0.042;0.343;0.308;0.575;0.295;0.736;0.576;0.771;0.584;0.757;0.756;0.769
ENST00000397624_90_90;0.77;0.578;0.429;0.538;0.584;0.797;1.0;1.0;0.757;0.797;0.513;0.783;0.771;0.042;0.343;0.308;0.575;0.295;0.736;0.576;0.771;0.584;0.757;0.756;0.769
ENST00000424352_90_90;0.968;0.764;0.573;0.753;0.757;0.95;0.757;0.757;1.0;0.95;0.387;0.968;0.983;0.244;0.262;0.235;0.771;0.231;0.564;0.77;0.96;0.756;0.978;0.995;0.978
ENST00000557796_90_90;0.963;0.731;0.561;0.734;0.741;1.0;0.797;0.797;0.95;1.0;0.407;0.982;0.967;0.216;0.276;0.248;0.731;0.242;0.593;0.729;0.964;0.74;0.948;0.945;0.962
ENST00000558313_90_90;0.395;0.327;0.662;0.513;0.33;0.407;0.513;0.513;0.387;0.407;1.0;0.4;0.394;0.068;0.607;0.601;0.325;0.473;0.338;0.326;0.396;0.331;0.389;0.388;0.395
ENST00000559085_90_90;0.946;0.746;0.551;0.721;0.731;0.982;0.783;0.783;0.968;0.982;0.4;1.0;0.95;0.212;0.271;0.243;0.745;0.238;0.583;0.743;0.948;0.729;0.965;0.963;0.945
ENST00000559561_90_90;0.986;0.75;0.583;0.766;0.768;0.967;0.771;0.771;0.983;0.967;0.394;0.95;1.0;0.249;0.266;0.239;0.757;0.235;0.574;0.756;0.977;0.766;0.96;0.978;0.995
ENST00000560570_90_90;0.239;0.197;0.306;0.325;0.209;0.216;0.042;0.042;0.244;0.216;0.068;0.212;0.249;1.0;0.0;0.0;0.205;0.0;0.0;0.205;0.237;0.209;0.233;0.244;0.249
